site_key,year,bleaching_all,env_type,summer_mean,summer_max,summer_min,days_above_29,days_above_30,days_above_31,cumulative_above_29,n_days,lat,vulnerability,region,dhw_logger,dhw_sat_corrected,bleached,bleached_severe
9_1,2023,0.0,閉鎖系,28.762778688524588,30.054,26.401,69,2,0,30.33799999999999,122,24.941528,2.252014497343326,宮古八重山,11.33242857142857,10.123809523809513,0,0
9_1,2024,70.0,閉鎖系,29.727262295081967,31.024,26.611,103,64,1,114.14400000000002,122,24.941528,2.252014497343326,宮古八重山,9.813571428571432,9.044999999999987,1,1
9_3,2022,90.0,外洋系,29.237655737704916,31.287,26.755,71,54,4,96.076,122,24.9005,7.334335692544628,宮古八重山,0.0,0.0,1,1
9_3,2023,0.0,外洋系,28.993106557377047,30.356,25.635,72,17,0,45.956,122,24.9005,7.334335692544628,宮古八重山,7.339642857142882,6.902857142857089,0,0
9_3,2024,60.0,外洋系,29.938,31.445,26.676,106,78,11,138.41799999999998,122,24.9005,7.334335692544628,宮古八重山,9.112107142857171,8.61392857142851,1,1
9_5,2020,10.0,外洋系,29.495827868852466,30.514,27.243,101,23,0,71.04400000000001,122,24.797806,3.372692888780292,宮古八重山,13.77361904761904,11.496547619047616,1,0
9_5,2021,0.0,外洋系,28.834049180327863,29.993,27.335,56,0,0,28.576999999999988,122,24.797806,3.372692888780292,宮古八重山,2.1935833333333306,1.4863095238095203,0,0
9_5,2023,0.0,外洋系,28.961762295081968,30.453,26.582,77,14,0,48.68599999999999,122,24.797806,3.372692888780292,宮古八重山,0.1832738095238088,0.0332142857142854,0,0
9_5,2024,60.0,外洋系,29.88144262295082,31.264,27.271,104,75,8,127.284,122,24.797806,3.372692888780292,宮古八重山,0.60445238095238,0.1535714285714279,1,1
9_6,2020,0.0,外洋系,29.43465573770492,30.543,26.993,92,30,0,69.53999999999999,122,24.719444,3.324575226147437,宮古八重山,13.86100000000003,11.807976190476206,0,0
9_6,2021,0.0,外洋系,28.7182868852459,30.044,25.719,56,2,0,30.285999999999987,122,24.719444,3.324575226147437,宮古八重山,2.2860357142857235,1.567857142857147,0,0
9_6,2023,0.0,外洋系,28.904434426229507,30.524,26.575,75,17,0,52.235,122,24.719444,3.324575226147437,宮古八重山,0.236535714285718,0.0790476190476207,0,0
9_6,2024,70.0,外洋系,29.90060655737705,31.238,27.244,100,78,12,135.91199999999998,122,24.719444,3.324575226147437,宮古八重山,0.6717500000000065,0.202142857142858,1,1
9_9,2023,0.0,外洋系,28.480278688524592,29.66,26.011,53,0,0,15.756999999999994,122,24.841083,2.694198812628093,宮古八重山,12.846714285714295,10.67428571428572,0,0
10_2,2020,0.0,外洋系,29.333573770491803,30.126,26.623,97,14,0,60.42899999999999,122,25.016917,1.6573277562938988,宮古八重山,6.30352380952381,4.041428571428571,0,0
10_2,2021,0.0,外洋系,28.935213114754095,30.07,26.939,65,3,0,26.948999999999987,122,25.016917,1.6573277562938988,宮古八重山,11.111761904761908,8.11047619047619,0,0
10_2,2022,20.0,外洋系,29.0714262295082,30.964,26.621,68,43,0,76.012,122,25.016917,1.6573277562938988,宮古八重山,0.2564285714285712,0.1423809523809523,1,0
10_2,2023,0.0,外洋系,28.789524590163936,30.156,25.964,72,4,0,36.29600000000001,122,25.016917,1.6573277562938988,宮古八重山,9.05719047619048,6.527619047619047,0,0
10_2,2024,50.0,外洋系,29.784491803278694,31.039,26.989,101,75,3,120.885,122,25.016917,1.6573277562938988,宮古八重山,10.50776190476191,7.987142857142855,1,1
10_3,2020,0.0,外洋系,29.434581967213116,30.243,26.794,99,16,0,67.364,122,24.996944,3.030252015959336,宮古八重山,5.8023571428571215,4.245357142857143,0,0
