site_no,spot_no,year,date,bleaching_all,env_group,lat,dhw_logger,dhw_mur_raw,dhw_mur_corr,dhw_mur_corr_adj,days30_logger,days30_mur_raw,days30_mur_corr,bleaching_binary,dhw_coraltemp_raw,dhw_coraltemp_corr,days30_coraltemp_raw,days30_coraltemp_corr,lat_band
9,9,2020,2020-09-19,,外洋系,24.841083,0.9921474654377864,0.5215207373271937,0.4677572964669763,0.8215207373271944,9.0,13.0,13.0,0,0.31345622119816446,0.3134562211981553,3.0,0.0,24-26°N (八重山)
9,9,2022,2022-12-27,40.0,外洋系,24.841083,,,,,,,,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
9,9,2023,2023-11-05,0.0,外洋系,24.841083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,24-26°N (八重山)
9,9,2024,2024-12-01,,外洋系,24.841083,0.0,0.0,0.0,0.0,13.0,10.0,10.0,0,0.0,0.0,14.0,9.0,24-26°N (八重山)
10,2,2020,2020-11-22,0.0,外洋系,25.016917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,2,2021,2021-10-16,0.0,外洋系,25.016917,0.0390506912442388,0.1075115207373278,0.0410138248847928,0.1503686635944708,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,2,2022,2022-12-28,20.0,外洋系,25.016917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,2,2023,2023-11-23,0.0,外洋系,25.016917,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,7.0,0.0,24-26°N (八重山)
10,2,2024,2024-12-02,50.0,外洋系,25.016917,0.0,0.0,0.0,0.0,14.0,7.0,7.0,1,0.0,0.0,13.0,9.0,24-26°N (八重山)
10,3,2020,2020-11-22,0.0,外洋系,24.996944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,3,2021,2021-10-16,0.0,外洋系,24.996944,0.0,0.0195852534562216,0.0195852534562216,0.0624423963133646,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,3,2022,2022-12-28,,外洋系,24.996944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,3,2023,2023-11-23,0.0,外洋系,24.996944,,,,,,,,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
10,3,2024,2024-12-02,90.0,外洋系,24.996944,0.0,0.003870967741936,0.0,0.003870967741936,14.0,7.0,7.0,1,0.0,0.0,13.0,9.0,24-26°N (八重山)
11,19,2020,2020-11-22,0.0,閉鎖系,24.515917,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
11,19,2021,2021-09-24,0.0,閉鎖系,24.515917,0.8566138248848009,0.3901382488479231,1.0449677419354788,1.5901382488479296,38.0,12.0,12.0,0,0.028894009216589467,0.028894009216592003,0.0,0.0,24-26°N (八重山)
11,19,2022,2022-11-12,,閉鎖系,24.515917,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0,0.0,0.0,19.0,18.0,24-26°N (八重山)
11,19,2023,2023-09-07,0.0,閉鎖系,24.515917,0.576843317972358,0.7164884792626692,1.7281658986175046,2.5164884792626787,21.0,18.0,18.0,0,0.13391705069124374,0.13391705069124984,5.0,0.0,24-26°N (八重山)
11,19,2024,2025-01-07,,閉鎖系,24.515917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
12,3,2020,2020-11-06,0.0,閉鎖系,24.583722,0.0,0.0935023041474641,0.2013824884792612,0.2935023041474639,12.0,5.0,5.0,0,0.0,0.0,7.0,1.0,24-26°N (八重山)
12,3,2021,2021-09-08,0.0,閉鎖系,24.583722,0.1655917050691242,0.2212442396313331,0.611981566820272,0.9212442396313324,32.0,13.0,13.0,0,0.021944700460830444,0.021944700460828415,0.0,0.0,24-26°N (八重山)
12,3,2022,2022-10-09,60.0,閉鎖系,24.583722,2.081805529953914,1.91525345622119,2.990276497695841,3.815253456221188,52.0,52.0,52.0,1,1.9410230414746599,1.9410230414746503,51.0,47.0,24-26°N (八重山)
12,3,2023,2023-11-22,0.0,閉鎖系,24.583722,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0,0.0,0.0,4.0,0.0,24-26°N (八重山)
12,3,2024,2025-01-05,0.0,閉鎖系,24.583722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
12,23,2020,2020-11-15,0.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0,14.0,7.0,7.0,0,0.0,0.0,3.0,1.0,24-26°N (八重山)
12,23,2021,2021-09-09,0.0,閉鎖系,24.47275,0.5982983870967732,0.092142857142856,0.4342857142857116,0.6914285714285724,51.0,10.0,10.0,0,0.0,0.0,3.0,0.0,24-26°N (八重山)
12,23,2022,2022-11-10,5.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0,21.0,21.0,21.0,0,0.0,0.0,21.0,20.0,24-26°N (八重山)
12,23,2023,2023-10-16,0.0,閉鎖系,24.47275,,,,,,,,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
12,23,2024,2024-12-06,0.0,閉鎖系,24.47275,0.0,0.0,0.0,0.0,19.0,12.0,12.0,0,0.0,0.0,15.0,9.0,24-26°N (八重山)
