site_no,spot_no,year,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
15,104,2021,2021-10-27,10,81.5,73.5,1.5,1
15,106,2021,2021-10-28,20,66.5,60,1.5,1.5
15,107,2021,2021-10-30,60,41.5,44,3,2.5
15,108,2021,2021-10-22,60,60,65,2.5,2.5
15,111,2021,2021-11-02,30,58.5,63,1,1
15,113,2021,2021-10-27,20,86,85.5,0,0
16,1,2021,2021-10-26,2.5,82.5,73.5,2,1
16,2,2021,2021-10-26,30,67.5,60.5,1.5,1
16,3,2021,2021-10-26,10,53.5,56,1,1
16,6,2021,2021-10-25,10,70,70,1.5,1.5
16,7,2021,2021-11-06,20,85,86.5,2,2
16,8,2021,2021-11-06,10,92.5,87.5,5.5,10
16,9,2021,2021-11-06,60,52.5,47.5,1,4.5
16,10,2021,2021-11-06,30,51,46,1,3
16,11,2021,2021-10-25,2.5,61,55.5,1.5,1
16,12,2021,2021-10-27,20,62.5,60,1.5,1.5
16,13,2021,2021-10-27,20,66,61,1,1
16,14,2021,2021-10-27,2.5,69,70,1.5,1.5
16,15,2021,2021-10-21,20,76.5,81,3,3
16,16,2021,2021-10-21,10,65,65,1.5,2.5
16,17,2021,2021-10-21,10,67.5,67.5,1,1
16,45,2021,2021-10-26,20,62.5,65.5,1,1
16,69,2021,2021-11-06,50,41,43.5,1.5,3
16,70,2021,2021-11-06,10,85,87.5,7.5,12.5
16,85,2021,2021-10-21,50,74,64,1.5,1.5
16,94,2021,2021-10-25,20,77,73.5,2,1.5
16,95,2021,2021-10-25,50,69,70.5,2,2
16,96,2021,2021-10-25,10,59,55.5,2,2.5
16,97,2021,2021-10-25,2.5,47,48,1,1
16,98,2021,2021-10-25,20,76,80,2,1.5
16,99,2021,2021-10-25,20,79,73.5,1.5,1
16,100,2021,2021-10-21,10,77,75,2.5,1.5
16,101,2021,2021-10-21,10,82.5,80,1.5,2
16,102,2021,2021-10-27,10,76.5,75,1.5,1
