site_no,spot_no,site_name,year,date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora,landform,env_type,lat,lon,logger_start,logger_end,lookback_start
13,42,小浜島周辺,2022,2022-10-24,20.0,92.5,95.0,30.0,35.0,離礁,外洋系,24.342278,124.032889,2019-10-16,2024-11-20,2022-08-01
13,42,小浜島周辺,2023,2023-11-14,20.0,47.5,58.5,0.0,1.0,離礁,外洋系,24.342278,124.032889,2019-10-16,2024-11-20,2023-08-22
13,42,小浜島周辺,2024,2024-11-19,20.0,82.5,85.0,15.0,20.0,離礁,外洋系,24.342278,124.032889,2019-10-16,2024-11-20,2024-08-27
13,64,小浜島周辺,2020,2020-11-06,50.0,20.5,21.0,5.0,3.5,礁斜面,外洋系,24.348278,123.945944,2019-10-09,2024-10-28,2020-08-14
13,64,小浜島周辺,2021,2021-10-29,50.0,42.5,42.5,1.5,2.0,礁斜面,外洋系,24.348278,123.945944,2019-10-09,2024-10-28,2021-08-06
13,64,小浜島周辺,2022,2022-10-23,40.0,90.0,90.0,20.0,17.5,礁斜面,外洋系,24.348278,123.945944,2019-10-09,2024-10-28,2022-07-31
13,64,小浜島周辺,2023,2023-11-06,40.0,25.0,20.0,0.0,0.0,礁斜面,外洋系,24.348278,123.945944,2019-10-09,2024-10-28,2023-08-14
13,64,小浜島周辺,2024,2024-10-27,20.0,100.0,100.0,80.0,75.0,礁斜面,外洋系,24.348278,123.945944,2019-10-09,2024-10-28,2024-08-04
13,72,小浜島周辺,2020,2020-10-28,50.0,25.0,18.5,1.0,1.0,礁斜面,外洋系,24.369806,124.009528,2019-11-17,2024-10-18,2020-08-05
13,72,小浜島周辺,2021,2021-10-31,50.0,24.0,15.5,1.0,1.0,礁斜面,外洋系,24.369806,124.009528,2019-11-17,2024-10-18,2021-08-08
13,72,小浜島周辺,2022,2022-10-22,40.0,80.0,77.5,12.5,15.0,礁斜面,外洋系,24.369806,124.009528,2019-11-17,2024-10-18,2022-07-30
13,72,小浜島周辺,2023,2023-11-05,30.0,22.5,15.0,0.0,0.0,礁斜面,外洋系,24.369806,124.009528,2019-11-17,2024-10-18,2023-08-13
13,72,小浜島周辺,2024,2024-10-17,50.0,82.5,80.0,5.0,5.0,礁斜面,外洋系,24.369806,124.009528,2019-11-17,2024-10-18,2024-07-25
14,77,カタグァー周辺,2020,2020-11-16,,72.5,67.0,1.0,1.0,礁池,閉鎖系,24.291417,124.128139,2019-10-14,2024-11-04,2020-08-24
14,77,カタグァー周辺,2021,2021-11-03,10.0,76.5,72.5,1.0,1.0,礁池,閉鎖系,24.291417,124.128139,2019-10-14,2024-11-04,2021-08-11
14,77,カタグァー周辺,2022,2022-10-25,10.0,87.5,90.0,25.0,20.0,礁池,閉鎖系,24.291417,124.128139,2019-10-14,2024-11-04,2022-08-02
14,77,カタグァー周辺,2023,2023-11-12,,77.5,65.0,0.0,0.0,礁池,閉鎖系,24.291417,124.128139,2019-10-14,2024-11-04,2023-08-20
14,77,カタグァー周辺,2024,2024-11-03,,87.5,85.0,27.5,15.0,礁池,閉鎖系,24.291417,124.128139,2019-10-14,2024-11-04,2024-08-11
14,82,カタグァー周辺,2020,2020-11-12,20.0,40.0,32.0,1.0,1.0,礁池,閉鎖系,24.252139,124.111,2019-10-12,2024-11-22,2020-08-20
14,82,カタグァー周辺,2021,2021-11-01,20.0,54.0,31.5,1.5,1.0,礁池,閉鎖系,24.252139,124.111,2019-10-12,2024-11-22,2021-08-09
14,82,カタグァー周辺,2022,2022-10-25,10.0,92.5,95.0,17.5,22.5,礁池,閉鎖系,24.252139,124.111,2019-10-12,2024-11-22,2022-08-02
14,82,カタグァー周辺,2023,2023-11-12,30.0,47.5,47.5,0.0,0.5,礁池,閉鎖系,24.252139,124.111,2019-10-12,2024-11-22,2023-08-20
