year,site_no,spot_no,site_name,spot_name,survey_date,coral_cover_pct,bleaching_all_pct,bleaching_acropora_pct,mortality_all_pct,mortality_acropora_pct
2021,13,28,小浜島周辺,嘉弥真島南岸礁縁,2021-10-23,50,60.5,60,0,0
2021,13,31,小浜島周辺,嘉弥真島南西岸礁池内,2021-10-23,60,68.5,72.5,1.5,1.5
2021,13,32,小浜島周辺,小浜島北東岸礁縁,2021-10-23,2.5,60,70,0,0
2021,13,35,小浜島周辺,ヨナラ水道南礁縁,2021-10-29,60,46,48,1,1
2021,13,36,小浜島周辺,ヨナラ水道南①,2021-10-29,70,50,46,1,1
2021,13,42,小浜島周辺,小浜島東沖礁湖内①,2021-11-14,30,80,75,1,1
2021,13,43,小浜島周辺,小浜島東沖礁湖内②,2021-11-14,20,72.5,70,1,1
2021,13,44,小浜島周辺,嘉弥真島東沖礁湖内,2021-11-15,10,40.5,50.5,1,2.5
2021,13,49,小浜島周辺,竹富島西沖離礁礁縁,2021-11-01,10,25,25.5,1,1.5
2021,13,50,小浜島周辺,竹富島西沖離礁外縁,2021-10-31,30,28,20,3.5,3.5
2021,13,51,小浜島周辺,竹富島北岸礁外縁,2021-11-13,20,43,31.5,1,1
2021,13,52,小浜島周辺,竹富島北東岸礁外縁,2021-11-13,20,46,35.5,1,1
2021,13,53,小浜島周辺,竹富島北東沖礁縁,2021-11-13,20,39,35,1,1.5
2021,13,62,小浜島周辺,ヨナラ水道南②,2021-10-29,60,38.5,46,1.5,1.5
2021,13,63,小浜島周辺,ヨナラ水道南部,2021-10-29,50,40,37.5,1,1
2021,13,64,小浜島周辺,ヨナラ水道中央部①,2021-10-29,50,42.5,42.5,1.5,2
2021,13,65,小浜島周辺,ヨナラ水道北部,2021-10-30,70,60.5,56,2,3.5
2021,13,67,小浜島周辺,小浜島東沖離礁①,2021-10-23,30,55,62.5,1,1
2021,13,68,小浜島周辺,嘉弥真島東沖礁内縁,2021-11-15,20,59.5,53.5,1.5,2
2021,13,71,小浜島周辺,嘉弥真島東沖礁外縁,2021-10-31,70,24,18,1,1
2021,13,72,小浜島周辺,嘉弥真島北岸礁外縁①,2021-10-31,50,24,15.5,1,1
2021,13,73,小浜島周辺,嘉弥真島北岸礁外縁②,2021-10-31,40,31,23,1,1
2021,13,74,小浜島周辺,小浜島北岸礁外縁,2021-10-31,40,23,15.5,1,1
2021,13,75,小浜島周辺,ヨナラ水道中央部②,2021-10-30,40,34.5,30,1.5,2
2021,13,110,小浜島周辺,小浜島東沖離礁②,2021-10-23,10,67.5,72.5,1.5,2
2021,13,112,小浜島周辺,タキドングチ海中公園地区,2021-11-14,30,56,50.5,1,1
2021,13,116,小浜島周辺,鵜離島前離礁,2021-10-31,60,30.5,23,1,1
2021,14,46,カタグァー周辺,シモビシ海中公園地区,2021-11-01,10,77.5,77.5,1.5,1
2021,14,47,カタグァー周辺,竹富島南西岸礁縁,2021-11-01,10,86,86,1,1
2021,14,54,カタグァー周辺,竹富島東沖離礁,2021-11-13,10,48.5,56,1,1
2021,14,76,カタグァー周辺,アーサーピー外縁,2021-11-13,10,56.5,43,1,0.5
2021,14,77,カタグァー周辺,ウマノハピー礁内①,2021-11-03,10,76.5,72.5,1,1
2021,14,78,カタグァー周辺,ウマノハピー礁内②,2021-11-03,2.5,46,40,1,1
2021,14,79,カタグァー周辺,ウマノハピー礁内③,2021-11-03,2.5,41,40.5,1,1
2021,14,80,カタグァー周辺,ウマノハピー内縁①,2021-11-03,10,70,68.5,1,1
2021,14,81,カタグァー周辺,ウマノハピー内縁②,2021-11-03,2.5,53.5,54,1,1
2021,14,82,カタグァー周辺,ウマノハピー内縁③,2021-11-01,20,54,31.5,1.5,1
