site_no,spot_no,date,sst,source
1,5,2020-07-05,27.31,nasa_mur
1,5,2020-07-06,27.24,nasa_mur
1,5,2020-07-07,27.06,nasa_mur
1,5,2020-07-08,27.1,nasa_mur
1,5,2020-07-09,27.1,nasa_mur
1,5,2020-07-10,27.11,nasa_mur
1,5,2020-07-11,27.67,nasa_mur
1,5,2020-07-12,27.62,nasa_mur
1,5,2020-07-13,27.2,nasa_mur
1,5,2020-07-14,27.27,nasa_mur
1,5,2020-07-15,27.57,nasa_mur
1,5,2020-07-16,27.73,nasa_mur
1,5,2020-07-17,27.66,nasa_mur
1,5,2020-07-18,27.41,nasa_mur
1,5,2020-07-19,27.4,nasa_mur
1,5,2020-07-20,27.79,nasa_mur
1,5,2020-07-21,28.15,nasa_mur
1,5,2020-07-22,27.66,nasa_mur
1,5,2020-07-23,28.18,nasa_mur
1,5,2020-07-24,28.13,nasa_mur
1,5,2020-07-25,28.25,nasa_mur
1,5,2020-07-26,28.43,nasa_mur
1,5,2020-07-27,28.34,nasa_mur
1,5,2020-07-28,28.16,nasa_mur
1,5,2020-07-29,28.6,nasa_mur
1,5,2020-07-30,28.28,nasa_mur
1,5,2020-07-31,29.26,nasa_mur
1,5,2020-08-01,29.45,nasa_mur
1,5,2020-08-02,29.63,nasa_mur
1,5,2020-08-03,29.46,nasa_mur
1,5,2020-08-04,29.19,nasa_mur
1,5,2020-08-05,28.65,nasa_mur
1,5,2020-08-06,28.56,nasa_mur
1,5,2020-08-07,28.44,nasa_mur
1,5,2020-08-08,28.48,nasa_mur
1,5,2020-08-09,28.99,nasa_mur
1,5,2020-08-10,28.92,nasa_mur
1,5,2020-08-11,29.35,nasa_mur
1,5,2020-08-12,29.37,nasa_mur
1,5,2020-08-13,29.43,nasa_mur
1,5,2020-08-14,29.92,nasa_mur
1,5,2020-08-15,29.89,nasa_mur
1,5,2020-08-16,29.93,nasa_mur
1,5,2020-08-17,30.07,nasa_mur
1,5,2020-08-18,30.12,nasa_mur
1,5,2020-08-19,29.56,nasa_mur
1,5,2020-08-20,29.69,nasa_mur
1,5,2020-08-21,29.9,nasa_mur
1,5,2020-08-22,29.93,nasa_mur
1,5,2020-08-23,29.75,nasa_mur
1,5,2020-08-24,29.53,nasa_mur
1,5,2020-08-25,29.27,nasa_mur
1,5,2020-08-26,29.68,nasa_mur
1,5,2020-08-27,29.55,nasa_mur
1,5,2020-08-28,29.41,nasa_mur
1,5,2020-08-29,28.87,nasa_mur
1,5,2020-08-30,28.6,nasa_mur
1,5,2020-08-31,28.83,nasa_mur
1,5,2020-09-01,28.9,nasa_mur
1,5,2020-09-02,27.83,nasa_mur
1,5,2020-09-03,27.16,nasa_mur
1,5,2020-09-04,27.05,nasa_mur
1,5,2020-09-05,26.54,nasa_mur
1,5,2020-09-06,26.7,nasa_mur
1,5,2020-09-07,26.69,nasa_mur
1,5,2020-09-08,26.78,nasa_mur
1,5,2020-09-09,27.04,nasa_mur
1,5,2020-09-10,27.3,nasa_mur
1,5,2020-09-11,27.39,nasa_mur
1,5,2020-09-12,27.49,nasa_mur
1,5,2020-09-13,27.46,nasa_mur
1,5,2020-09-14,27.48,nasa_mur
1,5,2020-09-15,27.55,nasa_mur
