プロット タイトル: site12_spot040_2020,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054373, SEN S/N: 20054373)",カプラー取り外し (LGR S/N: 20054373),ファイルの終わり (LGR S/N: 20054373)
341,10/21/19 12:00:00 午後,26.134,,
342,10/21/19 12:00:00 午後,25.939,,
343,10/21/19 12:00:00 午後,25.453,,
344,10/21/19 12:00:00 午後,25.283,,
345,10/21/19 12:00:00 午後,25.307,,
346,10/21/19 12:00:00 午後,25.453,,
347,10/21/19 12:00:00 午後,25.598,,
348,10/21/19 12:00:00 午後,25.89,,
349,10/21/19 12:00:00 午後,26.012,,
350,10/21/19 12:00:00 午後,25.939,,
351,10/21/19 12:00:00 午後,25.744,,
352,10/21/19 12:00:00 午後,25.55,,
353,10/21/19 12:00:00 午後,25.404,,
354,10/21/19 12:00:00 午後,25.38,,
355,10/21/19 12:00:00 午後,25.283,,
356,10/21/19 12:00:00 午後,25.089,,
357,10/21/19 12:00:00 午後,24.968,,
358,10/21/19 12:00:00 午後,24.992,,
359,10/21/19 12:00:00 午後,25.307,,
360,10/21/19 12:00:00 午後,25.623,,
361,10/21/19 12:00:00 午後,26.256,,
362,10/21/19 12:00:00 午後,26.329,,
363,10/21/19 12:00:00 午後,26.5,,
364,10/21/19 12:00:00 午後,26.304,,
365,10/21/19 12:00:00 午後,26.207,,
366,10/21/19 12:00:00 午後,26.036,,
367,10/21/19 12:00:00 午後,25.841,,
368,10/21/19 12:00:00 午後,25.695,,
369,10/21/19 12:00:00 午後,25.525,,
370,10/21/19 12:00:00 午後,25.186,,
371,10/21/19 12:00:00 午後,25.283,,
372,10/21/19 12:00:00 午後,25.574,,
373,10/21/19 12:00:00 午後,25.623,,
374,10/21/19 12:00:00 午後,25.647,,
375,10/21/19 12:00:00 午後,25.647,,
376,10/21/19 12:00:00 午後,25.574,,
377,10/21/19 12:00:00 午後,25.501,,
378,10/21/19 12:00:00 午後,25.477,,
379,10/21/19 12:00:00 午後,25.21,,
380,10/21/19 12:00:00 午後,24.992,,
381,10/21/19 12:00:00 午後,25.113,,
382,10/21/19 12:00:00 午後,25.258,,
383,10/21/19 12:00:00 午後,25.501,,
384,10/21/19 12:00:00 午後,25.939,,
385,10/21/19 12:00:00 午後,26.524,,
386,10/21/19 12:00:00 午後,26.622,,
387,10/21/19 12:00:00 午後,26.573,,
388,10/21/19 12:00:00 午後,26.524,,
389,10/21/19 12:00:00 午後,26.353,,
390,10/21/19 12:00:00 午後,26.182,,
391,10/21/19 12:00:00 午後,26.036,,
392,10/21/19 12:00:00 午後,25.963,,
393,10/21/19 12:00:00 午後,25.866,,
394,10/21/19 12:00:00 午後,25.744,,
395,10/21/19 12:00:00 午後,25.525,,
396,10/21/19 12:00:00 午後,25.647,,
397,10/21/19 12:00:00 午後,25.866,,
398,10/21/19 12:00:00 午後,25.987,,
399,10/21/19 12:00:00 午後,25.963,,
400,10/21/19 12:00:00 午後,26.061,,
401,10/21/19 12:00:00 午後,26.036,,
402,10/21/19 12:00:00 午後,26.012,,
403,10/21/19 12:00:00 午後,25.939,,
404,10/21/19 12:00:00 午後,25.744,,
405,10/21/19 12:00:00 午後,25.671,,
406,10/21/19 12:00:00 午後,25.598,,
407,10/21/19 12:00:00 午後,25.695,,
408,10/21/19 12:00:00 午後,26.036,,
409,10/21/19 12:00:00 午後,26.646,,
410,10/21/19 12:00:00 午後,26.72,,
411,10/21/19 12:00:00 午後,26.5,,
412,10/21/19 12:00:00 午後,26.402,,
413,10/21/19 12:00:00 午後,26.353,,
414,10/21/19 12:00:00 午後,26.109,,
415,10/21/19 12:00:00 午後,25.987,,
416,10/21/19 12:00:00 午後,25.744,,
417,10/21/19 12:00:00 午後,25.525,,
418,10/21/19 12:00:00 午後,25.38,,
419,10/21/19 12:00:00 午後,25.331,,
420,10/21/19 12:00:00 午後,25.501,,
421,10/21/19 12:00:00 午後,25.55,,
422,10/21/19 12:00:00 午後,25.647,,
423,10/21/19 12:00:00 午後,25.695,,
424,10/21/19 12:00:00 午後,25.72,,
425,10/21/19 12:00:00 午後,25.768,,
426,10/21/19 12:00:00 午後,25.72,,
427,10/21/19 12:00:00 午後,25.525,,
428,10/21/19 12:00:00 午後,25.355,,
429,10/21/19 12:00:00 午後,25.234,,
430,10/21/19 12:00:00 午後,25.307,,
431,10/21/19 12:00:00 午後,25.38,,
432,10/21/19 12:00:00 午後,25.307,,
433,10/21/19 12:00:00 午後,25.331,,
434,10/21/19 12:00:00 午後,25.963,,
435,10/21/19 12:00:00 午後,26.256,,
436,10/21/19 12:00:00 午後,26.109,,
437,10/21/19 12:00:00 午後,26.085,,
438,10/21/19 12:00:00 午後,25.939,,
439,10/21/19 12:00:00 午後,25.817,,
440,10/21/19 12:00:00 午後,25.72,,
441,10/21/19 12:00:00 午後,25.598,,
442,10/21/19 12:00:00 午後,25.428,,
