Plot Title: site19_spot001_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054360, SEN S/N: 20054360)",カプラー取り外し (LGR S/N: 20054360),カプラー取り付け (LGR S/N: 20054360),ホスト接続 (LGR S/N: 20054360),停止済み (LGR S/N: 20054360),ファイルの終わり (LGR S/N: 20054360)
278,11/19/19 06:07:26 午前,21.533,,,,,
279,11/19/19 07:07:26 午前,21.628,,,,,
280,11/19/19 08:07:26 午前,21.676,,,,,
281,11/19/19 09:07:26 午前,21.7,,,,,
282,11/19/19 10:07:26 午前,21.652,,,,,
283,11/19/19 11:07:26 午前,21.628,,,,,
284,11/19/19 12:07:26 午後,21.628,,,,,
285,11/19/19 01:07:26 午後,21.628,,,,,
286,11/19/19 02:07:26 午後,21.7,,,,,
287,11/19/19 03:07:26 午後,21.772,,,,,
288,11/19/19 04:07:26 午後,21.843,,,,,
289,11/19/19 05:07:26 午後,21.891,,,,,
290,11/19/19 06:07:26 午後,21.915,,,,,
291,11/19/19 07:07:26 午後,21.939,,,,,
292,11/19/19 08:07:26 午後,21.963,,,,,
293,11/19/19 09:07:26 午後,21.963,,,,,
294,11/19/19 10:07:26 午後,21.963,,,,,
295,11/19/19 11:07:26 午後,21.939,,,,,
296,11/20/19 12:07:26 午前,21.843,,,,,
297,11/20/19 01:07:26 午前,21.772,,,,,
298,11/20/19 02:07:26 午前,21.724,,,,,
299,11/20/19 03:07:26 午前,21.748,,,,,
300,11/20/19 04:07:26 午前,21.819,,,,,
301,11/20/19 05:07:26 午前,21.867,,,,,
302,11/20/19 06:07:26 午前,21.891,,,,,
303,11/20/19 07:07:26 午前,21.915,,,,,
304,11/20/19 08:07:26 午前,21.915,,,,,
305,11/20/19 09:07:26 午前,21.915,,,,,
306,11/20/19 10:07:26 午前,21.867,,,,,
307,11/20/19 11:07:26 午前,21.772,,,,,
308,11/20/19 12:07:26 午後,21.676,,,,,
309,11/20/19 01:07:26 午後,21.557,,,,,
310,11/20/19 02:07:26 午後,21.485,,,,,
311,11/20/19 03:07:26 午後,21.413,,,,,
312,11/20/19 04:07:26 午後,21.366,,,,,
313,11/20/19 05:07:26 午後,21.342,,,,,
314,11/20/19 06:07:26 午後,21.342,,,,,
315,11/20/19 07:07:26 午後,21.39,,,,,
316,11/20/19 08:07:26 午後,21.342,,,,,
317,11/20/19 09:07:26 午後,21.246,,,,,
318,11/20/19 10:07:26 午後,21.056,,,,,
319,11/20/19 11:07:26 午後,20.913,,,,,
320,11/21/19 12:07:26 午前,20.984,,,,,
321,11/21/19 01:07:26 午前,21.079,,,,,
322,11/21/19 02:07:26 午前,21.032,,,,,
323,11/21/19 03:07:26 午前,20.793,,,,,
324,11/21/19 04:07:26 午前,20.579,,,,,
325,11/21/19 05:07:26 午前,20.388,,,,,
326,11/21/19 06:07:26 午前,20.222,,,,,
327,11/21/19 07:07:26 午前,20.15,,,,,
328,11/21/19 08:07:26 午前,20.103,,,,,
329,11/21/19 09:07:26 午前,20.103,,,,,
330,11/21/19 10:07:26 午前,20.126,,,,,
331,11/21/19 11:07:26 午前,20.174,,,,,
332,11/21/19 12:07:26 午後,20.222,,,,,
333,11/21/19 01:07:26 午後,20.198,,,,,
334,11/21/19 02:07:26 午後,20.198,,,,,
335,11/21/19 03:07:26 午後,20.317,,,,,
336,11/21/19 04:07:26 午後,20.388,,,,,
337,11/21/19 05:07:26 午後,20.507,,,,,
338,11/21/19 06:07:26 午後,20.603,,,,,
339,11/21/19 07:07:26 午後,20.65,,,,,
340,11/21/19 08:07:26 午後,20.698,,,,,
341,11/21/19 09:07:26 午後,20.722,,,,,
342,11/21/19 10:07:26 午後,20.698,,,,,
343,11/21/19 11:07:26 午後,20.579,,,,,
344,11/22/19 12:07:26 午前,20.531,,,,,
345,11/22/19 01:07:26 午前,20.507,,,,,
346,11/22/19 02:07:26 午前,20.507,,,,,
347,11/22/19 03:07:26 午前,20.484,,,,,
348,11/22/19 04:07:26 午前,20.484,,,,,
349,11/22/19 05:07:26 午前,20.484,,,,,
350,11/22/19 06:07:26 午前,20.484,,,,,
351,11/22/19 07:07:26 午前,20.484,,,,,
352,11/22/19 08:07:26 午前,20.555,,,,,
353,11/22/19 09:07:26 午前,20.627,,,,,
354,11/22/19 10:07:26 午前,20.698,,,,,
355,11/22/19 11:07:26 午前,20.746,,,,,
356,11/22/19 12:07:26 午後,20.793,,,,,
357,11/22/19 01:07:26 午後,20.841,,,,,
358,11/22/19 02:07:26 午後,20.865,,,,,
359,11/22/19 03:07:26 午後,20.865,,,,,
360,11/22/19 04:07:26 午後,20.865,,,,,
361,11/22/19 05:07:26 午後,20.841,,,,,
362,11/22/19 06:07:26 午後,20.817,,,,,
363,11/22/19 07:07:26 午後,20.698,,,,,
364,11/22/19 08:07:26 午後,20.555,,,,,
365,11/22/19 09:07:26 午後,20.46,,,,,
366,11/22/19 10:07:26 午後,20.388,,,,,
367,11/22/19 11:07:26 午後,20.341,,,,,
368,11/23/19 12:07:26 午前,20.341,,,,,
369,11/23/19 01:07:26 午前,20.341,,,,,
370,11/23/19 02:07:26 午前,20.365,,,,,
371,11/23/19 03:07:26 午前,20.388,,,,,
372,11/23/19 04:07:26 午前,20.46,,,,,
373,11/23/19 05:07:26 午前,20.484,,,,,
374,11/23/19 06:07:26 午前,20.293,,,,,
375,11/23/19 07:07:26 午前,19.888,,,,,
376,11/23/19 08:07:26 午前,20.222,,,,,
377,11/23/19 09:07:26 午前,20.365,,,,,
378,11/23/19 10:07:26 午前,20.436,,,,,
379,11/23/19 11:07:26 午前,20.484,,,,,
380,11/23/19 12:07:26 午後,20.484,,,,,
381,11/23/19 01:07:26 午後,20.507,,,,,
382,11/23/19 02:07:26 午後,20.531,,,,,
383,11/23/19 03:07:26 午後,20.531,,,,,
384,11/23/19 04:07:26 午後,20.555,,,,,
385,11/23/19 05:07:26 午後,20.579,,,,,
386,11/23/19 06:07:26 午後,20.579,,,,,
387,11/23/19 07:07:26 午後,20.603,,,,,
388,11/23/19 08:07:26 午後,20.603,,,,,
389,11/23/19 09:07:26 午後,20.579,,,,,
390,11/23/19 10:07:26 午後,20.579,,,,,
391,11/23/19 11:07:26 午後,20.555,,,,,
392,11/24/19 12:07:26 午前,20.531,,,,,
393,11/24/19 01:07:26 午前,20.531,,,,,
394,11/24/19 02:07:26 午前,20.531,,,,,
395,11/24/19 03:07:26 午前,20.531,,,,,
396,11/24/19 04:07:26 午前,20.507,,,,,
397,11/24/19 05:07:26 午前,20.531,,,,,
398,11/24/19 06:07:26 午前,20.507,,,,,
399,11/24/19 07:07:26 午前,20.484,,,,,
400,11/24/19 08:07:26 午前,20.46,,,,,
401,11/24/19 09:07:26 午前,20.46,,,,,
402,11/24/19 10:07:26 午前,20.46,,,,,
403,11/24/19 11:07:26 午前,20.46,,,,,
404,11/24/19 12:07:26 午後,20.484,,,,,
405,11/24/19 01:07:26 午後,20.484,,,,,
406,11/24/19 02:07:26 午後,20.484,,,,,
407,11/24/19 03:07:26 午後,20.507,,,,,
408,11/24/19 04:07:26 午後,20.507,,,,,
409,11/24/19 05:07:26 午後,20.507,,,,,
410,11/24/19 06:07:26 午後,20.507,,,,,
411,11/24/19 07:07:26 午後,20.484,,,,,
412,11/24/19 08:07:26 午後,20.484,,,,,
413,11/24/19 09:07:26 午後,20.46,,,,,
414,11/24/19 10:07:26 午後,20.436,,,,,
415,11/24/19 11:07:26 午後,20.436,,,,,
416,11/25/19 12:07:26 午前,20.412,,,,,
417,11/25/19 01:07:26 午前,20.388,,,,,
418,11/25/19 02:07:26 午前,20.388,,,,,
419,11/25/19 03:07:26 午前,20.365,,,,,
420,11/25/19 04:07:26 午前,20.365,,,,,
421,11/25/19 05:07:26 午前,20.341,,,,,
422,11/25/19 06:07:26 午前,20.317,,,,,
423,11/25/19 07:07:26 午前,20.293,,,,,
424,11/25/19 08:07:26 午前,20.293,,,,,
425,11/25/19 09:07:26 午前,20.269,,,,,
426,11/25/19 10:07:26 午前,20.246,,,,,
427,11/25/19 11:07:26 午前,20.246,,,,,
428,11/25/19 12:07:26 午後,20.246,,,,,
429,11/25/19 01:07:26 午後,20.246,,,,,
430,11/25/19 02:07:26 午後,20.246,,,,,
431,11/25/19 03:07:26 午後,20.246,,,,,
432,11/25/19 04:07:26 午後,20.246,,,,,
433,11/25/19 05:07:26 午後,20.246,,,,,
434,11/25/19 06:07:26 午後,20.246,,,,,
435,11/25/19 07:07:26 午後,20.246,,,,,
436,11/25/19 08:07:26 午後,20.246,,,,,
437,11/25/19 09:07:26 午後,20.246,,,,,
438,11/25/19 10:07:26 午後,20.246,,,,,
439,11/25/19 11:07:26 午後,20.246,,,,,
440,11/26/19 12:07:26 午前,20.246,,,,,
441,11/26/19 01:07:26 午前,20.246,,,,,
442,11/26/19 02:07:26 午前,20.222,,,,,
443,11/26/19 03:07:26 午前,20.222,,,,,
444,11/26/19 04:07:26 午前,20.222,,,,,
445,11/26/19 05:07:26 午前,20.222,,,,,
446,11/26/19 06:07:26 午前,20.222,,,,,
447,11/26/19 07:07:26 午前,20.198,,,,,
448,11/26/19 08:07:26 午前,20.174,,,,,
449,11/26/19 09:07:26 午前,20.15,,,,,
450,11/26/19 10:07:26 午前,20.15,,,,,
451,11/26/19 11:07:26 午前,20.15,,,,,
452,11/26/19 12:07:26 午後,20.15,,,,,
453,11/26/19 01:07:26 午後,20.15,,,,,
454,11/26/19 02:07:26 午後,20.15,,,,,
455,11/26/19 03:07:26 午後,20.15,,,,,
456,11/26/19 04:07:26 午後,20.103,,,,,
457,11/26/19 05:07:26 午後,20.079,,,,,
458,11/26/19 06:07:26 午後,20.079,,,,,
459,11/26/19 07:07:26 午後,20.079,,,,,
460,11/26/19 08:07:26 午後,20.103,,,,,
461,11/26/19 09:07:26 午後,20.103,,,,,
462,11/26/19 10:07:26 午後,20.103,,,,,
463,11/26/19 11:07:26 午後,20.103,,,,,
464,11/27/19 12:07:26 午前,20.103,,,,,
465,11/27/19 01:07:26 午前,19.936,,,,,
466,11/27/19 02:07:26 午前,19.722,,,,,
467,11/27/19 03:07:26 午前,19.674,,,,,
468,11/27/19 04:07:26 午前,19.674,,,,,
469,11/27/19 05:07:26 午前,19.698,,,,,
470,11/27/19 06:07:26 午前,19.722,,,,,
471,11/27/19 07:07:26 午前,19.77,,,,,
472,11/27/19 08:07:26 午前,19.793,,,,,
473,11/27/19 09:07:26 午前,19.841,,,,,
474,11/27/19 10:07:26 午前,19.865,,,,,
475,11/27/19 11:07:26 午前,19.888,,,,,
476,11/27/19 12:07:26 午後,19.912,,,,,
477,11/27/19 01:07:26 午後,19.912,,,,,
478,11/27/19 02:07:26 午後,19.912,,,,,
479,11/27/19 03:07:26 午後,19.888,,,,,
480,11/27/19 04:07:26 午後,19.865,,,,,
481,11/27/19 05:07:26 午後,19.865,,,,,
482,11/27/19 06:07:26 午後,19.912,,,,,
483,11/27/19 07:07:26 午後,19.984,,,,,
484,11/27/19 08:07:26 午後,20.007,,,,,
485,11/27/19 09:07:26 午後,20.031,,,,,
486,11/27/19 10:07:26 午後,20.031,,,,,
487,11/27/19 11:07:26 午後,20.055,,,,,
488,11/28/19 12:07:26 午前,20.031,,,,,
489,11/28/19 01:07:26 午前,20.031,,,,,
490,11/28/19 02:07:26 午前,20.007,,,,,
491,11/28/19 03:07:26 午前,20.007,,,,,
492,11/28/19 04:07:26 午前,20.007,,,,,
493,11/28/19 05:07:26 午前,19.984,,,,,
494,11/28/19 06:07:26 午前,19.984,,,,,
495,11/28/19 07:07:26 午前,20.007,,,,,
496,11/28/19 08:07:26 午前,20.031,,,,,
497,11/28/19 09:07:26 午前,20.079,,,,,
498,11/28/19 10:07:26 午前,20.103,,,,,
499,11/28/19 11:07:26 午前,20.126,,,,,
500,11/28/19 12:07:26 午後,20.15,,,,,
501,11/28/19 01:07:26 午後,20.15,,,,,
502,11/28/19 02:07:26 午後,20.174,,,,,
503,11/28/19 03:07:26 午後,20.174,,,,,
504,11/28/19 04:07:26 午後,20.15,,,,,
505,11/28/19 05:07:26 午後,20.15,,,,,
506,11/28/19 06:07:26 午後,20.103,,,,,
507,11/28/19 07:07:26 午後,20.031,,,,,
508,11/28/19 08:07:26 午後,19.96,,,,,
509,11/28/19 09:07:26 午後,19.888,,,,,
510,11/28/19 10:07:26 午後,19.77,,,,,
511,11/28/19 11:07:26 午後,19.627,,,,,
512,11/29/19 12:07:26 午前,19.436,,,,,
513,11/29/19 01:07:26 午前,19.318,,,,,
514,11/29/19 02:07:26 午前,19.318,,,,,
515,11/29/19 03:07:26 午前,19.365,,,,,
516,11/29/19 04:07:26 午前,19.436,,,,,
517,11/29/19 05:07:26 午前,19.46,,,,,
518,11/29/19 06:07:26 午前,19.508,,,,,
519,11/29/19 07:07:26 午前,19.579,,,,,
520,11/29/19 08:07:26 午前,19.627,,,,,
521,11/29/19 09:07:26 午前,19.508,,,,,
522,11/29/19 10:07:26 午前,19.389,,,,,
523,11/29/19 11:07:26 午前,19.246,,,,,
524,11/29/19 12:07:26 午後,19.056,,,,,
525,11/29/19 01:07:26 午後,19.08,,,,,
526,11/29/19 02:07:26 午後,19.246,,,,,
527,11/29/19 03:07:26 午後,19.389,,,,,
528,11/29/19 04:07:26 午後,19.508,,,,,
