site19_spot001_2024,,
no,time,temp
1248,12/14/23 04:00:00 午前,19.199
1249,12/14/23 05:00:00 午前,19.294
1250,12/14/23 06:00:00 午前,19.246
1251,12/14/23 07:00:00 午前,19.246
1252,12/14/23 08:00:00 午前,19.27
1253,12/14/23 09:00:00 午前,19.294
1254,12/14/23 10:00:00 午前,19.341
1255,12/14/23 11:00:00 午前,19.389
1256,12/14/23 12:00:00 午後,19.46
1257,12/14/23 01:00:00 午後,19.484
1258,12/14/23 02:00:00 午後,19.484
1259,12/14/23 03:00:00 午後,19.484
1260,12/14/23 04:00:00 午後,19.508
1261,12/14/23 05:00:00 午後,19.532
1262,12/14/23 06:00:00 午後,19.508
1263,12/14/23 07:00:00 午後,19.484
1264,12/14/23 08:00:00 午後,19.46
1265,12/14/23 09:00:00 午後,19.413
1266,12/14/23 10:00:00 午後,19.365
1267,12/14/23 11:00:00 午後,19.341
1268,12/15/23 12:00:00 午前,19.318
1269,12/15/23 01:00:00 午前,19.27
1270,12/15/23 02:00:00 午前,19.222
1271,12/15/23 03:00:00 午前,19.199
1272,12/15/23 04:00:00 午前,19.199
1273,12/15/23 05:00:00 午前,19.222
1274,12/15/23 06:00:00 午前,19.199
1275,12/15/23 07:00:00 午前,19.175
1276,12/15/23 08:00:00 午前,19.151
1277,12/15/23 09:00:00 午前,19.151
1278,12/15/23 10:00:00 午前,19.127
1279,12/15/23 11:00:00 午前,19.127
1280,12/15/23 12:00:00 午後,19.175
1281,12/15/23 01:00:00 午後,19.199
1282,12/15/23 02:00:00 午後,19.222
1283,12/15/23 03:00:00 午後,19.246
1284,12/15/23 04:00:00 午後,19.246
1285,12/15/23 05:00:00 午後,19.199
1286,12/15/23 06:00:00 午後,19.08
1287,12/15/23 07:00:00 午後,18.937
1288,12/15/23 08:00:00 午後,18.937
1289,12/15/23 09:00:00 午後,18.985
1290,12/15/23 10:00:00 午後,19.032
1291,12/15/23 11:00:00 午後,19.032
1292,12/16/23 12:00:00 午前,19.032
1293,12/16/23 01:00:00 午前,18.985
1294,12/16/23 02:00:00 午前,18.937
1295,12/16/23 03:00:00 午前,18.913
1296,12/16/23 04:00:00 午前,18.913
1297,12/16/23 05:00:00 午前,18.913
1298,12/16/23 06:00:00 午前,18.913
1299,12/16/23 07:00:00 午前,18.937
1300,12/16/23 08:00:00 午前,18.961
1301,12/16/23 09:00:00 午前,18.961
1302,12/16/23 10:00:00 午前,18.985
1303,12/16/23 11:00:00 午前,19.056
1304,12/16/23 12:00:00 午後,19.103
1305,12/16/23 01:00:00 午後,19.127
1306,12/16/23 02:00:00 午後,19.151
1307,12/16/23 03:00:00 午後,19.175
1308,12/16/23 04:00:00 午後,19.199
1309,12/16/23 05:00:00 午後,19.222
1310,12/16/23 06:00:00 午後,19.222
1311,12/16/23 07:00:00 午後,19.199
1312,12/16/23 08:00:00 午後,19.175
1313,12/16/23 09:00:00 午後,19.127
1314,12/16/23 10:00:00 午後,19.056
1315,12/16/23 11:00:00 午後,18.985
1316,12/17/23 12:00:00 午前,18.842
1317,12/17/23 01:00:00 午前,18.771
1318,12/17/23 02:00:00 午前,18.723
1319,12/17/23 03:00:00 午前,18.604
1320,12/17/23 04:00:00 午前,18.414
1321,12/17/23 05:00:00 午前,18.2
1322,12/17/23 06:00:00 午前,18.105
1323,12/17/23 07:00:00 午前,18.033
1324,12/17/23 08:00:00 午前,17.819
1325,12/17/23 09:00:00 午前,17.51
1326,12/17/23 10:00:00 午前,17.486
1327,12/17/23 11:00:00 午前,17.534
1328,12/17/23 12:00:00 午後,17.534
1329,12/17/23 01:00:00 午後,17.51
1330,12/17/23 02:00:00 午後,17.534
1331,12/17/23 03:00:00 午後,17.486
1332,12/17/23 04:00:00 午後,17.534
1333,12/17/23 05:00:00 午後,17.724
1334,12/17/23 06:00:00 午後,17.796
1335,12/17/23 07:00:00 午後,17.867
1336,12/17/23 08:00:00 午後,17.962
1337,12/17/23 09:00:00 午後,18.01
1338,12/17/23 10:00:00 午後,17.986
1339,12/17/23 11:00:00 午後,17.962
1340,12/18/23 12:00:00 午前,17.962
1341,12/18/23 01:00:00 午前,17.986
1342,12/18/23 02:00:00 午前,17.962
1343,12/18/23 03:00:00 午前,17.891
1344,12/18/23 04:00:00 午前,17.843
1345,12/18/23 05:00:00 午前,17.867
1346,12/18/23 06:00:00 午前,17.891
1347,12/18/23 07:00:00 午前,17.915
