プロット タイトル: site01_spot005(-8)_2023,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011404, SEN S/N: 21011404)",カプラー取り外し (LGR S/N: 21011404),カプラー取り付け (LGR S/N: 21011404),停止済み (LGR S/N: 21011404),ファイルの終わり (LGR S/N: 21011404)
319,01/24/23 09:00:00 午後,21.509,,,,
320,01/24/23 10:00:00 午後,21.485,,,,
321,01/24/23 11:00:00 午後,21.39,,,,
322,01/25/23 12:00:00 午前,21.318,,,,
323,01/25/23 01:00:00 午前,21.509,,,,
324,01/25/23 02:00:00 午前,21.7,,,,
325,01/25/23 03:00:00 午前,21.724,,,,
326,01/25/23 04:00:00 午前,21.724,,,,
327,01/25/23 05:00:00 午前,21.676,,,,
328,01/25/23 06:00:00 午前,21.557,,,,
329,01/25/23 07:00:00 午前,21.413,,,,
330,01/25/23 08:00:00 午前,21.39,,,,
331,01/25/23 09:00:00 午前,21.604,,,,
332,01/25/23 10:00:00 午前,21.652,,,,
333,01/25/23 11:00:00 午前,21.652,,,,
334,01/25/23 12:00:00 午後,21.557,,,,
335,01/25/23 01:00:00 午後,21.461,,,,
336,01/25/23 02:00:00 午後,21.485,,,,
337,01/25/23 03:00:00 午後,21.294,,,,
338,01/25/23 04:00:00 午後,20.984,,,,
339,01/25/23 05:00:00 午後,21.103,,,,
340,01/25/23 06:00:00 午後,21.056,,,,
341,01/25/23 07:00:00 午後,20.984,,,,
342,01/25/23 08:00:00 午後,20.936,,,,
343,01/25/23 09:00:00 午後,21.199,,,,
344,01/25/23 10:00:00 午後,21.342,,,,
345,01/25/23 11:00:00 午後,21.079,,,,
346,01/26/23 12:00:00 午前,21.127,,,,
347,01/26/23 01:00:00 午前,21.056,,,,
348,01/26/23 02:00:00 午前,20.984,,,,
349,01/26/23 03:00:00 午前,20.913,,,,
350,01/26/23 04:00:00 午前,20.841,,,,
351,01/26/23 05:00:00 午前,20.889,,,,
352,01/26/23 06:00:00 午前,20.674,,,,
353,01/26/23 07:00:00 午前,20.627,,,,
354,01/26/23 08:00:00 午前,20.817,,,,
355,01/26/23 09:00:00 午前,20.793,,,,
356,01/26/23 10:00:00 午前,21.056,,,,
357,01/26/23 11:00:00 午前,21.39,,,,
358,01/26/23 12:00:00 午後,21.533,,,,
359,01/26/23 01:00:00 午後,21.7,,,,
360,01/26/23 02:00:00 午後,21.843,,,,
361,01/26/23 03:00:00 午後,21.843,,,,
362,01/26/23 04:00:00 午後,21.772,,,,
363,01/26/23 05:00:00 午後,21.772,,,,
364,01/26/23 06:00:00 午後,21.819,,,,
365,01/26/23 07:00:00 午後,21.843,,,,
366,01/26/23 08:00:00 午後,21.867,,,,
367,01/26/23 09:00:00 午後,21.891,,,,
368,01/26/23 10:00:00 午後,21.819,,,,
369,01/26/23 11:00:00 午後,21.7,,,,
370,01/27/23 12:00:00 午前,21.676,,,,
371,01/27/23 01:00:00 午前,21.676,,,,
372,01/27/23 02:00:00 午前,21.748,,,,
373,01/27/23 03:00:00 午前,21.748,,,,
374,01/27/23 04:00:00 午前,21.867,,,,
375,01/27/23 05:00:00 午前,21.939,,,,
376,01/27/23 06:00:00 午前,21.963,,,,
377,01/27/23 07:00:00 午前,21.939,,,,
378,01/27/23 08:00:00 午前,21.915,,,,
379,01/27/23 09:00:00 午前,21.867,,,,
380,01/27/23 10:00:00 午前,21.795,,,,
381,01/27/23 11:00:00 午前,21.867,,,,
382,01/27/23 12:00:00 午後,21.772,,,,
383,01/27/23 01:00:00 午後,21.724,,,,
384,01/27/23 02:00:00 午後,21.581,,,,
385,01/27/23 03:00:00 午後,21.056,,,,
386,01/27/23 04:00:00 午後,20.984,,,,
387,01/27/23 05:00:00 午後,20.913,,,,
388,01/27/23 06:00:00 午後,21.008,,,,
389,01/27/23 07:00:00 午後,21.056,,,,
390,01/27/23 08:00:00 午後,21.079,,,,
391,01/27/23 09:00:00 午後,21.366,,,,
392,01/27/23 10:00:00 午後,21.485,,,,
393,01/27/23 11:00:00 午後,21.485,,,,
394,01/28/23 12:00:00 午前,21.437,,,,
395,01/28/23 01:00:00 午前,21.39,,,,
396,01/28/23 02:00:00 午前,21.366,,,,
397,01/28/23 03:00:00 午前,21.246,,,,
398,01/28/23 04:00:00 午前,20.865,,,,
399,01/28/23 05:00:00 午前,20.913,,,,
400,01/28/23 06:00:00 午前,20.722,,,,
401,01/28/23 07:00:00 午前,20.579,,,,
402,01/28/23 08:00:00 午前,20.674,,,,
403,01/28/23 09:00:00 午前,20.865,,,,
404,01/28/23 10:00:00 午前,21.079,,,,
405,01/28/23 11:00:00 午前,21.246,,,,
406,01/28/23 12:00:00 午後,21.413,,,,
407,01/28/23 01:00:00 午後,21.342,,,,
408,01/28/23 02:00:00 午後,21.318,,,,
409,01/28/23 03:00:00 午後,21.008,,,,
410,01/28/23 04:00:00 午後,20.793,,,,
411,01/28/23 05:00:00 午後,20.793,,,,
412,01/28/23 06:00:00 午後,20.674,,,,
413,01/28/23 07:00:00 午後,20.412,,,,
414,01/28/23 08:00:00 午後,20.555,,,,
415,01/28/23 09:00:00 午後,20.579,,,,
416,01/28/23 10:00:00 午後,20.65,,,,
417,01/28/23 11:00:00 午後,20.793,,,,
418,01/29/23 12:00:00 午前,20.746,,,,
419,01/29/23 01:00:00 午前,21.008,,,,
420,01/29/23 02:00:00 午前,20.889,,,,
421,01/29/23 03:00:00 午前,20.65,,,,
422,01/29/23 04:00:00 午前,20.841,,,,
423,01/29/23 05:00:00 午前,21.032,,,,
424,01/29/23 06:00:00 午前,20.817,,,,
425,01/29/23 07:00:00 午前,21.151,,,,
426,01/29/23 08:00:00 午前,21.366,,,,
427,01/29/23 09:00:00 午前,21.485,,,,
428,01/29/23 10:00:00 午前,21.533,,,,
429,01/29/23 11:00:00 午前,21.557,,,,
430,01/29/23 12:00:00 午後,21.437,,,,
431,01/29/23 01:00:00 午後,21.437,,,,
432,01/29/23 02:00:00 午後,21.294,,,,
433,01/29/23 03:00:00 午後,21.127,,,,
434,01/29/23 04:00:00 午後,20.841,,,,
435,01/29/23 05:00:00 午後,21.246,,,,
436,01/29/23 06:00:00 午後,20.865,,,,
437,01/29/23 07:00:00 午後,21.27,,,,
438,01/29/23 08:00:00 午後,21.342,,,,
439,01/29/23 09:00:00 午後,21.437,,,,
440,01/29/23 10:00:00 午後,21.366,,,,
441,01/29/23 11:00:00 午後,21.413,,,,
442,01/30/23 12:00:00 午前,21.079,,,,
443,01/30/23 01:00:00 午前,21.223,,,,
444,01/30/23 02:00:00 午前,21.366,,,,
445,01/30/23 03:00:00 午前,21.342,,,,
446,01/30/23 04:00:00 午前,21.366,,,,
447,01/30/23 05:00:00 午前,21.39,,,,
448,01/30/23 06:00:00 午前,21.413,,,,
449,01/30/23 07:00:00 午前,21.509,,,,
450,01/30/23 08:00:00 午前,21.079,,,,
451,01/30/23 09:00:00 午前,21.366,,,,
452,01/30/23 10:00:00 午前,21.318,,,,
453,01/30/23 11:00:00 午前,20.865,,,,
454,01/30/23 12:00:00 午後,21.032,,,,
455,01/30/23 01:00:00 午後,21.008,,,,
456,01/30/23 02:00:00 午後,20.555,,,,
457,01/30/23 03:00:00 午後,20.579,,,,
458,01/30/23 04:00:00 午後,20.436,,,,
459,01/30/23 05:00:00 午後,20.317,,,,
460,01/30/23 06:00:00 午後,20.388,,,,
461,01/30/23 07:00:00 午後,20.507,,,,
462,01/30/23 08:00:00 午後,20.913,,,,
463,01/30/23 09:00:00 午後,20.96,,,,
464,01/30/23 10:00:00 午後,20.865,,,,
465,01/30/23 11:00:00 午後,20.889,,,,
466,01/31/23 12:00:00 午前,21.032,,,,
467,01/31/23 01:00:00 午前,20.913,,,,
468,01/31/23 02:00:00 午前,20.913,,,,
469,01/31/23 03:00:00 午前,20.913,,,,
470,01/31/23 04:00:00 午前,20.913,,,,
471,01/31/23 05:00:00 午前,20.936,,,,
472,01/31/23 06:00:00 午前,20.936,,,,
473,01/31/23 07:00:00 午前,20.984,,,,
474,01/31/23 08:00:00 午前,20.936,,,,
475,01/31/23 09:00:00 午前,21.008,,,,
476,01/31/23 10:00:00 午前,21.056,,,,
477,01/31/23 11:00:00 午前,21.199,,,,
478,01/31/23 12:00:00 午後,21.223,,,,
479,01/31/23 01:00:00 午後,21.294,,,,
480,01/31/23 02:00:00 午後,21.366,,,,
481,01/31/23 03:00:00 午後,21.39,,,,
482,01/31/23 04:00:00 午後,21.437,,,,
483,01/31/23 05:00:00 午後,21.437,,,,
484,01/31/23 06:00:00 午後,21.461,,,,
485,01/31/23 07:00:00 午後,21.437,,,,
486,01/31/23 08:00:00 午後,21.437,,,,
487,01/31/23 09:00:00 午後,21.437,,,,
488,01/31/23 10:00:00 午後,21.461,,,,
489,01/31/23 11:00:00 午後,21.461,,,,
490,02/01/23 12:00:00 午前,21.39,,,,
491,02/01/23 01:00:00 午前,21.366,,,,
492,02/01/23 02:00:00 午前,21.366,,,,
493,02/01/23 03:00:00 午前,21.318,,,,
494,02/01/23 04:00:00 午前,21.27,,,,
495,02/01/23 05:00:00 午前,21.246,,,,
496,02/01/23 06:00:00 午前,21.246,,,,
497,02/01/23 07:00:00 午前,21.294,,,,
498,02/01/23 08:00:00 午前,21.342,,,,
499,02/01/23 09:00:00 午前,21.342,,,,
500,02/01/23 10:00:00 午前,21.366,,,,
501,02/01/23 11:00:00 午前,21.39,,,,
502,02/01/23 12:00:00 午後,21.39,,,,
503,02/01/23 01:00:00 午後,21.366,,,,
504,02/01/23 02:00:00 午後,21.39,,,,
505,02/01/23 03:00:00 午後,21.413,,,,
506,02/01/23 04:00:00 午後,21.437,,,,
507,02/01/23 05:00:00 午後,21.437,,,,
508,02/01/23 06:00:00 午後,21.461,,,,
509,02/01/23 07:00:00 午後,21.461,,,,
510,02/01/23 08:00:00 午後,21.461,,,,
511,02/01/23 09:00:00 午後,21.437,,,,
512,02/01/23 10:00:00 午後,21.413,,,,
513,02/01/23 11:00:00 午後,21.366,,,,
514,02/02/23 12:00:00 午前,21.39,,,,
515,02/02/23 01:00:00 午前,21.39,,,,
516,02/02/23 02:00:00 午前,21.39,,,,
517,02/02/23 03:00:00 午前,21.39,,,,
518,02/02/23 04:00:00 午前,21.39,,,,
519,02/02/23 05:00:00 午前,21.39,,,,
520,02/02/23 06:00:00 午前,21.39,,,,
521,02/02/23 07:00:00 午前,21.366,,,,
522,02/02/23 08:00:00 午前,21.366,,,,
523,02/02/23 09:00:00 午前,21.366,,,,
524,02/02/23 10:00:00 午前,21.342,,,,
525,02/02/23 11:00:00 午前,21.366,,,,
526,02/02/23 12:00:00 午後,21.413,,,,
527,02/02/23 01:00:00 午後,21.437,,,,
528,02/02/23 02:00:00 午後,21.437,,,,
529,02/02/23 03:00:00 午後,21.461,,,,
530,02/02/23 04:00:00 午後,21.366,,,,
531,02/02/23 05:00:00 午後,21.413,,,,
532,02/02/23 06:00:00 午後,21.437,,,,
533,02/02/23 07:00:00 午後,21.437,,,,
534,02/02/23 08:00:00 午後,21.366,,,,
