プロット タイトル:site22_spot006_2021,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20481320, SEN S/N: 20481320)",カプラー取り外し (LGR S/N: 20481320),カプラー取り付け (LGR S/N: 20481320),ホスト接続 (LGR S/N: 20481320),停止済み (LGR S/N: 20481320),ファイルの終わり (LGR S/N: 20481320)
236,11/30/20 05:00:00 午前,21.724,,,,,
237,11/30/20 06:00:00 午前,21.748,,,,,
238,11/30/20 07:00:00 午前,21.772,,,,,
239,11/30/20 08:00:00 午前,21.772,,,,,
240,11/30/20 09:00:00 午前,21.795,,,,,
241,11/30/20 10:00:00 午前,21.748,,,,,
242,11/30/20 11:00:00 午前,21.795,,,,,
243,11/30/20 12:00:00 午後,21.819,,,,,
244,11/30/20 01:00:00 午後,21.843,,,,,
245,11/30/20 02:00:00 午後,21.819,,,,,
246,11/30/20 03:00:00 午後,21.795,,,,,
247,11/30/20 04:00:00 午後,21.772,,,,,
248,11/30/20 05:00:00 午後,21.724,,,,,
249,11/30/20 06:00:00 午後,21.819,,,,,
250,11/30/20 07:00:00 午後,21.843,,,,,
251,11/30/20 08:00:00 午後,21.795,,,,,
252,11/30/20 09:00:00 午後,21.772,,,,,
253,11/30/20 10:00:00 午後,21.7,,,,,
254,11/30/20 11:00:00 午後,21.676,,,,,
255,12/01/20 12:00:00 午前,21.604,,,,,
256,12/01/20 01:00:00 午前,21.604,,,,,
257,12/01/20 02:00:00 午前,21.628,,,,,
258,12/01/20 03:00:00 午前,21.7,,,,,
259,12/01/20 04:00:00 午前,21.724,,,,,
260,12/01/20 05:00:00 午前,21.628,,,,,
261,12/01/20 06:00:00 午前,21.533,,,,,
262,12/01/20 07:00:00 午前,21.533,,,,,
263,12/01/20 08:00:00 午前,21.39,,,,,
264,12/01/20 09:00:00 午前,21.509,,,,,
265,12/01/20 10:00:00 午前,21.557,,,,,
266,12/01/20 11:00:00 午前,21.724,,,,,
267,12/01/20 12:00:00 午後,21.843,,,,,
268,12/01/20 01:00:00 午後,22.13,,,,,
269,12/01/20 02:00:00 午後,22.226,,,,,
270,12/01/20 03:00:00 午後,22.345,,,,,
271,12/01/20 04:00:00 午後,22.369,,,,,
272,12/01/20 05:00:00 午後,22.154,,,,,
273,12/01/20 06:00:00 午後,22.345,,,,,
274,12/01/20 07:00:00 午後,22.298,,,,,
275,12/01/20 08:00:00 午後,22.25,,,,,
276,12/01/20 09:00:00 午後,22.082,,,,,
277,12/01/20 10:00:00 午後,22.178,,,,,
278,12/01/20 11:00:00 午後,22.13,,,,,
279,12/02/20 12:00:00 午前,22.13,,,,,
280,12/02/20 01:00:00 午前,22.13,,,,,
281,12/02/20 02:00:00 午前,22.106,,,,,
282,12/02/20 03:00:00 午前,22.202,,,,,
283,12/02/20 04:00:00 午前,22.154,,,,,
284,12/02/20 05:00:00 午前,22.154,,,,,
285,12/02/20 06:00:00 午前,22.178,,,,,
286,12/02/20 07:00:00 午前,22.13,,,,,
287,12/02/20 08:00:00 午前,22.13,,,,,
288,12/02/20 09:00:00 午前,22.369,,,,,
289,12/02/20 10:00:00 午前,22.345,,,,,
290,12/02/20 11:00:00 午前,22.417,,,,,
291,12/02/20 12:00:00 午後,22.561,,,,,
292,12/02/20 01:00:00 午後,22.657,,,,,
293,12/02/20 02:00:00 午後,22.729,,,,,
294,12/02/20 03:00:00 午後,22.824,,,,,
295,12/02/20 04:00:00 午後,22.824,,,,,
296,12/02/20 05:00:00 午後,22.8,,,,,
297,12/02/20 06:00:00 午後,22.776,,,,,
298,12/02/20 07:00:00 午後,22.681,,,,,
299,12/02/20 08:00:00 午後,22.609,,,,,
300,12/02/20 09:00:00 午後,22.489,,,,,
301,12/02/20 10:00:00 午後,22.321,,,,,
302,12/02/20 11:00:00 午後,22.178,,,,,
303,12/03/20 12:00:00 午前,22.106,,,,,
304,12/03/20 01:00:00 午前,22.178,,,,,
305,12/03/20 02:00:00 午前,22.13,,,,,
306,12/03/20 03:00:00 午前,22.226,,,,,
307,12/03/20 04:00:00 午前,22.274,,,,,
308,12/03/20 05:00:00 午前,22.226,,,,,
309,12/03/20 06:00:00 午前,22.274,,,,,
310,12/03/20 07:00:00 午前,22.226,,,,,
311,12/03/20 08:00:00 午前,22.298,,,,,
312,12/03/20 09:00:00 午前,22.226,,,,,
313,12/03/20 10:00:00 午前,22.274,,,,,
314,12/03/20 11:00:00 午前,22.321,,,,,
315,12/03/20 12:00:00 午後,22.369,,,,,
316,12/03/20 01:00:00 午後,22.345,,,,,
317,12/03/20 02:00:00 午後,22.274,,,,,
318,12/03/20 03:00:00 午後,22.106,,,,,
319,12/03/20 04:00:00 午後,22.058,,,,,
320,12/03/20 05:00:00 午後,22.106,,,,,
321,12/03/20 06:00:00 午後,21.987,,,,,
322,12/03/20 07:00:00 午後,22.011,,,,,
323,12/03/20 08:00:00 午後,22.082,,,,,
324,12/03/20 09:00:00 午後,22.13,,,,,
325,12/03/20 10:00:00 午後,22.058,,,,,
326,12/03/20 11:00:00 午後,21.939,,,,,
327,12/04/20 12:00:00 午前,21.867,,,,,
328,12/04/20 01:00:00 午前,21.7,,,,,
329,12/04/20 02:00:00 午前,21.628,,,,,
330,12/04/20 03:00:00 午前,21.819,,,,,
331,12/04/20 04:00:00 午前,21.915,,,,,
332,12/04/20 05:00:00 午前,21.891,,,,,
333,12/04/20 06:00:00 午前,21.915,,,,,
334,12/04/20 07:00:00 午前,21.987,,,,,
335,12/04/20 08:00:00 午前,21.819,,,,,
336,12/04/20 09:00:00 午前,22.058,,,,,
337,12/04/20 10:00:00 午前,22.011,,,,,
338,12/04/20 11:00:00 午前,22.106,,,,,
339,12/04/20 12:00:00 午後,22.25,,,,,
340,12/04/20 01:00:00 午後,22.298,,,,,
341,12/04/20 02:00:00 午後,22.321,,,,,
342,12/04/20 03:00:00 午後,22.345,,,,,
343,12/04/20 04:00:00 午後,22.25,,,,,
344,12/04/20 05:00:00 午後,22.178,,,,,
345,12/04/20 06:00:00 午後,22.13,,,,,
346,12/04/20 07:00:00 午後,22.058,,,,,
347,12/04/20 08:00:00 午後,22.011,,,,,
348,12/04/20 09:00:00 午後,21.891,,,,,
349,12/04/20 10:00:00 午後,21.939,,,,,
350,12/04/20 11:00:00 午後,21.867,,,,,
351,12/05/20 12:00:00 午前,21.724,,,,,
352,12/05/20 01:00:00 午前,21.581,,,,,
353,12/05/20 02:00:00 午前,21.485,,,,,
354,12/05/20 03:00:00 午前,21.413,,,,,
355,12/05/20 04:00:00 午前,21.676,,,,,
356,12/05/20 05:00:00 午前,21.628,,,,,
357,12/05/20 06:00:00 午前,21.676,,,,,
358,12/05/20 07:00:00 午前,21.628,,,,,
359,12/05/20 08:00:00 午前,21.7,,,,,
360,12/05/20 09:00:00 午前,21.748,,,,,
361,12/05/20 10:00:00 午前,21.891,,,,,
362,12/05/20 11:00:00 午前,22.058,,,,,
363,12/05/20 12:00:00 午後,22.13,,,,,
364,12/05/20 01:00:00 午後,22.226,,,,,
365,12/05/20 02:00:00 午後,22.202,,,,,
366,12/05/20 03:00:00 午後,22.202,,,,,
367,12/05/20 04:00:00 午後,22.226,,,,,
368,12/05/20 05:00:00 午後,22.178,,,,,
369,12/05/20 06:00:00 午後,22.082,,,,,
370,12/05/20 07:00:00 午後,21.939,,,,,
371,12/05/20 08:00:00 午後,21.819,,,,,
372,12/05/20 09:00:00 午後,21.7,,,,,
373,12/05/20 10:00:00 午後,21.581,,,,,
374,12/05/20 11:00:00 午後,21.509,,,,,
375,12/06/20 12:00:00 午前,21.485,,,,,
376,12/06/20 01:00:00 午前,21.342,,,,,
377,12/06/20 02:00:00 午前,21.223,,,,,
378,12/06/20 03:00:00 午前,21.366,,,,,
379,12/06/20 04:00:00 午前,21.461,,,,,
380,12/06/20 05:00:00 午前,21.509,,,,,
381,12/06/20 06:00:00 午前,21.533,,,,,
382,12/06/20 07:00:00 午前,21.581,,,,,
383,12/06/20 08:00:00 午前,21.461,,,,,
384,12/06/20 09:00:00 午前,21.7,,,,,
385,12/06/20 10:00:00 午前,21.676,,,,,
386,12/06/20 11:00:00 午前,21.867,,,,,
387,12/06/20 12:00:00 午後,21.867,,,,,
388,12/06/20 01:00:00 午後,22.058,,,,,
389,12/06/20 02:00:00 午後,22.178,,,,,
390,12/06/20 03:00:00 午後,22.274,,,,,
391,12/06/20 04:00:00 午後,22.274,,,,,
392,12/06/20 05:00:00 午後,22.25,,,,,
393,12/06/20 06:00:00 午後,22.226,,,,,
394,12/06/20 07:00:00 午後,22.178,,,,,
395,12/06/20 08:00:00 午後,22.202,,,,,
396,12/06/20 09:00:00 午後,22.082,,,,,
397,12/06/20 10:00:00 午後,22.011,,,,,
398,12/06/20 11:00:00 午後,21.915,,,,,
399,12/07/20 12:00:00 午前,21.819,,,,,
400,12/07/20 01:00:00 午前,21.676,,,,,
401,12/07/20 02:00:00 午前,21.533,,,,,
402,12/07/20 03:00:00 午前,21.461,,,,,
403,12/07/20 04:00:00 午前,21.557,,,,,
404,12/07/20 05:00:00 午前,21.652,,,,,
405,12/07/20 06:00:00 午前,21.652,,,,,
406,12/07/20 07:00:00 午前,21.676,,,,,
407,12/07/20 08:00:00 午前,21.748,,,,,
408,12/07/20 09:00:00 午前,21.748,,,,,
