Plot Title: site24_spot007_2020,,,,,,,
#,"Date Time, GMT+09:00","Temp, °C",Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
417,09/28/19 08:00:00 午前,26.256,,,,,
418,09/28/19 09:00:00 午前,26.256,,,,,
419,09/28/19 10:00:00 午前,26.231,,,,,
420,09/28/19 11:00:00 午前,26.304,,,,,
421,09/28/19 12:00:00 午後,26.329,,,,,
422,09/28/19 01:00:00 午後,26.402,,,,,
423,09/28/19 02:00:00 午後,26.426,,,,,
424,09/28/19 03:00:00 午後,26.451,,,,,
425,09/28/19 04:00:00 午後,26.451,,,,,
426,09/28/19 05:00:00 午後,26.475,,,,,
427,09/28/19 06:00:00 午後,26.524,,,,,
428,09/28/19 07:00:00 午後,26.573,,,,,
429,09/28/19 08:00:00 午後,26.5,,,,,
430,09/28/19 09:00:00 午後,26.402,,,,,
431,09/28/19 10:00:00 午後,26.207,,,,,
432,09/28/19 11:00:00 午後,25.963,,,,,
433,09/29/19 12:00:00 午前,26.012,,,,,
434,09/29/19 01:00:00 午前,26.109,,,,,
435,09/29/19 02:00:00 午前,26.085,,,,,
436,09/29/19 03:00:00 午前,26.085,,,,,
437,09/29/19 04:00:00 午前,26.134,,,,,
438,09/29/19 05:00:00 午前,26.182,,,,,
439,09/29/19 06:00:00 午前,26.182,,,,,
440,09/29/19 07:00:00 午前,26.231,,,,,
441,09/29/19 08:00:00 午前,26.256,,,,,
442,09/29/19 09:00:00 午前,26.207,,,,,
443,09/29/19 10:00:00 午前,26.158,,,,,
444,09/29/19 11:00:00 午前,26.158,,,,,
445,09/29/19 12:00:00 午後,26.134,,,,,
446,09/29/19 01:00:00 午後,26.182,,,,,
447,09/29/19 02:00:00 午後,26.158,,,,,
448,09/29/19 03:00:00 午後,26.158,,,,,
449,09/29/19 04:00:00 午後,26.158,,,,,
450,09/29/19 05:00:00 午後,26.231,,,,,
451,09/29/19 06:00:00 午後,26.231,,,,,
452,09/29/19 07:00:00 午後,26.158,,,,,
453,09/29/19 08:00:00 午後,26.182,,,,,
454,09/29/19 09:00:00 午後,26.109,,,,,
455,09/29/19 10:00:00 午後,26.061,,,,,
456,09/29/19 11:00:00 午後,26.061,,,,,
457,09/30/19 12:00:00 午前,26.036,,,,,
458,09/30/19 01:00:00 午前,26.036,,,,,
459,09/30/19 02:00:00 午前,26.061,,,,,
460,09/30/19 03:00:00 午前,26.061,,,,,
461,09/30/19 04:00:00 午前,26.061,,,,,
462,09/30/19 05:00:00 午前,26.061,,,,,
463,09/30/19 06:00:00 午前,26.085,,,,,
464,09/30/19 07:00:00 午前,26.134,,,,,
465,09/30/19 08:00:00 午前,26.085,,,,,
466,09/30/19 09:00:00 午前,26.061,,,,,
467,09/30/19 10:00:00 午前,26.036,,,,,
468,09/30/19 11:00:00 午前,26.036,,,,,
469,09/30/19 12:00:00 午後,26.036,,,,,
470,09/30/19 01:00:00 午後,25.987,,,,,
471,09/30/19 02:00:00 午後,26.182,,,,,
472,09/30/19 03:00:00 午後,26.207,,,,,
473,09/30/19 04:00:00 午後,26.256,,,,,
474,09/30/19 05:00:00 午後,26.256,,,,,
475,09/30/19 06:00:00 午後,26.207,,,,,
476,09/30/19 07:00:00 午後,26.207,,,,,
477,09/30/19 08:00:00 午後,26.207,,,,,
478,09/30/19 09:00:00 午後,26.158,,,,,
479,09/30/19 10:00:00 午後,26.134,,,,,
480,09/30/19 11:00:00 午後,26.109,,,,,
481,10/01/19 12:00:00 午前,26.109,,,,,
482,10/01/19 01:00:00 午前,25.963,,,,,
483,10/01/19 02:00:00 午前,26.036,,,,,
484,10/01/19 03:00:00 午前,25.963,,,,,
485,10/01/19 04:00:00 午前,25.987,,,,,
486,10/01/19 05:00:00 午前,25.987,,,,,
487,10/01/19 06:00:00 午前,25.987,,,,,
488,10/01/19 07:00:00 午前,25.963,,,,,
489,10/01/19 08:00:00 午前,25.963,,,,,
490,10/01/19 09:00:00 午前,25.963,,,,,
491,10/01/19 10:00:00 午前,25.89,,,,,
492,10/01/19 11:00:00 午前,25.914,,,,,
493,10/01/19 12:00:00 午後,25.866,,,,,
494,10/01/19 01:00:00 午後,25.841,,,,,
495,10/01/19 02:00:00 午後,25.914,,,,,
496,10/01/19 03:00:00 午後,25.793,,,,,
497,10/01/19 04:00:00 午後,25.695,,,,,
498,10/01/19 05:00:00 午後,25.72,,,,,
499,10/01/19 06:00:00 午後,25.768,,,,,
500,10/01/19 07:00:00 午後,25.841,,,,,
501,10/01/19 08:00:00 午後,25.866,,,,,
502,10/01/19 09:00:00 午後,26.134,,,,,
503,10/01/19 10:00:00 午後,26.231,,,,,
504,10/01/19 11:00:00 午後,26.109,,,,,
505,10/02/19 12:00:00 午前,26.061,,,,,
506,10/02/19 01:00:00 午前,26.036,,,,,
507,10/02/19 02:00:00 午前,26.036,,,,,
508,10/02/19 03:00:00 午前,25.841,,,,,
509,10/02/19 04:00:00 午前,25.939,,,,,
510,10/02/19 05:00:00 午前,25.914,,,,,
511,10/02/19 06:00:00 午前,25.939,,,,,
512,10/02/19 07:00:00 午前,25.939,,,,,
513,10/02/19 08:00:00 午前,25.914,,,,,
514,10/02/19 09:00:00 午前,25.793,,,,,
515,10/02/19 10:00:00 午前,25.793,,,,,
516,10/02/19 11:00:00 午前,25.841,,,,,
517,10/02/19 12:00:00 午後,25.939,,,,,
518,10/02/19 01:00:00 午後,25.987,,,,,
519,10/02/19 02:00:00 午後,26.085,,,,,
520,10/02/19 03:00:00 午後,26.085,,,,,
521,10/02/19 04:00:00 午後,26.207,,,,,
522,10/02/19 05:00:00 午後,26.28,,,,,
523,10/02/19 06:00:00 午後,26.304,,,,,
524,10/02/19 07:00:00 午後,26.304,,,,,
525,10/02/19 08:00:00 午後,26.304,,,,,
526,10/02/19 09:00:00 午後,26.256,,,,,
