プロット タイトル: site01_spot005(-25)_2021,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054307, SEN S/N: 20054307)"
27770,03/15/21 04:00:00 午後,18.913
27771,03/15/21 05:00:00 午後,18.937
27772,03/15/21 06:00:00 午後,18.961
27773,03/15/21 07:00:00 午後,19.389
27774,03/15/21 08:00:00 午後,19.46
27775,03/15/21 09:00:00 午後,19.746
27776,03/15/21 10:00:00 午後,19.888
27777,03/15/21 11:00:00 午後,20.007
27778,03/16/21 12:00:00 午前,20.031
27779,03/16/21 01:00:00 午前,20.246
27780,03/16/21 02:00:00 午前,20.341
27781,03/16/21 03:00:00 午前,20.674
27782,03/16/21 04:00:00 午前,20.77
27783,03/16/21 05:00:00 午前,20.77
27784,03/16/21 06:00:00 午前,20.889
27785,03/16/21 07:00:00 午前,21.032
27786,03/16/21 08:00:00 午前,21.008
27787,03/16/21 09:00:00 午前,21.008
27788,03/16/21 10:00:00 午前,20.722
27789,03/16/21 11:00:00 午前,21.103
27790,03/16/21 12:00:00 午後,21.223
27791,03/16/21 01:00:00 午後,21.294
27792,03/16/21 02:00:00 午後,21.366
27793,03/16/21 03:00:00 午後,21.366
27794,03/16/21 04:00:00 午後,21.461
27795,03/16/21 05:00:00 午後,21.509
27796,03/16/21 06:00:00 午後,21.581
27797,03/16/21 07:00:00 午後,21.724
27798,03/16/21 08:00:00 午後,21.963
27799,03/16/21 09:00:00 午後,21.939
27800,03/16/21 10:00:00 午後,22.058
27801,03/16/21 11:00:00 午後,22.178
27802,03/17/21 12:00:00 午前,22.058
27803,03/17/21 01:00:00 午前,22.011
27804,03/17/21 02:00:00 午前,22.011
27805,03/17/21 03:00:00 午前,22.154
27806,03/17/21 04:00:00 午前,22.178
27807,03/17/21 05:00:00 午前,22.178
27808,03/17/21 06:00:00 午前,22.178
27809,03/17/21 07:00:00 午前,22.178
27810,03/17/21 08:00:00 午前,22.226
27811,03/17/21 09:00:00 午前,22.274
27812,03/17/21 10:00:00 午前,22.321
27813,03/17/21 11:00:00 午前,22.298
27814,03/17/21 12:00:00 午後,22.321
27815,03/17/21 01:00:00 午後,22.321
27816,03/17/21 02:00:00 午後,22.369
27817,03/17/21 03:00:00 午後,22.274
27818,03/17/21 04:00:00 午後,22.298
27819,03/17/21 05:00:00 午後,22.369
27820,03/17/21 06:00:00 午後,22.345
27821,03/17/21 07:00:00 午後,22.345
27822,03/17/21 08:00:00 午後,22.321
27823,03/17/21 09:00:00 午後,22.417
27824,03/17/21 10:00:00 午後,22.417
27825,03/17/21 11:00:00 午後,22.417
27826,03/18/21 12:00:00 午前,22.417
27827,03/18/21 01:00:00 午前,22.058
27828,03/18/21 02:00:00 午前,22.082
27829,03/18/21 03:00:00 午前,22.298
27830,03/18/21 04:00:00 午前,22.345
27831,03/18/21 05:00:00 午前,22.321
27832,03/18/21 06:00:00 午前,22.369
27833,03/18/21 07:00:00 午前,22.345
27834,03/18/21 08:00:00 午前,22.298
27835,03/18/21 09:00:00 午前,22.369
27836,03/18/21 10:00:00 午前,22.369
27837,03/18/21 11:00:00 午前,22.369
27838,03/18/21 12:00:00 午後,22.106
27839,03/18/21 01:00:00 午後,22.178
27840,03/18/21 02:00:00 午後,22.274
27841,03/18/21 03:00:00 午後,22.274
27842,03/18/21 04:00:00 午後,22.298
27843,03/18/21 05:00:00 午後,22.154
27844,03/18/21 06:00:00 午後,22.274
27845,03/18/21 07:00:00 午後,22.441
27846,03/18/21 08:00:00 午後,22.345
27847,03/18/21 09:00:00 午後,22.13
27848,03/18/21 10:00:00 午後,22.202
27849,03/18/21 11:00:00 午後,20.65
27850,03/19/21 12:00:00 午前,20.079
27851,03/19/21 01:00:00 午前,21.199
27852,03/19/21 02:00:00 午前,21.342
27853,03/19/21 03:00:00 午前,20.746
27854,03/19/21 04:00:00 午前,20.603
27855,03/19/21 05:00:00 午前,20.984
27856,03/19/21 06:00:00 午前,20.484
27857,03/19/21 07:00:00 午前,19.127
27858,03/19/21 08:00:00 午前,18.961
27859,03/19/21 09:00:00 午前,19.008
27860,03/19/21 10:00:00 午前,19.246
27861,03/19/21 11:00:00 午前,19.056
27862,03/19/21 12:00:00 午後,18.866
27863,03/19/21 01:00:00 午後,18.794
27864,03/19/21 02:00:00 午後,18.866
27865,03/19/21 03:00:00 午後,18.842
27866,03/19/21 04:00:00 午後,18.818
27867,03/19/21 05:00:00 午後,18.842
27868,03/19/21 06:00:00 午後,18.771
27869,03/19/21 07:00:00 午後,18.628
27870,03/19/21 08:00:00 午後,18.58
27871,03/19/21 09:00:00 午後,18.557
27872,03/19/21 10:00:00 午後,18.699
27873,03/19/21 11:00:00 午後,19.246
27874,03/20/21 12:00:00 午前,19.888
27875,03/20/21 01:00:00 午前,19.841
27876,03/20/21 02:00:00 午前,19.651
27877,03/20/21 03:00:00 午前,19.555
27878,03/20/21 04:00:00 午前,19.436
27879,03/20/21 05:00:00 午前,19.413
27880,03/20/21 06:00:00 午前,19.294
27881,03/20/21 07:00:00 午前,19.27
27882,03/20/21 08:00:00 午前,19.413
27883,03/20/21 09:00:00 午前,19.532
27884,03/20/21 10:00:00 午前,19.555
27885,03/20/21 11:00:00 午前,19.579
27886,03/20/21 12:00:00 午後,19.651
27887,03/20/21 01:00:00 午後,20.246
27888,03/20/21 02:00:00 午後,20.388
27889,03/20/21 03:00:00 午後,20.913
27890,03/20/21 04:00:00 午後,21.318
27891,03/20/21 05:00:00 午後,21.485
27892,03/20/21 06:00:00 午後,21.581
27893,03/20/21 07:00:00 午後,21.7
27894,03/20/21 08:00:00 午後,21.795
27895,03/20/21 09:00:00 午後,21.843
27896,03/20/21 10:00:00 午後,21.867
27897,03/20/21 11:00:00 午後,21.867
27898,03/21/21 12:00:00 午前,21.843
27899,03/21/21 01:00:00 午前,21.891
27900,03/21/21 02:00:00 午前,21.939
27901,03/21/21 03:00:00 午前,21.963
27902,03/21/21 04:00:00 午前,21.939
27903,03/21/21 05:00:00 午前,21.939
27904,03/21/21 06:00:00 午前,21.413
27905,03/21/21 07:00:00 午前,20.126
27906,03/21/21 08:00:00 午前,21.628
27907,03/21/21 09:00:00 午前,21.819
27908,03/21/21 10:00:00 午前,21.867
27909,03/21/21 11:00:00 午前,21.939
27910,03/21/21 12:00:00 午後,21.963
27911,03/21/21 01:00:00 午後,21.963
27912,03/21/21 02:00:00 午後,21.485
27913,03/21/21 03:00:00 午後,21.533
27914,03/21/21 04:00:00 午後,21.7
27915,03/21/21 05:00:00 午後,21.652
27916,03/21/21 06:00:00 午後,21.724
27917,03/21/21 07:00:00 午後,21.7
27918,03/21/21 08:00:00 午後,21.724
27919,03/21/21 09:00:00 午後,21.7
27920,03/21/21 10:00:00 午後,21.509
27921,03/21/21 11:00:00 午後,21.342
27922,03/22/21 12:00:00 午前,21.175
27923,03/22/21 01:00:00 午前,21.079
27924,03/22/21 02:00:00 午前,21.032
27925,03/22/21 03:00:00 午前,20.889
27926,03/22/21 04:00:00 午前,20.698
27927,03/22/21 05:00:00 午前,20.746
27928,03/22/21 06:00:00 午前,20.77
27929,03/22/21 07:00:00 午前,20.793
27930,03/22/21 08:00:00 午前,20.722
27931,03/22/21 09:00:00 午前,20.698
27932,03/22/21 10:00:00 午前,20.698
27933,03/22/21 11:00:00 午前,20.674
27934,03/22/21 12:00:00 午後,20.698
27935,03/22/21 01:00:00 午後,20.698
27936,03/22/21 02:00:00 午後,20.77
27937,03/22/21 03:00:00 午後,20.865
27938,03/22/21 04:00:00 午後,20.817
27939,03/22/21 05:00:00 午後,20.817
27940,03/22/21 06:00:00 午後,20.817
27941,03/22/21 07:00:00 午後,20.674
27942,03/22/21 08:00:00 午後,20.722
27943,03/22/21 09:00:00 午後,20.698
27944,03/22/21 10:00:00 午後,20.746
27945,03/22/21 11:00:00 午後,20.793
27946,03/23/21 12:00:00 午前,20.198
27947,03/23/21 01:00:00 午前,20.126
27948,03/23/21 02:00:00 午前,20.222
27949,03/23/21 03:00:00 午前,20.341
27950,03/23/21 04:00:00 午前,20.15
27951,03/23/21 05:00:00 午前,19.912
27952,03/23/21 06:00:00 午前,19.865
27953,03/23/21 07:00:00 午前,19.912
27954,03/23/21 08:00:00 午前,20.103
27955,03/23/21 09:00:00 午前,19.817
27956,03/23/21 10:00:00 午前,19.651
27957,03/23/21 11:00:00 午前,19.817
27958,03/23/21 12:00:00 午後,20.007
27959,03/23/21 01:00:00 午後,19.508
27960,03/23/21 02:00:00 午後,19.722
27961,03/23/21 03:00:00 午後,19.746
27962,03/23/21 04:00:00 午後,19.294
27963,03/23/21 05:00:00 午後,19.722
27964,03/23/21 06:00:00 午後,19.651
27965,03/23/21 07:00:00 午後,19.77
27966,03/23/21 08:00:00 午後,20.007
27967,03/23/21 09:00:00 午後,20.126
27968,03/23/21 10:00:00 午後,20.317
27969,03/23/21 11:00:00 午後,20.341
27970,03/24/21 12:00:00 午前,20.46
27971,03/24/21 01:00:00 午前,20.627
27972,03/24/21 02:00:00 午前,20.698
27973,03/24/21 03:00:00 午前,20.865
27974,03/24/21 04:00:00 午前,20.865
27975,03/24/21 05:00:00 午前,21.008
27976,03/24/21 06:00:00 午前,21.103
27977,03/24/21 07:00:00 午前,21.437
27978,03/24/21 08:00:00 午前,21.437
27979,03/24/21 09:00:00 午前,21.461
27980,03/24/21 10:00:00 午前,21.461
27981,03/24/21 11:00:00 午前,21.533
27982,03/24/21 12:00:00 午後,21.557
27983,03/24/21 01:00:00 午後,21.557
27984,03/24/21 02:00:00 午後,21.604
27985,03/24/21 03:00:00 午後,21.604
27986,03/24/21 04:00:00 午後,21.604
27987,03/24/21 05:00:00 午後,21.294
27988,03/24/21 06:00:00 午後,21.151
27989,03/24/21 07:00:00 午後,21.223
27990,03/24/21 08:00:00 午後,21.151
27991,03/24/21 09:00:00 午後,21.27
27992,03/24/21 10:00:00 午後,21.366
27993,03/24/21 11:00:00 午後,21.437
27994,03/25/21 12:00:00 午前,20.674
27995,03/25/21 01:00:00 午前,20.65
27996,03/25/21 02:00:00 午前,20.674
27997,03/25/21 03:00:00 午前,20.936
27998,03/25/21 04:00:00 午前,21.079
27999,03/25/21 05:00:00 午前,21.223
28000,03/25/21 06:00:00 午前,21.27
28001,03/25/21 07:00:00 午前,21.27
28002,03/25/21 08:00:00 午前,21.294
28003,03/25/21 09:00:00 午前,21.294
28004,03/25/21 10:00:00 午前,21.318
28005,03/25/21 11:00:00 午前,21.294
28006,03/25/21 12:00:00 午後,21.342
28007,03/25/21 01:00:00 午後,21.39
28008,03/25/21 02:00:00 午後,21.437
28009,03/25/21 03:00:00 午後,21.509
28010,03/25/21 04:00:00 午後,21.533
28011,03/25/21 05:00:00 午後,21.533
28012,03/25/21 06:00:00 午後,21.509
28013,03/25/21 07:00:00 午後,21.557
28014,03/25/21 08:00:00 午後,21.533
28015,03/25/21 09:00:00 午後,21.509
28016,03/25/21 10:00:00 午後,21.533
28017,03/25/21 11:00:00 午後,21.557
28018,03/26/21 12:00:00 午前,21.39
28019,03/26/21 01:00:00 午前,21.437
28020,03/26/21 02:00:00 午前,21.485
28021,03/26/21 03:00:00 午前,21.533
28022,03/26/21 04:00:00 午前,21.533
28023,03/26/21 05:00:00 午前,21.557
28024,03/26/21 06:00:00 午前,21.485
28025,03/26/21 07:00:00 午前,21.485
28026,03/26/21 08:00:00 午前,21.366
28027,03/26/21 09:00:00 午前,21.294
28028,03/26/21 10:00:00 午前,21.342
28029,03/26/21 11:00:00 午前,21.39
28030,03/26/21 12:00:00 午後,21.437
28031,03/26/21 01:00:00 午後,21.461
28032,03/26/21 02:00:00 午後,21.485
28033,03/26/21 03:00:00 午後,21.509
28034,03/26/21 04:00:00 午後,21.485
28035,03/26/21 05:00:00 午後,21.485
28036,03/26/21 06:00:00 午後,21.509
28037,03/26/21 07:00:00 午後,21.676
28038,03/26/21 08:00:00 午後,21.748
28039,03/26/21 09:00:00 午後,21.843
28040,03/26/21 10:00:00 午後,21.867
28041,03/26/21 11:00:00 午後,21.652
28042,03/27/21 12:00:00 午前,21.246
28043,03/27/21 01:00:00 午前,21.175
28044,03/27/21 02:00:00 午前,21.39
28045,03/27/21 03:00:00 午前,21.485
28046,03/27/21 04:00:00 午前,21.485
28047,03/27/21 05:00:00 午前,21.199
28048,03/27/21 06:00:00 午前,21.103
28049,03/27/21 07:00:00 午前,20.793
28050,03/27/21 08:00:00 午前,20.627
28051,03/27/21 09:00:00 午前,20.674
28052,03/27/21 10:00:00 午前,20.222
28053,03/27/21 11:00:00 午前,20.222
28054,03/27/21 12:00:00 午後,20.317
28055,03/27/21 01:00:00 午後,21.008
28056,03/27/21 02:00:00 午後,20.984
28057,03/27/21 03:00:00 午後,20.96
28058,03/27/21 04:00:00 午後,20.865
28059,03/27/21 05:00:00 午後,20.603
28060,03/27/21 06:00:00 午後,20.341
28061,03/27/21 07:00:00 午後,20.222
28062,03/27/21 08:00:00 午後,20.198
28063,03/27/21 09:00:00 午後,19.746
28064,03/27/21 10:00:00 午後,20.055
28065,03/27/21 11:00:00 午後,20.126
28066,03/28/21 12:00:00 午前,20.436
28067,03/28/21 01:00:00 午前,20.674
28068,03/28/21 02:00:00 午前,20.913
28069,03/28/21 03:00:00 午前,20.579
28070,03/28/21 04:00:00 午前,20.341
28071,03/28/21 05:00:00 午前,20.555
28072,03/28/21 06:00:00 午前,20.412
28073,03/28/21 07:00:00 午前,20.412
28074,03/28/21 08:00:00 午前,20.579
28075,03/28/21 09:00:00 午前,20.889
28076,03/28/21 10:00:00 午前,20.65
28077,03/28/21 11:00:00 午前,19.984
28078,03/28/21 12:00:00 午後,19.984
28079,03/28/21 01:00:00 午後,20.412
28080,03/28/21 02:00:00 午後,20.77
28081,03/28/21 03:00:00 午後,20.865
28082,03/28/21 04:00:00 午後,20.913
28083,03/28/21 05:00:00 午後,20.913
28084,03/28/21 06:00:00 午後,20.913
28085,03/28/21 07:00:00 午後,20.889
28086,03/28/21 08:00:00 午後,20.913
28087,03/28/21 09:00:00 午後,20.936
28088,03/28/21 10:00:00 午後,20.889
28089,03/28/21 11:00:00 午後,20.889
28090,03/29/21 12:00:00 午前,20.96
28091,03/29/21 01:00:00 午前,20.96
28092,03/29/21 02:00:00 午前,20.984
28093,03/29/21 03:00:00 午前,20.984
28094,03/29/21 04:00:00 午前,20.388
28095,03/29/21 05:00:00 午前,20.388
28096,03/29/21 06:00:00 午前,20.079
28097,03/29/21 07:00:00 午前,19.77
28098,03/29/21 08:00:00 午前,20.65
28099,03/29/21 09:00:00 午前,19.722
28100,03/29/21 10:00:00 午前,19.96
28101,03/29/21 11:00:00 午前,19.865
28102,03/29/21 12:00:00 午後,19.865
28103,03/29/21 01:00:00 午後,19.865
28104,03/29/21 02:00:00 午後,20.079
28105,03/29/21 03:00:00 午後,20.317
28106,03/29/21 04:00:00 午後,20.65
28107,03/29/21 05:00:00 午後,20.722
28108,03/29/21 06:00:00 午後,20.793
28109,03/29/21 07:00:00 午後,20.817
28110,03/29/21 08:00:00 午後,20.865
28111,03/29/21 09:00:00 午後,20.913
28112,03/29/21 10:00:00 午後,20.246
28113,03/29/21 11:00:00 午後,20.293
28114,03/30/21 12:00:00 午前,20.531
28115,03/30/21 01:00:00 午前,19.08
28116,03/30/21 02:00:00 午前,20.269
28117,03/30/21 03:00:00 午前,20.674
28118,03/30/21 04:00:00 午前,20.603
28119,03/30/21 05:00:00 午前,20.341
28120,03/30/21 06:00:00 午前,20.317
28121,03/30/21 07:00:00 午前,20.484
28122,03/30/21 08:00:00 午前,20.579
28123,03/30/21 09:00:00 午前,20.603
28124,03/30/21 10:00:00 午前,20.603
28125,03/30/21 11:00:00 午前,20.46
28126,03/30/21 12:00:00 午後,20.555
28127,03/30/21 01:00:00 午後,20.603
28128,03/30/21 02:00:00 午後,20.603
28129,03/30/21 03:00:00 午後,20.317
28130,03/30/21 04:00:00 午後,20.341
28131,03/30/21 05:00:00 午後,20.77
28132,03/30/21 06:00:00 午後,20.77
28133,03/30/21 07:00:00 午後,20.817
28134,03/30/21 08:00:00 午後,20.817
28135,03/30/21 09:00:00 午後,20.841
28136,03/30/21 10:00:00 午後,20.841
28137,03/30/21 11:00:00 午後,20.222
28138,03/31/21 12:00:00 午前,19.127
28139,03/31/21 01:00:00 午前,19.436
28140,03/31/21 02:00:00 午前,20.126
28141,03/31/21 03:00:00 午前,20.293
28142,03/31/21 04:00:00 午前,20.674
28143,03/31/21 05:00:00 午前,19.936
28144,03/31/21 06:00:00 午前,19.912
28145,03/31/21 07:00:00 午前,20.079
28146,03/31/21 08:00:00 午前,20.722
28147,03/31/21 09:00:00 午前,20.889
28148,03/31/21 10:00:00 午前,20.984
28149,03/31/21 11:00:00 午前,21.032
28150,03/31/21 12:00:00 午後,20.96
28151,03/31/21 01:00:00 午後,21.008
28152,03/31/21 02:00:00 午後,21.103
28153,03/31/21 03:00:00 午後,21.246
28154,03/31/21 04:00:00 午後,21.366
28155,03/31/21 05:00:00 午後,21.437
28156,03/31/21 06:00:00 午後,21.366
28157,03/31/21 07:00:00 午後,21.151
28158,03/31/21 08:00:00 午後,21.079
28159,03/31/21 09:00:00 午後,21.199
28160,03/31/21 10:00:00 午後,21.127
28161,03/31/21 11:00:00 午後,20.365
28162,04/01/21 12:00:00 午前,19.936
28163,04/01/21 01:00:00 午前,19.77
28164,04/01/21 02:00:00 午前,19.436
28165,04/01/21 03:00:00 午前,19.294
28166,04/01/21 04:00:00 午前,19.246
28167,04/01/21 05:00:00 午前,19.841
28168,04/01/21 06:00:00 午前,20.484
28169,04/01/21 07:00:00 午前,20.77
28170,04/01/21 08:00:00 午前,20.841
28171,04/01/21 09:00:00 午前,20.913
28172,04/01/21 10:00:00 午前,20.984
28173,04/01/21 11:00:00 午前,20.865
28174,04/01/21 12:00:00 午後,19.984
28175,04/01/21 01:00:00 午後,19.674
28176,04/01/21 02:00:00 午後,19.793
28177,04/01/21 03:00:00 午後,19.77
28178,04/01/21 04:00:00 午後,19.46
28179,04/01/21 05:00:00 午後,19.746
28180,04/01/21 06:00:00 午後,19.793
28181,04/01/21 07:00:00 午後,19.389
28182,04/01/21 08:00:00 午後,19.436
28183,04/01/21 09:00:00 午後,19.436
28184,04/01/21 10:00:00 午後,19.603
28185,04/01/21 11:00:00 午後,19.651
28186,04/02/21 12:00:00 午前,19.984
28187,04/02/21 01:00:00 午前,19.674
28188,04/02/21 02:00:00 午前,19.746
28189,04/02/21 03:00:00 午前,19.555
28190,04/02/21 04:00:00 午前,19.698
28191,04/02/21 05:00:00 午前,19.746
28192,04/02/21 06:00:00 午前,20.198
28193,04/02/21 07:00:00 午前,20.46
28194,04/02/21 08:00:00 午前,20.531
28195,04/02/21 09:00:00 午前,20.555
28196,04/02/21 10:00:00 午前,20.603
28197,04/02/21 11:00:00 午前,19.793
28198,04/02/21 12:00:00 午後,19.46
28199,04/02/21 01:00:00 午後,19.46
28200,04/02/21 02:00:00 午後,19.817
28201,04/02/21 03:00:00 午後,20.031
28202,04/02/21 04:00:00 午後,20.293
28203,04/02/21 05:00:00 午後,20.603
28204,04/02/21 06:00:00 午後,20.627
28205,04/02/21 07:00:00 午後,20.079
28206,04/02/21 08:00:00 午後,20.007
28207,04/02/21 09:00:00 午後,20.484
28208,04/02/21 10:00:00 午後,20.77
28209,04/02/21 11:00:00 午後,20.46
28210,04/03/21 12:00:00 午前,19.912
28211,04/03/21 01:00:00 午前,19.674
28212,04/03/21 02:00:00 午前,19.674
28213,04/03/21 03:00:00 午前,19.77
28214,04/03/21 04:00:00 午前,20.079
28215,04/03/21 05:00:00 午前,20.913
28216,04/03/21 06:00:00 午前,21.032
28217,04/03/21 07:00:00 午前,20.603
28218,04/03/21 08:00:00 午前,20.484
28219,04/03/21 09:00:00 午前,21.103
28220,04/03/21 10:00:00 午前,21.342
28221,04/03/21 11:00:00 午前,20.913
28222,04/03/21 12:00:00 午後,20.055
28223,04/03/21 01:00:00 午後,21.652
28224,04/03/21 02:00:00 午後,21.676
28225,04/03/21 03:00:00 午後,20.388
28226,04/03/21 04:00:00 午後,21.939
28227,04/03/21 05:00:00 午後,21.628
28228,04/03/21 06:00:00 午後,20.603
28229,04/03/21 07:00:00 午後,20.46
28230,04/03/21 08:00:00 午後,22.011
28231,04/03/21 09:00:00 午後,22.369
28232,04/03/21 10:00:00 午後,21.461
28233,04/03/21 11:00:00 午後,20.603
28234,04/04/21 12:00:00 午前,20.388
28235,04/04/21 01:00:00 午前,21.7
28236,04/04/21 02:00:00 午前,22.345
28237,04/04/21 03:00:00 午前,21.032
28238,04/04/21 04:00:00 午前,22.681
28239,04/04/21 05:00:00 午前,22.824
28240,04/04/21 06:00:00 午前,22.992
28241,04/04/21 07:00:00 午前,20.817
28242,04/04/21 08:00:00 午前,21.032
28243,04/04/21 09:00:00 午前,21.437
28244,04/04/21 10:00:00 午前,21.294
28245,04/04/21 11:00:00 午前,21.151
28246,04/04/21 12:00:00 午後,20.579
28247,04/04/21 01:00:00 午後,20.579
28248,04/04/21 02:00:00 午後,20.579
28249,04/04/21 03:00:00 午後,20.77
28250,04/04/21 04:00:00 午後,21.413
28251,04/04/21 05:00:00 午後,21.676
28252,04/04/21 06:00:00 午後,21.795
28253,04/04/21 07:00:00 午後,21.891
28254,04/04/21 08:00:00 午後,22.106
28255,04/04/21 09:00:00 午後,22.154
28256,04/04/21 10:00:00 午後,22.202
28257,04/04/21 11:00:00 午後,22.321
28258,04/05/21 12:00:00 午前,19.436
28259,04/05/21 01:00:00 午前,19.746
28260,04/05/21 02:00:00 午前,19.651
28261,04/05/21 03:00:00 午前,19.627
28262,04/05/21 04:00:00 午前,19.77
28263,04/05/21 05:00:00 午前,19.793
28264,04/05/21 06:00:00 午前,19.936
28265,04/05/21 07:00:00 午前,21.246
28266,04/05/21 08:00:00 午前,21.318
28267,04/05/21 09:00:00 午前,21.676
28268,04/05/21 10:00:00 午前,20.484
28269,04/05/21 11:00:00 午前,20.627
28270,04/05/21 12:00:00 午後,20.793
28271,04/05/21 01:00:00 午後,20.936
28272,04/05/21 02:00:00 午後,21.079
28273,04/05/21 03:00:00 午後,20.341
28274,04/05/21 04:00:00 午後,20.246
28275,04/05/21 05:00:00 午後,20.007
28276,04/05/21 06:00:00 午後,20.222
28277,04/05/21 07:00:00 午後,20.198
28278,04/05/21 08:00:00 午後,20.031
28279,04/05/21 09:00:00 午後,19.722
28280,04/05/21 10:00:00 午後,19.722
28281,04/05/21 11:00:00 午後,19.722
28282,04/06/21 12:00:00 午前,19.603
28283,04/06/21 01:00:00 午前,20.007
28284,04/06/21 02:00:00 午前,20.079
28285,04/06/21 03:00:00 午前,19.532
28286,04/06/21 04:00:00 午前,19.222
28287,04/06/21 05:00:00 午前,19.199
28288,04/06/21 06:00:00 午前,19.294
28289,04/06/21 07:00:00 午前,19.651
28290,04/06/21 08:00:00 午前,19.175
28291,04/06/21 09:00:00 午前,19.008
28292,04/06/21 10:00:00 午前,19.341
28293,04/06/21 11:00:00 午前,19.532
28294,04/06/21 12:00:00 午後,20.055
28295,04/06/21 01:00:00 午後,20.222
28296,04/06/21 02:00:00 午後,20.388
28297,04/06/21 03:00:00 午後,20.579
28298,04/06/21 04:00:00 午後,20.674
28299,04/06/21 05:00:00 午後,20.746
28300,04/06/21 06:00:00 午後,20.793
28301,04/06/21 07:00:00 午後,20.889
28302,04/06/21 08:00:00 午後,20.293
28303,04/06/21 09:00:00 午後,20.269
28304,04/06/21 10:00:00 午後,20.103
28305,04/06/21 11:00:00 午後,19.888
28306,04/07/21 12:00:00 午前,20.246
28307,04/07/21 01:00:00 午前,20.579
28308,04/07/21 02:00:00 午前,20.198
28309,04/07/21 03:00:00 午前,20.031
28310,04/07/21 04:00:00 午前,19.984
28311,04/07/21 05:00:00 午前,19.96
28312,04/07/21 06:00:00 午前,19.936
28313,04/07/21 07:00:00 午前,19.865
28314,04/07/21 08:00:00 午前,19.127
28315,04/07/21 09:00:00 午前,19.294
28316,04/07/21 10:00:00 午前,19.413
28317,04/07/21 11:00:00 午前,19.555
28318,04/07/21 12:00:00 午後,19.222
28319,04/07/21 01:00:00 午後,19.318
28320,04/07/21 02:00:00 午後,19.318
28321,04/07/21 03:00:00 午後,19.341
28322,04/07/21 04:00:00 午後,19.46
28323,04/07/21 05:00:00 午後,19.579
28324,04/07/21 06:00:00 午後,19.698
28325,04/07/21 07:00:00 午後,19.793
28326,04/07/21 08:00:00 午後,18.723
28327,04/07/21 09:00:00 午後,18.699
28328,04/07/21 10:00:00 午後,18.961
28329,04/07/21 11:00:00 午後,19.175
28330,04/08/21 12:00:00 午前,19.389
28331,04/08/21 01:00:00 午前,19.484
28332,04/08/21 02:00:00 午前,19.318
28333,04/08/21 03:00:00 午前,19.365
28334,04/08/21 04:00:00 午前,19.888
28335,04/08/21 05:00:00 午前,19.341
28336,04/08/21 06:00:00 午前,19.246
28337,04/08/21 07:00:00 午前,19.246
28338,04/08/21 08:00:00 午前,19.318
28339,04/08/21 09:00:00 午前,19.579
28340,04/08/21 10:00:00 午前,18.937
28341,04/08/21 11:00:00 午前,18.889
28342,04/08/21 12:00:00 午後,19.27
28343,04/08/21 01:00:00 午後,19.46
28344,04/08/21 02:00:00 午後,19.603
28345,04/08/21 03:00:00 午後,19.436
28346,04/08/21 04:00:00 午後,18.985
28347,04/08/21 05:00:00 午後,19.032
28348,04/08/21 06:00:00 午後,19.246
28349,04/08/21 07:00:00 午後,19.508
28350,04/08/21 08:00:00 午後,19.508
28351,04/08/21 09:00:00 午後,18.866
28352,04/08/21 10:00:00 午後,18.771
28353,04/08/21 11:00:00 午後,18.628
28354,04/09/21 12:00:00 午前,19.032
28355,04/09/21 01:00:00 午前,19.294
28356,04/09/21 02:00:00 午前,19.008
28357,04/09/21 03:00:00 午前,19.151
28358,04/09/21 04:00:00 午前,19.413
28359,04/09/21 05:00:00 午前,19.484
28360,04/09/21 06:00:00 午前,19.532
28361,04/09/21 07:00:00 午前,19.555
28362,04/09/21 08:00:00 午前,19.341
28363,04/09/21 09:00:00 午前,19.294
28364,04/09/21 10:00:00 午前,19.246
28365,04/09/21 11:00:00 午前,19.056
28366,04/09/21 12:00:00 午後,19.08
28367,04/09/21 01:00:00 午後,19.127
28368,04/09/21 02:00:00 午後,19.056
28369,04/09/21 03:00:00 午後,19.127
28370,04/09/21 04:00:00 午後,19.175
28371,04/09/21 05:00:00 午後,19.318
28372,04/09/21 06:00:00 午後,19.746
28373,04/09/21 07:00:00 午後,19.912
28374,04/09/21 08:00:00 午後,19.96
28375,04/09/21 09:00:00 午後,19.722
28376,04/09/21 10:00:00 午後,19.365
28377,04/09/21 11:00:00 午後,19.698
28378,04/10/21 12:00:00 午前,19.912
28379,04/10/21 01:00:00 午前,19.27
28380,04/10/21 02:00:00 午前,19.722
28381,04/10/21 03:00:00 午前,20.007
28382,04/10/21 04:00:00 午前,20.15
28383,04/10/21 05:00:00 午前,20.484
28384,04/10/21 06:00:00 午前,20.627
28385,04/10/21 07:00:00 午前,20.746
28386,04/10/21 08:00:00 午前,19.674
28387,04/10/21 09:00:00 午前,19.175
28388,04/10/21 10:00:00 午前,19.436
28389,04/10/21 11:00:00 午前,19.46
28390,04/10/21 12:00:00 午後,19.389
28391,04/10/21 01:00:00 午後,19.555
28392,04/10/21 02:00:00 午後,20.674
28393,04/10/21 03:00:00 午後,21.127
28394,04/10/21 04:00:00 午後,21.246
28395,04/10/21 05:00:00 午後,21.366
28396,04/10/21 06:00:00 午後,20.674
28397,04/10/21 07:00:00 午後,20.293
28398,04/10/21 08:00:00 午後,20.365
28399,04/10/21 09:00:00 午後,20.507
28400,04/10/21 10:00:00 午後,20.174
28401,04/10/21 11:00:00 午後,20.246
28402,04/11/21 12:00:00 午前,20.984
