プロット タイトル: site21_spot011_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291294, SEN S/N: 20291294, LBL: ℃)",カプラー取り外し (LGR S/N: 20291294),カプラー取り付け (LGR S/N: 20291294),ホスト接続 (LGR S/N: 20291294),停止済み (LGR S/N: 20291294),ファイルの終わり (LGR S/N: 20291294)
367,01/06/24 05:00:00 午後,17.225,,,,,
368,01/06/24 06:00:00 午後,17.011,,,,,
369,01/06/24 07:00:00 午後,17.034,,,,,
370,01/06/24 08:00:00 午後,17.011,,,,,
371,01/06/24 09:00:00 午後,16.892,,,,,
372,01/06/24 10:00:00 午後,16.915,,,,,
373,01/06/24 11:00:00 午後,16.915,,,,,
374,01/07/24 12:00:00 午前,16.868,,,,,
375,01/07/24 01:00:00 午前,16.868,,,,,
376,01/07/24 02:00:00 午前,16.987,,,,,
377,01/07/24 03:00:00 午前,16.939,,,,,
378,01/07/24 04:00:00 午前,16.915,,,,,
379,01/07/24 05:00:00 午前,16.868,,,,,
380,01/07/24 06:00:00 午前,16.82,,,,,
381,01/07/24 07:00:00 午前,16.892,,,,,
382,01/07/24 08:00:00 午前,16.892,,,,,
383,01/07/24 09:00:00 午前,16.915,,,,,
384,01/07/24 10:00:00 午前,16.963,,,,,
385,01/07/24 11:00:00 午前,16.963,,,,,
386,01/07/24 12:00:00 午後,16.915,,,,,
387,01/07/24 01:00:00 午後,16.892,,,,,
388,01/07/24 02:00:00 午後,16.915,,,,,
389,01/07/24 03:00:00 午後,16.963,,,,,
390,01/07/24 04:00:00 午後,16.868,,,,,
391,01/07/24 05:00:00 午後,16.82,,,,,
392,01/07/24 06:00:00 午後,16.892,,,,,
393,01/07/24 07:00:00 午後,16.939,,,,,
394,01/07/24 08:00:00 午後,16.987,,,,,
395,01/07/24 09:00:00 午後,16.939,,,,,
396,01/07/24 10:00:00 午後,16.677,,,,,
397,01/07/24 11:00:00 午後,16.511,,,,,
398,01/08/24 12:00:00 午前,16.511,,,,,
399,01/08/24 01:00:00 午前,16.392,,,,,
400,01/08/24 02:00:00 午前,16.63,,,,,
401,01/08/24 03:00:00 午前,16.82,,,,,
402,01/08/24 04:00:00 午前,16.773,,,,,
403,01/08/24 05:00:00 午前,16.582,,,,,
404,01/08/24 06:00:00 午前,16.963,,,,,
405,01/08/24 07:00:00 午前,16.939,,,,,
406,01/08/24 08:00:00 午前,16.915,,,,,
407,01/08/24 09:00:00 午前,16.796,,,,,
408,01/08/24 10:00:00 午前,17.034,,,,,
409,01/08/24 11:00:00 午前,17.058,,,,,
410,01/08/24 12:00:00 午後,17.034,,,,,
411,01/08/24 01:00:00 午後,17.011,,,,,
412,01/08/24 02:00:00 午後,17.011,,,,,
413,01/08/24 03:00:00 午後,17.034,,,,,
414,01/08/24 04:00:00 午後,17.011,,,,,
415,01/08/24 05:00:00 午後,16.915,,,,,
416,01/08/24 06:00:00 午後,16.82,,,,,
417,01/08/24 07:00:00 午後,16.749,,,,,
418,01/08/24 08:00:00 午後,16.677,,,,,
419,01/08/24 09:00:00 午後,16.582,,,,,
420,01/08/24 10:00:00 午後,16.582,,,,,
421,01/08/24 11:00:00 午後,16.606,,,,,
422,01/09/24 12:00:00 午前,16.582,,,,,
423,01/09/24 01:00:00 午前,16.511,,,,,
424,01/09/24 02:00:00 午前,16.582,,,,,
425,01/09/24 03:00:00 午前,16.63,,,,,
426,01/09/24 04:00:00 午前,16.582,,,,,
427,01/09/24 05:00:00 午前,16.558,,,,,
428,01/09/24 06:00:00 午前,16.701,,,,,
429,01/09/24 07:00:00 午前,16.844,,,,,
430,01/09/24 08:00:00 午前,16.796,,,,,
431,01/09/24 09:00:00 午前,16.892,,,,,
432,01/09/24 10:00:00 午前,17.034,,,,,
433,01/09/24 11:00:00 午前,17.177,,,,,
434,01/09/24 12:00:00 午後,17.201,,,,,
435,01/09/24 01:00:00 午後,17.058,,,,,
436,01/09/24 02:00:00 午後,17.011,,,,,
437,01/09/24 03:00:00 午後,16.963,,,,,
438,01/09/24 04:00:00 午後,16.939,,,,,
439,01/09/24 05:00:00 午後,16.987,,,,,
440,01/09/24 06:00:00 午後,17.058,,,,,
441,01/09/24 07:00:00 午後,16.963,,,,,
442,01/09/24 08:00:00 午後,16.963,,,,,
443,01/09/24 09:00:00 午後,16.963,,,,,
444,01/09/24 10:00:00 午後,16.915,,,,,
445,01/09/24 11:00:00 午後,16.868,,,,,
446,01/10/24 12:00:00 午前,16.868,,,,,
447,01/10/24 01:00:00 午前,16.796,,,,,
448,01/10/24 02:00:00 午前,16.868,,,,,
449,01/10/24 03:00:00 午前,16.82,,,,,
450,01/10/24 04:00:00 午前,16.773,,,,,
451,01/10/24 05:00:00 午前,16.796,,,,,
452,01/10/24 06:00:00 午前,16.844,,,,,
453,01/10/24 07:00:00 午前,16.987,,,,,
454,01/10/24 08:00:00 午前,17.153,,,,,
455,01/10/24 09:00:00 午前,17.249,,,,,
456,01/10/24 10:00:00 午前,17.249,,,,,
457,01/10/24 11:00:00 午前,17.296,,,,,
458,01/10/24 12:00:00 午後,17.368,,,,,
459,01/10/24 01:00:00 午後,17.439,,,,,
460,01/10/24 02:00:00 午後,17.534,,,,,
461,01/10/24 03:00:00 午後,17.534,,,,,
462,01/10/24 04:00:00 午後,17.582,,,,,
463,01/10/24 05:00:00 午後,17.605,,,,,
464,01/10/24 06:00:00 午後,17.582,,,,,
465,01/10/24 07:00:00 午後,17.534,,,,,
466,01/10/24 08:00:00 午後,17.51,,,,,
467,01/10/24 09:00:00 午後,17.463,,,,,
468,01/10/24 10:00:00 午後,17.296,,,,,
469,01/10/24 11:00:00 午後,17.058,,,,,
470,01/11/24 12:00:00 午前,17.058,,,,,
471,01/11/24 01:00:00 午前,17.106,,,,,
472,01/11/24 02:00:00 午前,17.153,,,,,
473,01/11/24 03:00:00 午前,17.201,,,,,
474,01/11/24 04:00:00 午前,17.153,,,,,
475,01/11/24 05:00:00 午前,17.177,,,,,
476,01/11/24 06:00:00 午前,17.177,,,,,
477,01/11/24 07:00:00 午前,17.201,,,,,
478,01/11/24 08:00:00 午前,17.153,,,,,
479,01/11/24 09:00:00 午前,17.106,,,,,
480,01/11/24 10:00:00 午前,17.106,,,,,
481,01/11/24 11:00:00 午前,17.106,,,,,
482,01/11/24 12:00:00 午後,17.153,,,,,
483,01/11/24 01:00:00 午後,17.296,,,,,
484,01/11/24 02:00:00 午後,17.415,,,,,
485,01/11/24 03:00:00 午後,17.534,,,,,
486,01/11/24 04:00:00 午後,17.534,,,,,
487,01/11/24 05:00:00 午後,17.486,,,,,
488,01/11/24 06:00:00 午後,17.439,,,,,
489,01/11/24 07:00:00 午後,17.463,,,,,
490,01/11/24 08:00:00 午後,17.439,,,,,
491,01/11/24 09:00:00 午後,17.32,,,,,
492,01/11/24 10:00:00 午後,17.177,,,,,
493,01/11/24 11:00:00 午後,17.034,,,,,
494,01/12/24 12:00:00 午前,17.153,,,,,
495,01/12/24 01:00:00 午前,17.177,,,,,
496,01/12/24 02:00:00 午前,17.177,,,,,
497,01/12/24 03:00:00 午前,17.32,,,,,
498,01/12/24 04:00:00 午前,17.415,,,,,
499,01/12/24 05:00:00 午前,17.558,,,,,
500,01/12/24 06:00:00 午前,17.629,,,,,
501,01/12/24 07:00:00 午前,17.605,,,,,
502,01/12/24 08:00:00 午前,17.534,,,,,
503,01/12/24 09:00:00 午前,17.582,,,,,
504,01/12/24 10:00:00 午前,17.582,,,,,
505,01/12/24 11:00:00 午前,17.772,,,,,
506,01/12/24 12:00:00 午後,17.819,,,,,
