プロット タイトル: site07_spot005_2021,,
#,月/日/年　時刻,"温度, °C (LGR S/N: 20280582, SEN S/N: 20280582)"
1568,01/07/21 01:30:00 午前,23.184
1569,01/07/21 02:00:00 午前,23.184
1570,01/07/21 02:30:00 午前,23.112
1571,01/07/21 03:00:00 午前,23.04
1572,01/07/21 03:30:00 午前,23.136
1573,01/07/21 04:00:00 午前,23.016
1574,01/07/21 04:30:00 午前,22.992
1575,01/07/21 05:00:00 午前,22.992
1576,01/07/21 05:30:00 午前,22.944
1577,01/07/21 06:00:00 午前,23.04
1578,01/07/21 06:30:00 午前,23.16
1579,01/07/21 07:00:00 午前,23.136
1580,01/07/21 07:30:00 午前,23.16
1581,01/07/21 08:00:00 午前,23.136
1582,01/07/21 08:30:00 午前,23.136
1583,01/07/21 09:00:00 午前,23.136
1584,01/07/21 09:30:00 午前,23.112
1585,01/07/21 10:00:00 午前,23.112
1586,01/07/21 10:30:00 午前,23.088
1587,01/07/21 11:00:00 午前,23.088
1588,01/07/21 11:30:00 午前,23.04
1589,01/07/21 12:00:00 午後,23.064
1590,01/07/21 12:30:00 午後,23.04
1591,01/07/21 01:00:00 午後,23.016
1592,01/07/21 01:30:00 午後,22.968
1593,01/07/21 02:00:00 午後,22.92
1594,01/07/21 02:30:00 午後,22.896
1595,01/07/21 03:00:00 午後,22.872
1596,01/07/21 03:30:00 午後,22.872
1597,01/07/21 04:00:00 午後,22.824
1598,01/07/21 04:30:00 午後,22.8
1599,01/07/21 05:00:00 午後,22.729
1600,01/07/21 05:30:00 午後,22.705
1601,01/07/21 06:00:00 午後,22.633
1602,01/07/21 06:30:00 午後,22.585
1603,01/07/21 07:00:00 午後,22.729
1604,01/07/21 07:30:00 午後,22.824
1605,01/07/21 08:00:00 午後,22.753
1606,01/07/21 08:30:00 午後,22.872
1607,01/07/21 09:00:00 午後,22.824
1608,01/07/21 09:30:00 午後,22.465
1609,01/07/21 10:00:00 午後,22.345
1610,01/07/21 10:30:00 午後,22.609
1611,01/07/21 11:00:00 午後,22.393
1612,01/07/21 11:30:00 午後,22.178
1613,01/08/21 12:00:00 午前,22.513
1614,01/08/21 12:30:00 午前,22.657
1615,01/08/21 01:00:00 午前,22.609
1616,01/08/21 01:30:00 午前,22.633
1617,01/08/21 02:00:00 午前,22.633
1618,01/08/21 02:30:00 午前,22.633
1619,01/08/21 03:00:00 午前,22.609
1620,01/08/21 03:30:00 午前,22.609
1621,01/08/21 04:00:00 午前,22.561
1622,01/08/21 04:30:00 午前,22.513
1623,01/08/21 05:00:00 午前,22.537
1624,01/08/21 05:30:00 午前,22.489
1625,01/08/21 06:00:00 午前,22.417
1626,01/08/21 06:30:00 午前,22.417
1627,01/08/21 07:00:00 午前,22.489
1628,01/08/21 07:30:00 午前,22.585
1629,01/08/21 08:00:00 午前,22.633
1630,01/08/21 08:30:00 午前,22.776
1631,01/08/21 09:00:00 午前,22.681
1632,01/08/21 09:30:00 午前,22.729
1633,01/08/21 10:00:00 午前,22.824
1634,01/08/21 10:30:00 午前,22.824
1635,01/08/21 11:00:00 午前,22.8
1636,01/08/21 11:30:00 午前,22.729
