プロット タイトル: site07_spot008_2021,,
#,月/日/年　時刻,"温度, °C (LGR S/N: 20291299, SEN S/N: 20291299)"
5579,03/31/21 03:00:00 午後,23.112
5580,03/31/21 03:30:00 午後,23.064
5581,03/31/21 04:00:00 午後,23.064
5582,03/31/21 04:30:00 午後,22.92
5583,03/31/21 05:00:00 午後,22.824
5584,03/31/21 05:30:00 午後,22.776
5585,03/31/21 06:00:00 午後,22.753
5586,03/31/21 06:30:00 午後,22.729
5587,03/31/21 07:00:00 午後,22.729
5588,03/31/21 07:30:00 午後,22.8
5589,03/31/21 08:00:00 午後,22.824
5590,03/31/21 08:30:00 午後,22.705
5591,03/31/21 09:00:00 午後,22.561
5592,03/31/21 09:30:00 午後,22.561
5593,03/31/21 10:00:00 午後,22.561
5594,03/31/21 10:30:00 午後,22.561
5595,03/31/21 11:00:00 午後,22.561
5596,03/31/21 11:30:00 午後,22.585
5597,04/01/21 12:00:00 午前,22.585
5598,04/01/21 12:30:00 午前,22.633
5599,04/01/21 01:00:00 午前,22.657
5600,04/01/21 01:30:00 午前,22.681
5601,04/01/21 02:00:00 午前,22.681
5602,04/01/21 02:30:00 午前,22.681
5603,04/01/21 03:00:00 午前,22.657
5604,04/01/21 03:30:00 午前,22.633
5605,04/01/21 04:00:00 午前,22.633
5606,04/01/21 04:30:00 午前,22.633
5607,04/01/21 05:00:00 午前,22.633
5608,04/01/21 05:30:00 午前,22.633
5609,04/01/21 06:00:00 午前,22.609
5610,04/01/21 06:30:00 午前,22.609
5611,04/01/21 07:00:00 午前,22.609
5612,04/01/21 07:30:00 午前,22.681
5613,04/01/21 08:00:00 午前,22.776
5614,04/01/21 08:30:00 午前,22.729
5615,04/01/21 09:00:00 午前,22.776
5616,04/01/21 09:30:00 午前,22.705
5617,04/01/21 10:00:00 午前,22.729
5618,04/01/21 10:30:00 午前,22.776
5619,04/01/21 11:00:00 午前,22.848
5620,04/01/21 11:30:00 午前,22.92
5621,04/01/21 12:00:00 午後,23.016
5622,04/01/21 12:30:00 午後,23.136
5623,04/01/21 01:00:00 午後,23.208
5624,04/01/21 01:30:00 午後,23.28
5625,04/01/21 02:00:00 午後,23.136
5626,04/01/21 02:30:00 午後,23.088
5627,04/01/21 03:00:00 午後,23.16
5628,04/01/21 03:30:00 午後,23.16
5629,04/01/21 04:00:00 午後,23.256
5630,04/01/21 04:30:00 午後,23.304
5631,04/01/21 05:00:00 午後,23.208
5632,04/01/21 05:30:00 午後,23.064
5633,04/01/21 06:00:00 午後,23.064
5634,04/01/21 06:30:00 午後,22.992
5635,04/01/21 07:00:00 午後,22.92
5636,04/01/21 07:30:00 午後,22.92
5637,04/01/21 08:00:00 午後,22.944
5638,04/01/21 08:30:00 午後,22.992
5639,04/01/21 09:00:00 午後,23.088
5640,04/01/21 09:30:00 午後,23.064
5641,04/01/21 10:00:00 午後,22.872
5642,04/01/21 10:30:00 午後,22.705
5643,04/01/21 11:00:00 午後,22.705
5644,04/01/21 11:30:00 午後,22.729
5645,04/02/21 12:00:00 午前,22.729
5646,04/02/21 12:30:00 午前,22.729
5647,04/02/21 01:00:00 午前,22.753
5648,04/02/21 01:30:00 午前,22.776
5649,04/02/21 02:00:00 午前,22.776
5650,04/02/21 02:30:00 午前,22.8
5651,04/02/21 03:00:00 午前,22.872
5652,04/02/21 03:30:00 午前,22.848
5653,04/02/21 04:00:00 午前,22.872
5654,04/02/21 04:30:00 午前,22.824
5655,04/02/21 05:00:00 午前,22.8
5656,04/02/21 05:30:00 午前,22.776
5657,04/02/21 06:00:00 午前,22.776
5658,04/02/21 06:30:00 午前,22.729
5659,04/02/21 07:00:00 午前,22.705
5660,04/02/21 07:30:00 午前,22.705
5661,04/02/21 08:00:00 午前,22.705
5662,04/02/21 08:30:00 午前,22.729
5663,04/02/21 09:00:00 午前,22.729
5664,04/02/21 09:30:00 午前,22.824
5665,04/02/21 10:00:00 午前,22.848
5666,04/02/21 10:30:00 午前,22.872
5667,04/02/21 11:00:00 午前,22.848
5668,04/02/21 11:30:00 午前,22.848
5669,04/02/21 12:00:00 午後,22.872
5670,04/02/21 12:30:00 午後,22.896
5671,04/02/21 01:00:00 午後,22.92
5672,04/02/21 01:30:00 午後,22.968
5673,04/02/21 02:00:00 午後,22.968
5674,04/02/21 02:30:00 午後,23.088
5675,04/02/21 03:00:00 午後,23.016
5676,04/02/21 03:30:00 午後,22.968
5677,04/02/21 04:00:00 午後,22.968
5678,04/02/21 04:30:00 午後,23.04
5679,04/02/21 05:00:00 午後,23.064
5680,04/02/21 05:30:00 午後,22.968
5681,04/02/21 06:00:00 午後,22.968
5682,04/02/21 06:30:00 午後,22.848
5683,04/02/21 07:00:00 午後,22.8
5684,04/02/21 07:30:00 午後,22.705
5685,04/02/21 08:00:00 午後,22.681
5686,04/02/21 08:30:00 午後,22.705
5687,04/02/21 09:00:00 午後,22.729
5688,04/02/21 09:30:00 午後,22.848
5689,04/02/21 10:00:00 午後,22.944
5690,04/02/21 10:30:00 午後,22.92
5691,04/02/21 11:00:00 午後,22.776
5692,04/02/21 11:30:00 午後,22.776
5693,04/03/21 12:00:00 午前,22.657
5694,04/03/21 12:30:00 午前,22.609
5695,04/03/21 01:00:00 午前,22.609
5696,04/03/21 01:30:00 午前,22.585
5697,04/03/21 02:00:00 午前,22.585
5698,04/03/21 02:30:00 午前,22.585
5699,04/03/21 03:00:00 午前,22.585
5700,04/03/21 03:30:00 午前,22.585
5701,04/03/21 04:00:00 午前,22.609
5702,04/03/21 04:30:00 午前,22.633
5703,04/03/21 05:00:00 午前,22.633
5704,04/03/21 05:30:00 午前,22.609
5705,04/03/21 06:00:00 午前,22.633
5706,04/03/21 06:30:00 午前,22.609
5707,04/03/21 07:00:00 午前,22.609
5708,04/03/21 07:30:00 午前,22.681
5709,04/03/21 08:00:00 午前,22.705
5710,04/03/21 08:30:00 午前,22.753
5711,04/03/21 09:00:00 午前,22.753
5712,04/03/21 09:30:00 午前,22.776
5713,04/03/21 10:00:00 午前,22.8
5714,04/03/21 10:30:00 午前,22.824
5715,04/03/21 11:00:00 午前,22.8
5716,04/03/21 11:30:00 午前,22.848
5717,04/03/21 12:00:00 午後,22.681
5718,04/03/21 12:30:00 午後,22.705
5719,04/03/21 01:00:00 午後,22.729
5720,04/03/21 01:30:00 午後,22.705
5721,04/03/21 02:00:00 午後,22.705
5722,04/03/21 02:30:00 午後,22.729
5723,04/03/21 03:00:00 午後,22.705
5724,04/03/21 03:30:00 午後,22.753
5725,04/03/21 04:00:00 午後,22.705
5726,04/03/21 04:30:00 午後,22.681
5727,04/03/21 05:00:00 午後,22.681
5728,04/03/21 05:30:00 午後,22.681
5729,04/03/21 06:00:00 午後,22.657
5730,04/03/21 06:30:00 午後,22.633
5731,04/03/21 07:00:00 午後,22.609
5732,04/03/21 07:30:00 午後,22.609
5733,04/03/21 08:00:00 午後,22.585
5734,04/03/21 08:30:00 午後,22.585
5735,04/03/21 09:00:00 午後,22.585
5736,04/03/21 09:30:00 午後,22.585
5737,04/03/21 10:00:00 午後,22.609
5738,04/03/21 10:30:00 午後,22.705
5739,04/03/21 11:00:00 午後,22.824
5740,04/03/21 11:30:00 午後,22.848
5741,04/04/21 12:00:00 午前,22.824
5742,04/04/21 12:30:00 午前,22.824
5743,04/04/21 01:00:00 午前,22.776
5744,04/04/21 01:30:00 午前,22.705
5745,04/04/21 02:00:00 午前,22.585
5746,04/04/21 02:30:00 午前,22.561
5747,04/04/21 03:00:00 午前,22.561
5748,04/04/21 03:30:00 午前,22.537
5749,04/04/21 04:00:00 午前,22.561
5750,04/04/21 04:30:00 午前,22.633
5751,04/04/21 05:00:00 午前,22.657
5752,04/04/21 05:30:00 午前,22.681
5753,04/04/21 06:00:00 午前,22.729
5754,04/04/21 06:30:00 午前,22.729
5755,04/04/21 07:00:00 午前,22.753
5756,04/04/21 07:30:00 午前,22.753
5757,04/04/21 08:00:00 午前,22.753
5758,04/04/21 08:30:00 午前,22.776
5759,04/04/21 09:00:00 午前,22.753
5760,04/04/21 09:30:00 午前,22.753
5761,04/04/21 10:00:00 午前,22.729
5762,04/04/21 10:30:00 午前,22.729
5763,04/04/21 11:00:00 午前,22.705
5764,04/04/21 11:30:00 午前,22.705
5765,04/04/21 12:00:00 午後,22.705
5766,04/04/21 12:30:00 午後,22.705
5767,04/04/21 01:00:00 午後,22.705
5768,04/04/21 01:30:00 午後,22.705
5769,04/04/21 02:00:00 午後,22.657
5770,04/04/21 02:30:00 午後,22.633
5771,04/04/21 03:00:00 午後,22.609
5772,04/04/21 03:30:00 午後,22.585
5773,04/04/21 04:00:00 午後,22.585
5774,04/04/21 04:30:00 午後,22.585
5775,04/04/21 05:00:00 午後,22.561
5776,04/04/21 05:30:00 午後,22.537
5777,04/04/21 06:00:00 午後,22.513
5778,04/04/21 06:30:00 午後,22.489
5779,04/04/21 07:00:00 午後,22.465
5780,04/04/21 07:30:00 午後,22.441
5781,04/04/21 08:00:00 午後,22.298
5782,04/04/21 08:30:00 午後,22.154
5783,04/04/21 09:00:00 午後,21.915
5784,04/04/21 09:30:00 午後,22.034
5785,04/04/21 10:00:00 午後,22.13
5786,04/04/21 10:30:00 午後,22.178
5787,04/04/21 11:00:00 午後,22.202
5788,04/04/21 11:30:00 午後,22.226
5789,04/05/21 12:00:00 午前,22.154
5790,04/05/21 12:30:00 午前,22.106
5791,04/05/21 01:00:00 午前,22.082
5792,04/05/21 01:30:00 午前,21.915
5793,04/05/21 02:00:00 午前,21.891
5794,04/05/21 02:30:00 午前,21.891
5795,04/05/21 03:00:00 午前,21.867
5796,04/05/21 03:30:00 午前,21.891
5797,04/05/21 04:00:00 午前,21.939
5798,04/05/21 04:30:00 午前,21.963
5799,04/05/21 05:00:00 午前,21.915
5800,04/05/21 05:30:00 午前,21.795
5801,04/05/21 06:00:00 午前,21.724
5802,04/05/21 06:30:00 午前,21.604
5803,04/05/21 07:00:00 午前,21.676
5804,04/05/21 07:30:00 午前,21.724
5805,04/05/21 08:00:00 午前,21.819
5806,04/05/21 08:30:00 午前,21.963
5807,04/05/21 09:00:00 午前,22.034
5808,04/05/21 09:30:00 午前,22.058
5809,04/05/21 10:00:00 午前,22.106
5810,04/05/21 10:30:00 午前,22.321
5811,04/05/21 11:00:00 午前,22.417
5812,04/05/21 11:30:00 午前,22.513
5813,04/05/21 12:00:00 午後,22.585
5814,04/05/21 12:30:00 午後,22.585
5815,04/05/21 01:00:00 午後,22.609
5816,04/05/21 01:30:00 午後,22.657
5817,04/05/21 02:00:00 午後,22.705
5818,04/05/21 02:30:00 午後,22.609
5819,04/05/21 03:00:00 午後,22.657
5820,04/05/21 03:30:00 午後,22.609
5821,04/05/21 04:00:00 午後,22.585
5822,04/05/21 04:30:00 午後,22.561
5823,04/05/21 05:00:00 午後,22.513
5824,04/05/21 05:30:00 午後,22.489
5825,04/05/21 06:00:00 午後,22.441
5826,04/05/21 06:30:00 午後,22.417
5827,04/05/21 07:00:00 午後,22.345
5828,04/05/21 07:30:00 午後,22.321
5829,04/05/21 08:00:00 午後,22.321
5830,04/05/21 08:30:00 午後,22.345
5831,04/05/21 09:00:00 午後,22.345
5832,04/05/21 09:30:00 午後,22.226
5833,04/05/21 10:00:00 午後,22.154
5834,04/05/21 10:30:00 午後,21.939
5835,04/05/21 11:00:00 午後,22.058
5836,04/05/21 11:30:00 午後,22.154
5837,04/06/21 12:00:00 午前,22.226
5838,04/06/21 12:30:00 午前,22.154
5839,04/06/21 01:00:00 午前,22.106
5840,04/06/21 01:30:00 午前,22.082
5841,04/06/21 02:00:00 午前,22.082
5842,04/06/21 02:30:00 午前,22.058
5843,04/06/21 03:00:00 午前,22.011
5844,04/06/21 03:30:00 午前,21.939
5845,04/06/21 04:00:00 午前,21.915
5846,04/06/21 04:30:00 午前,21.867
5847,04/06/21 05:00:00 午前,21.843
5848,04/06/21 05:30:00 午前,21.7
5849,04/06/21 06:00:00 午前,21.748
5850,04/06/21 06:30:00 午前,21.772
5851,04/06/21 07:00:00 午前,21.891
5852,04/06/21 07:30:00 午前,21.987
5853,04/06/21 08:00:00 午前,22.106
5854,04/06/21 08:30:00 午前,22.202
5855,04/06/21 09:00:00 午前,22.298
5856,04/06/21 09:30:00 午前,22.321
5857,04/06/21 10:00:00 午前,22.489
5858,04/06/21 10:30:00 午前,22.537
5859,04/06/21 11:00:00 午前,22.633
5860,04/06/21 11:30:00 午前,22.776
5861,04/06/21 12:00:00 午後,22.776
5862,04/06/21 12:30:00 午後,22.824
5863,04/06/21 01:00:00 午後,22.92
5864,04/06/21 01:30:00 午後,22.896
5865,04/06/21 02:00:00 午後,22.872
5866,04/06/21 02:30:00 午後,22.705
5867,04/06/21 03:00:00 午後,22.633
5868,04/06/21 03:30:00 午後,22.633
5869,04/06/21 04:00:00 午後,22.585
5870,04/06/21 04:30:00 午後,22.537
5871,04/06/21 05:00:00 午後,22.513
5872,04/06/21 05:30:00 午後,22.489
5873,04/06/21 06:00:00 午後,22.441
5874,04/06/21 06:30:00 午後,22.393
5875,04/06/21 07:00:00 午後,22.345
5876,04/06/21 07:30:00 午後,22.321
5877,04/06/21 08:00:00 午後,22.25
5878,04/06/21 08:30:00 午後,22.202
5879,04/06/21 09:00:00 午後,22.106
5880,04/06/21 09:30:00 午後,22.058
5881,04/06/21 10:00:00 午後,21.987
5882,04/06/21 10:30:00 午後,22.011
5883,04/06/21 11:00:00 午後,21.891
5884,04/06/21 11:30:00 午後,21.581
5885,04/07/21 12:00:00 午前,21.724
5886,04/07/21 12:30:00 午前,21.843
5887,04/07/21 01:00:00 午前,21.939
5888,04/07/21 01:30:00 午前,21.963
5889,04/07/21 02:00:00 午前,21.939
5890,04/07/21 02:30:00 午前,22.034
5891,04/07/21 03:00:00 午前,21.843
5892,04/07/21 03:30:00 午前,21.795
5893,04/07/21 04:00:00 午前,21.7
5894,04/07/21 04:30:00 午前,21.724
5895,04/07/21 05:00:00 午前,21.748
5896,04/07/21 05:30:00 午前,21.557
5897,04/07/21 06:00:00 午前,21.485
5898,04/07/21 06:30:00 午前,21.461
5899,04/07/21 07:00:00 午前,21.604
5900,04/07/21 07:30:00 午前,21.676
5901,04/07/21 08:00:00 午前,21.748
5902,04/07/21 08:30:00 午前,21.891
5903,04/07/21 09:00:00 午前,22.058
5904,04/07/21 09:30:00 午前,22.202
5905,04/07/21 10:00:00 午前,22.345
5906,04/07/21 10:30:00 午前,22.465
5907,04/07/21 11:00:00 午前,22.585
5908,04/07/21 11:30:00 午前,22.681
5909,04/07/21 12:00:00 午後,22.681
5910,04/07/21 12:30:00 午後,22.8
5911,04/07/21 01:00:00 午後,22.753
5912,04/07/21 01:30:00 午後,22.824
5913,04/07/21 02:00:00 午後,22.872
5914,04/07/21 02:30:00 午後,22.872
5915,04/07/21 03:00:00 午後,22.848
5916,04/07/21 03:30:00 午後,22.657
5917,04/07/21 04:00:00 午後,22.561
5918,04/07/21 04:30:00 午後,22.537
5919,04/07/21 05:00:00 午後,22.513
5920,04/07/21 05:30:00 午後,22.465
5921,04/07/21 06:00:00 午後,22.393
5922,04/07/21 06:30:00 午後,22.345
5923,04/07/21 07:00:00 午後,22.298
5924,04/07/21 07:30:00 午後,22.274
5925,04/07/21 08:00:00 午後,22.226
5926,04/07/21 08:30:00 午後,22.154
5927,04/07/21 09:00:00 午後,22.106
5928,04/07/21 09:30:00 午後,22.058
5929,04/07/21 10:00:00 午後,21.987
5930,04/07/21 10:30:00 午後,21.939
5931,04/07/21 11:00:00 午後,21.963
5932,04/07/21 11:30:00 午後,22.034
5933,04/08/21 12:00:00 午前,22.011
5934,04/08/21 12:30:00 午前,22.034
5935,04/08/21 01:00:00 午前,21.843
5936,04/08/21 01:30:00 午前,21.843
5937,04/08/21 02:00:00 午前,21.867
5938,04/08/21 02:30:00 午前,21.843
5939,04/08/21 03:00:00 午前,21.891
5940,04/08/21 03:30:00 午前,22.034
5941,04/08/21 04:00:00 午前,22.082
5942,04/08/21 04:30:00 午前,22.106
5943,04/08/21 05:00:00 午前,22.106
5944,04/08/21 05:30:00 午前,22.106
5945,04/08/21 06:00:00 午前,22.082
5946,04/08/21 06:30:00 午前,22.058
5947,04/08/21 07:00:00 午前,22.106
5948,04/08/21 07:30:00 午前,22.154
5949,04/08/21 08:00:00 午前,22.178
5950,04/08/21 08:30:00 午前,22.25
5951,04/08/21 09:00:00 午前,22.226
5952,04/08/21 09:30:00 午前,22.25
5953,04/08/21 10:00:00 午前,22.345
5954,04/08/21 10:30:00 午前,22.489
5955,04/08/21 11:00:00 午前,22.561
5956,04/08/21 11:30:00 午前,22.681
5957,04/08/21 12:00:00 午後,22.824
5958,04/08/21 12:30:00 午後,22.848
5959,04/08/21 01:00:00 午後,22.872
5960,04/08/21 01:30:00 午後,22.92
5961,04/08/21 02:00:00 午後,22.992
5962,04/08/21 02:30:00 午後,22.968
5963,04/08/21 03:00:00 午後,22.968
5964,04/08/21 03:30:00 午後,22.729
5965,04/08/21 04:00:00 午後,22.633
5966,04/08/21 04:30:00 午後,22.513
5967,04/08/21 05:00:00 午後,22.489
5968,04/08/21 05:30:00 午後,22.417
5969,04/08/21 06:00:00 午後,22.393
5970,04/08/21 06:30:00 午後,22.369
5971,04/08/21 07:00:00 午後,22.345
5972,04/08/21 07:30:00 午後,22.321
5973,04/08/21 08:00:00 午後,22.298
5974,04/08/21 08:30:00 午後,22.25
5975,04/08/21 09:00:00 午後,22.274
5976,04/08/21 09:30:00 午後,22.321
5977,04/08/21 10:00:00 午後,22.298
5978,04/08/21 10:30:00 午後,22.25
5979,04/08/21 11:00:00 午後,22.178
5980,04/08/21 11:30:00 午後,22.13
5981,04/09/21 12:00:00 午前,22.106
5982,04/09/21 12:30:00 午前,22.058
5983,04/09/21 01:00:00 午前,21.987
5984,04/09/21 01:30:00 午前,21.987
5985,04/09/21 02:00:00 午前,22.011
5986,04/09/21 02:30:00 午前,22.082
5987,04/09/21 03:00:00 午前,22.13
5988,04/09/21 03:30:00 午前,22.154
5989,04/09/21 04:00:00 午前,22.202
5990,04/09/21 04:30:00 午前,22.226
5991,04/09/21 05:00:00 午前,22.178
5992,04/09/21 05:30:00 午前,22.154
5993,04/09/21 06:00:00 午前,22.13
5994,04/09/21 06:30:00 午前,22.13
5995,04/09/21 07:00:00 午前,22.13
5996,04/09/21 07:30:00 午前,22.106
5997,04/09/21 08:00:00 午前,22.106
5998,04/09/21 08:30:00 午前,22.13
5999,04/09/21 09:00:00 午前,22.154
6000,04/09/21 09:30:00 午前,22.202
6001,04/09/21 10:00:00 午前,22.178
6002,04/09/21 10:30:00 午前,22.226
6003,04/09/21 11:00:00 午前,22.321
6004,04/09/21 11:30:00 午前,22.513
6005,04/09/21 12:00:00 午後,22.465
6006,04/09/21 12:30:00 午後,22.441
6007,04/09/21 01:00:00 午後,22.513
6008,04/09/21 01:30:00 午後,22.609
6009,04/09/21 02:00:00 午後,22.681
6010,04/09/21 02:30:00 午後,22.705
6011,04/09/21 03:00:00 午後,22.633
6012,04/09/21 03:30:00 午後,22.657
6013,04/09/21 04:00:00 午後,22.681
6014,04/09/21 04:30:00 午後,22.561
6015,04/09/21 05:00:00 午後,22.489
6016,04/09/21 05:30:00 午後,22.417
6017,04/09/21 06:00:00 午後,22.393
6018,04/09/21 06:30:00 午後,22.345
6019,04/09/21 07:00:00 午後,22.321
6020,04/09/21 07:30:00 午後,22.274
6021,04/09/21 08:00:00 午後,22.274
6022,04/09/21 08:30:00 午後,22.25
6023,04/09/21 09:00:00 午後,22.202
6024,04/09/21 09:30:00 午後,22.202
6025,04/09/21 10:00:00 午後,22.25
6026,04/09/21 10:30:00 午後,22.25
6027,04/09/21 11:00:00 午後,22.25
6028,04/09/21 11:30:00 午後,22.226
6029,04/10/21 12:00:00 午前,22.226
6030,04/10/21 12:30:00 午前,22.178
6031,04/10/21 01:00:00 午前,22.034
6032,04/10/21 01:30:00 午前,22.034
6033,04/10/21 02:00:00 午前,22.058
6034,04/10/21 02:30:00 午前,22.082
6035,04/10/21 03:00:00 午前,22.154
6036,04/10/21 03:30:00 午前,22.13
6037,04/10/21 04:00:00 午前,22.13
6038,04/10/21 04:30:00 午前,22.106
6039,04/10/21 05:00:00 午前,22.13
6040,04/10/21 05:30:00 午前,22.13
6041,04/10/21 06:00:00 午前,22.13
6042,04/10/21 06:30:00 午前,22.082
6043,04/10/21 07:00:00 午前,22.082
6044,04/10/21 07:30:00 午前,22.082
6045,04/10/21 08:00:00 午前,22.106
6046,04/10/21 08:30:00 午前,22.154
6047,04/10/21 09:00:00 午前,22.202
6048,04/10/21 09:30:00 午前,22.298
6049,04/10/21 10:00:00 午前,22.369
6050,04/10/21 10:30:00 午前,22.465
6051,04/10/21 11:00:00 午前,22.657
6052,04/10/21 11:30:00 午前,22.8
6053,04/10/21 12:00:00 午後,22.872
6054,04/10/21 12:30:00 午後,22.992
6055,04/10/21 01:00:00 午後,23.112
6056,04/10/21 01:30:00 午後,23.112
6057,04/10/21 02:00:00 午後,23.088
6058,04/10/21 02:30:00 午後,22.992
6059,04/10/21 03:00:00 午後,22.944
6060,04/10/21 03:30:00 午後,22.92
6061,04/10/21 04:00:00 午後,22.824
6062,04/10/21 04:30:00 午後,22.8
6063,04/10/21 05:00:00 午後,22.753
6064,04/10/21 05:30:00 午後,22.609
6065,04/10/21 06:00:00 午後,22.489
6066,04/10/21 06:30:00 午後,22.465
6067,04/10/21 07:00:00 午後,22.417
6068,04/10/21 07:30:00 午後,22.393
6069,04/10/21 08:00:00 午後,22.345
6070,04/10/21 08:30:00 午後,22.321
6071,04/10/21 09:00:00 午後,22.298
6072,04/10/21 09:30:00 午後,22.298
6073,04/10/21 10:00:00 午後,22.25
6074,04/10/21 10:30:00 午後,22.25
6075,04/10/21 11:00:00 午後,22.25
6076,04/10/21 11:30:00 午後,22.274
6077,04/11/21 12:00:00 午前,22.298
6078,04/11/21 12:30:00 午前,22.274
6079,04/11/21 01:00:00 午前,22.274
6080,04/11/21 01:30:00 午前,22.226
6081,04/11/21 02:00:00 午前,22.178
6082,04/11/21 02:30:00 午前,22.202
6083,04/11/21 03:00:00 午前,22.226
6084,04/11/21 03:30:00 午前,22.106
6085,04/11/21 04:00:00 午前,22.082
6086,04/11/21 04:30:00 午前,22.058
6087,04/11/21 05:00:00 午前,22.082
6088,04/11/21 05:30:00 午前,22.106
6089,04/11/21 06:00:00 午前,22.082
6090,04/11/21 06:30:00 午前,22.058
6091,04/11/21 07:00:00 午前,22.058
6092,04/11/21 07:30:00 午前,22.082
6093,04/11/21 08:00:00 午前,22.13
6094,04/11/21 08:30:00 午前,22.154
6095,04/11/21 09:00:00 午前,22.202
6096,04/11/21 09:30:00 午前,22.298
6097,04/11/21 10:00:00 午前,22.321
6098,04/11/21 10:30:00 午前,22.417
6099,04/11/21 11:00:00 午前,22.489
6100,04/11/21 11:30:00 午前,22.537
6101,04/11/21 12:00:00 午後,22.609
6102,04/11/21 12:30:00 午後,22.753
6103,04/11/21 01:00:00 午後,22.848
6104,04/11/21 01:30:00 午後,22.92
6105,04/11/21 02:00:00 午後,22.968
6106,04/11/21 02:30:00 午後,23.04
6107,04/11/21 03:00:00 午後,22.968
6108,04/11/21 03:30:00 午後,22.944
6109,04/11/21 04:00:00 午後,22.896
6110,04/11/21 04:30:00 午後,22.872
6111,04/11/21 05:00:00 午後,22.848
6112,04/11/21 05:30:00 午後,22.8
6113,04/11/21 06:00:00 午後,22.729
6114,04/11/21 06:30:00 午後,22.705
6115,04/11/21 07:00:00 午後,22.609
6116,04/11/21 07:30:00 午後,22.585
6117,04/11/21 08:00:00 午後,22.513
6118,04/11/21 08:30:00 午後,22.465
6119,04/11/21 09:00:00 午後,22.465
6120,04/11/21 09:30:00 午後,22.465
6121,04/11/21 10:00:00 午後,22.441
6122,04/11/21 10:30:00 午後,22.393
6123,04/11/21 11:00:00 午後,22.345
6124,04/11/21 11:30:00 午後,22.345
6125,04/12/21 12:00:00 午前,22.369
6126,04/12/21 12:30:00 午前,22.369
6127,04/12/21 01:00:00 午前,22.393
6128,04/12/21 01:30:00 午前,22.393
6129,04/12/21 02:00:00 午前,22.369
6130,04/12/21 02:30:00 午前,22.369
6131,04/12/21 03:00:00 午前,22.369
6132,04/12/21 03:30:00 午前,22.393
6133,04/12/21 04:00:00 午前,22.393
6134,04/12/21 04:30:00 午前,22.417
6135,04/12/21 05:00:00 午前,22.417
6136,04/12/21 05:30:00 午前,22.154
6137,04/12/21 06:00:00 午前,22.106
6138,04/12/21 06:30:00 午前,22.154
6139,04/12/21 07:00:00 午前,22.202
6140,04/12/21 07:30:00 午前,22.178
6141,04/12/21 08:00:00 午前,22.202
6142,04/12/21 08:30:00 午前,22.321
6143,04/12/21 09:00:00 午前,22.465
6144,04/12/21 09:30:00 午前,22.585
6145,04/12/21 10:00:00 午前,22.657
6146,04/12/21 10:30:00 午前,22.633
6147,04/12/21 11:00:00 午前,22.561
6148,04/12/21 11:30:00 午前,22.609
6149,04/12/21 12:00:00 午後,22.753
6150,04/12/21 12:30:00 午後,22.896
6151,04/12/21 01:00:00 午後,22.968
6152,04/12/21 01:30:00 午後,23.088
6153,04/12/21 02:00:00 午後,23.136
6154,04/12/21 02:30:00 午後,23.208
6155,04/12/21 03:00:00 午後,23.28
6156,04/12/21 03:30:00 午後,23.4
6157,04/12/21 04:00:00 午後,23.256
6158,04/12/21 04:30:00 午後,23.16
6159,04/12/21 05:00:00 午後,23.136
6160,04/12/21 05:30:00 午後,23.112
6161,04/12/21 06:00:00 午後,23.064
6162,04/12/21 06:30:00 午後,23.088
6163,04/12/21 07:00:00 午後,23.04
6164,04/12/21 07:30:00 午後,22.968
6165,04/12/21 08:00:00 午後,22.968
6166,04/12/21 08:30:00 午後,22.968
6167,04/12/21 09:00:00 午後,22.992
6168,04/12/21 09:30:00 午後,23.016
6169,04/12/21 10:00:00 午後,23.04
6170,04/12/21 10:30:00 午後,22.992
6171,04/12/21 11:00:00 午後,22.968
6172,04/12/21 11:30:00 午後,22.944
6173,04/13/21 12:00:00 午前,22.896
6174,04/13/21 12:30:00 午前,22.944
6175,04/13/21 01:00:00 午前,22.92
6176,04/13/21 01:30:00 午前,22.896
6177,04/13/21 02:00:00 午前,22.872
6178,04/13/21 02:30:00 午前,22.872
6179,04/13/21 03:00:00 午前,22.872
6180,04/13/21 03:30:00 午前,22.848
6181,04/13/21 04:00:00 午前,22.824
6182,04/13/21 04:30:00 午前,22.824
6183,04/13/21 05:00:00 午前,22.776
6184,04/13/21 05:30:00 午前,22.729
6185,04/13/21 06:00:00 午前,22.705
6186,04/13/21 06:30:00 午前,22.705
6187,04/13/21 07:00:00 午前,22.753
6188,04/13/21 07:30:00 午前,22.8
6189,04/13/21 08:00:00 午前,22.8
6190,04/13/21 08:30:00 午前,22.848
6191,04/13/21 09:00:00 午前,22.896
6192,04/13/21 09:30:00 午前,22.968
6193,04/13/21 10:00:00 午前,23.016
6194,04/13/21 10:30:00 午前,23.136
6195,04/13/21 11:00:00 午前,23.328
6196,04/13/21 11:30:00 午前,23.569
6197,04/13/21 12:00:00 午後,23.617
6198,04/13/21 12:30:00 午後,23.689
6199,04/13/21 01:00:00 午後,23.737
6200,04/13/21 01:30:00 午後,23.689
6201,04/13/21 02:00:00 午後,23.617
6202,04/13/21 02:30:00 午後,23.4
6203,04/13/21 03:00:00 午後,23.328
6204,04/13/21 03:30:00 午後,23.256
6205,04/13/21 04:00:00 午後,23.208
6206,04/13/21 04:30:00 午後,23.16
6207,04/13/21 05:00:00 午後,23.064
6208,04/13/21 05:30:00 午後,22.992
6209,04/13/21 06:00:00 午後,22.968
6210,04/13/21 06:30:00 午後,22.944
6211,04/13/21 07:00:00 午後,22.944
