プロット タイトル:site21_spot011_2020,,,,
番号,年/月/日,時間,午前/午後,水温データ
"218	",2020/1/28,3:00:00,"午後	",17.034
"219	",2020/1/28,4:00:00,"午後	",17.082
"220	",2020/1/28,5:00:00,"午後	",17.13
"221	",2020/1/28,6:00:00,"午後	",17.153
"222	",2020/1/28,7:00:00,"午後	",17.201
"223	",2020/1/28,8:00:00,"午後	",17.201
"224	",2020/1/28,9:00:00,"午後	",17.177
"225	",2020/1/28,10:00:00,"午後	",17.106
"226	",2020/1/28,11:00:00,"午後	",17.153
"227	",2020/1/29,12:00:00,"午前	",17.153
"228	",2020/1/29,1:00:00,"午前	",17.106
"229	",2020/1/29,2:00:00,"午前	",17.153
"230	",2020/1/29,3:00:00,"午前	",17.201
"231	",2020/1/29,4:00:00,"午前	",17.225
"232	",2020/1/29,5:00:00,"午前	",17.201
"233	",2020/1/29,6:00:00,"午前	",17.225
"234	",2020/1/29,7:00:00,"午前	",17.058
"235	",2020/1/29,8:00:00,"午前	",17.058
"236	",2020/1/29,9:00:00,"午前	",17.082
"237	",2020/1/29,10:00:00,"午前	",17.011
"238	",2020/1/29,11:00:00,"午前	",17.011
"239	",2020/1/29,12:00:00,"午後	",17.034
"240	",2020/1/29,1:00:00,"午後	",17.153
"241	",2020/1/29,2:00:00,"午後	",17.201
"242	",2020/1/29,3:00:00,"午後	",17.225
"243	",2020/1/29,4:00:00,"午後	",17.249
"244	",2020/1/29,5:00:00,"午後	",17.296
"245	",2020/1/29,6:00:00,"午後	",17.296
"246	",2020/1/29,7:00:00,"午後	",17.201
"247	",2020/1/29,8:00:00,"午後	",17.225
"248	",2020/1/29,9:00:00,"午後	",17.249
"249	",2020/1/29,10:00:00,"午後	",17.368
"250	",2020/1/29,11:00:00,"午後	",17.368
"251	",2020/1/30,12:00:00,"午前	",17.153
"252	",2020/1/30,1:00:00,"午前	",17.249
"253	",2020/1/30,2:00:00,"午前	",17.082
"254	",2020/1/30,3:00:00,"午前	",17.177
"255	",2020/1/30,4:00:00,"午前	",17.034
"256	",2020/1/30,5:00:00,"午前	",16.987
"257	",2020/1/30,6:00:00,"午前	",16.963
"258	",2020/1/30,7:00:00,"午前	",17.011
"259	",2020/1/30,8:00:00,"午前	",16.892
"260	",2020/1/30,9:00:00,"午前	",16.868
"261	",2020/1/30,10:00:00,"午前	",16.939
"262	",2020/1/30,11:00:00,"午前	",16.963
"263	",2020/1/30,12:00:00,"午後	",16.915
"264	",2020/1/30,1:00:00,"午後	",16.987
"265	",2020/1/30,2:00:00,"午後	",17.058
"266	",2020/1/30,3:00:00,"午後	",17.082
"267	",2020/1/30,4:00:00,"午後	",17.058
"268	",2020/1/30,5:00:00,"午後	",17.058
"269	",2020/1/30,6:00:00,"午後	",17.034
"270	",2020/1/30,7:00:00,"午後	",17.058
"271	",2020/1/30,8:00:00,"午後	",17.058
"272	",2020/1/30,9:00:00,"午後	",17.034
"273	",2020/1/30,10:00:00,"午後	",16.987
"274	",2020/1/30,11:00:00,"午後	",16.844
"275	",2020/1/31,12:00:00,"午前	",16.939
"276	",2020/1/31,1:00:00,"午前	",16.915
"277	",2020/1/31,2:00:00,"午前	",16.749
"278	",2020/1/31,3:00:00,"午前	",16.582
"279	",2020/1/31,4:00:00,"午前	",16.511
"280	",2020/1/31,5:00:00,"午前	",16.558
"281	",2020/1/31,6:00:00,"午前	",16.582
"282	",2020/1/31,7:00:00,"午前	",16.63
"283	",2020/1/31,8:00:00,"午前	",16.677
"284	",2020/1/31,9:00:00,"午前	",16.654
"285	",2020/1/31,10:00:00,"午前	",16.582
"286	",2020/1/31,11:00:00,"午前	",16.582
"287	",2020/1/31,12:00:00,"午後	",16.558
"288	",2020/1/31,1:00:00,"午後	",16.582
"289	",2020/1/31,2:00:00,"午後	",16.606
"290	",2020/1/31,3:00:00,"午後	",16.558
"291	",2020/1/31,4:00:00,"午後	",16.606
"292	",2020/1/31,5:00:00,"午後	",16.487
"293	",2020/1/31,6:00:00,"午後	",16.439
"294	",2020/1/31,7:00:00,"午後	",16.487
"295	",2020/1/31,8:00:00,"午後	",16.439
"296	",2020/1/31,9:00:00,"午後	",16.392
"297	",2020/1/31,10:00:00,"午後	",16.344
"298	",2020/1/31,11:00:00,"午後	",16.296
"299	",2020/2/1,12:00:00,"午前	",16.368
"300	",2020/2/1,1:00:00,"午前	",16.344
"301	",2020/2/1,2:00:00,"午前	",15.939
"302	",2020/2/1,3:00:00,"午前	",15.891
"303	",2020/2/1,4:00:00,"午前	",15.963
"304	",2020/2/1,5:00:00,"午前	",16.034
"305	",2020/2/1,6:00:00,"午前	",16.082
"306	",2020/2/1,7:00:00,"午前	",16.01
"307	",2020/2/1,8:00:00,"午前	",16.106
"308	",2020/2/1,9:00:00,"午前	",16.106
"309	",2020/2/1,10:00:00,"午前	",16.201
"310	",2020/2/1,11:00:00,"午前	",16.296
"311	",2020/2/1,12:00:00,"午後	",16.439
"312	",2020/2/1,1:00:00,"午後	",16.654
"313	",2020/2/1,2:00:00,"午後	",16.582
"314	",2020/2/1,3:00:00,"午後	",16.487
"315	",2020/2/1,4:00:00,"午後	",16.558
"316	",2020/2/1,5:00:00,"午後	",16.725
"317	",2020/2/1,6:00:00,"午後	",16.677
