プロット タイトル:site22_spot011_2023,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011400, SEN S/N: 21011400)"
458,01/25/23 11:00:00 午前,16.153
459,01/25/23 12:00:00 午後,16.32
460,01/25/23 01:00:00 午後,16.511
461,01/25/23 02:00:00 午後,16.439
462,01/25/23 03:00:00 午後,16.487
463,01/25/23 04:00:00 午後,16.392
464,01/25/23 05:00:00 午後,16.415
465,01/25/23 06:00:00 午後,16.415
466,01/25/23 07:00:00 午後,16.368
467,01/25/23 08:00:00 午後,16.296
468,01/25/23 09:00:00 午後,16.249
469,01/25/23 10:00:00 午後,16.392
470,01/25/23 11:00:00 午後,16.32
471,01/26/23 12:00:00 午前,16.153
472,01/26/23 01:00:00 午前,16.01
473,01/26/23 02:00:00 午前,15.915
474,01/26/23 03:00:00 午前,15.963
475,01/26/23 04:00:00 午前,15.963
476,01/26/23 05:00:00 午前,16.058
477,01/26/23 06:00:00 午前,16.249
478,01/26/23 07:00:00 午前,16.106
479,01/26/23 08:00:00 午前,16.177
480,01/26/23 09:00:00 午前,16.201
481,01/26/23 10:00:00 午前,16.249
482,01/26/23 11:00:00 午前,16.272
483,01/26/23 12:00:00 午後,16.392
484,01/26/23 01:00:00 午後,16.582
485,01/26/23 02:00:00 午後,16.701
486,01/26/23 03:00:00 午後,16.63
487,01/26/23 04:00:00 午後,16.725
488,01/26/23 05:00:00 午後,16.701
489,01/26/23 06:00:00 午後,16.725
490,01/26/23 07:00:00 午後,16.701
491,01/26/23 08:00:00 午後,16.606
492,01/26/23 09:00:00 午後,16.582
493,01/26/23 10:00:00 午後,16.487
494,01/26/23 11:00:00 午後,16.463
495,01/27/23 12:00:00 午前,16.415
496,01/27/23 01:00:00 午前,16.392
497,01/27/23 02:00:00 午前,16.32
498,01/27/23 03:00:00 午前,16.249
499,01/27/23 04:00:00 午前,16.129
500,01/27/23 05:00:00 午前,16.296
501,01/27/23 06:00:00 午前,16.534
502,01/27/23 07:00:00 午前,16.534
503,01/27/23 08:00:00 午前,16.534
504,01/27/23 09:00:00 午前,16.534
505,01/27/23 10:00:00 午前,16.534
506,01/27/23 11:00:00 午前,16.439
507,01/27/23 12:00:00 午後,16.415
508,01/27/23 01:00:00 午後,16.392
509,01/27/23 02:00:00 午後,16.415
510,01/27/23 03:00:00 午後,16.415
511,01/27/23 04:00:00 午後,16.249
512,01/27/23 05:00:00 午後,16.01
513,01/27/23 06:00:00 午後,15.843
514,01/27/23 07:00:00 午後,15.867
515,01/27/23 08:00:00 午後,15.843
516,01/27/23 09:00:00 午後,15.796
517,01/27/23 10:00:00 午後,15.652
518,01/27/23 11:00:00 午後,15.414
519,01/28/23 12:00:00 午前,15.724
520,01/28/23 01:00:00 午前,15.819
521,01/28/23 02:00:00 午前,15.867
522,01/28/23 03:00:00 午前,15.843
523,01/28/23 04:00:00 午前,15.939
524,01/28/23 05:00:00 午前,16.01
525,01/28/23 06:00:00 午前,16.177
526,01/28/23 07:00:00 午前,16.177
527,01/28/23 08:00:00 午前,16.201
528,01/28/23 09:00:00 午前,16.225
529,01/28/23 10:00:00 午前,16.249
530,01/28/23 11:00:00 午前,16.249
531,01/28/23 12:00:00 午後,16.225
532,01/28/23 01:00:00 午後,16.177
533,01/28/23 02:00:00 午後,16.296
534,01/28/23 03:00:00 午後,16.463
535,01/28/23 04:00:00 午後,16.201
536,01/28/23 05:00:00 午後,16.106
537,01/28/23 06:00:00 午後,16.01
538,01/28/23 07:00:00 午後,15.867
539,01/28/23 08:00:00 午後,15.724
540,01/28/23 09:00:00 午後,15.724
541,01/28/23 10:00:00 午後,15.605
542,01/28/23 11:00:00 午後,15.963
543,01/29/23 12:00:00 午前,16.129
544,01/29/23 01:00:00 午前,16.272
545,01/29/23 02:00:00 午前,16.32
546,01/29/23 03:00:00 午前,16.439
547,01/29/23 04:00:00 午前,16.296
548,01/29/23 05:00:00 午前,16.368
549,01/29/23 06:00:00 午前,16.463
550,01/29/23 07:00:00 午前,16.582
551,01/29/23 08:00:00 午前,16.654
552,01/29/23 09:00:00 午前,16.677
553,01/29/23 10:00:00 午前,16.654
554,01/29/23 11:00:00 午前,16.701
555,01/29/23 12:00:00 午後,16.701
556,01/29/23 01:00:00 午後,16.725
557,01/29/23 02:00:00 午後,16.725
558,01/29/23 03:00:00 午後,16.773
559,01/29/23 04:00:00 午後,16.82
560,01/29/23 05:00:00 午後,16.725
561,01/29/23 06:00:00 午後,16.63
562,01/29/23 07:00:00 午後,16.511
563,01/29/23 08:00:00 午後,16.511
564,01/29/23 09:00:00 午後,16.511
565,01/29/23 10:00:00 午後,16.534
566,01/29/23 11:00:00 午後,16.415
567,01/30/23 12:00:00 午前,16.534
568,01/30/23 01:00:00 午前,16.558
569,01/30/23 02:00:00 午前,16.749
570,01/30/23 03:00:00 午前,16.725
571,01/30/23 04:00:00 午前,16.677
572,01/30/23 05:00:00 午前,16.654
573,01/30/23 06:00:00 午前,16.582
574,01/30/23 07:00:00 午前,16.606
575,01/30/23 08:00:00 午前,16.558
576,01/30/23 09:00:00 午前,16.63
577,01/30/23 10:00:00 午前,16.582
578,01/30/23 11:00:00 午前,16.725
579,01/30/23 12:00:00 午後,16.844
580,01/30/23 01:00:00 午後,16.773
581,01/30/23 02:00:00 午後,16.868
582,01/30/23 03:00:00 午後,16.868
583,01/30/23 04:00:00 午後,16.773
584,01/30/23 05:00:00 午後,16.701
585,01/30/23 06:00:00 午後,16.582
586,01/30/23 07:00:00 午後,16.439
587,01/30/23 08:00:00 午後,16.534
588,01/30/23 09:00:00 午後,16.487
589,01/30/23 10:00:00 午後,16.439
590,01/30/23 11:00:00 午後,16.511
591,01/31/23 12:00:00 午前,16.606
592,01/31/23 01:00:00 午前,16.487
593,01/31/23 02:00:00 午前,16.415
594,01/31/23 03:00:00 午前,16.463
595,01/31/23 04:00:00 午前,16.606
596,01/31/23 05:00:00 午前,16.677
597,01/31/23 06:00:00 午前,16.749
598,01/31/23 07:00:00 午前,16.654
599,01/31/23 08:00:00 午前,16.701
600,01/31/23 09:00:00 午前,16.868
601,01/31/23 10:00:00 午前,16.939
602,01/31/23 11:00:00 午前,17.058
603,01/31/23 12:00:00 午後,17.439
604,01/31/23 01:00:00 午後,17.486
605,01/31/23 02:00:00 午後,17.534
606,01/31/23 03:00:00 午後,17.534
607,01/31/23 04:00:00 午後,17.724
608,01/31/23 05:00:00 午後,17.486
609,01/31/23 06:00:00 午後,17.463
610,01/31/23 07:00:00 午後,17.463
611,01/31/23 08:00:00 午後,17.296
612,01/31/23 09:00:00 午後,17.153
613,01/31/23 10:00:00 午後,17.13
614,01/31/23 11:00:00 午後,16.963
615,02/01/23 12:00:00 午前,17.058
