プロット タイトル: site05_spot014_2020,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20523064, SEN S/N: 20523064)",カプラー取り外し (LGR S/N: 20523064),カプラー取り付け (LGR S/N: 20523064),ホスト接続 (LGR S/N: 20523064),ファイルの終わり (LGR S/N: 20523064)
5774,01/24/20 06:30:00 午前,22.25,,,,
5775,01/24/20 07:00:00 午前,22.226,,,,
5776,01/24/20 07:30:00 午前,22.226,,,,
5777,01/24/20 08:00:00 午前,22.178,,,,
5778,01/24/20 08:30:00 午前,22.058,,,,
5779,01/24/20 09:00:00 午前,22.082,,,,
5780,01/24/20 09:30:00 午前,22.106,,,,
5781,01/24/20 10:00:00 午前,22.13,,,,
5782,01/24/20 10:30:00 午前,22.13,,,,
5783,01/24/20 11:00:00 午前,22.178,,,,
5784,01/24/20 11:30:00 午前,22.226,,,,
5785,01/24/20 12:00:00 午後,22.274,,,,
5786,01/24/20 12:30:00 午後,22.298,,,,
5787,01/24/20 01:00:00 午後,22.321,,,,
5788,01/24/20 01:30:00 午後,22.321,,,,
5789,01/24/20 02:00:00 午後,22.345,,,,
5790,01/24/20 02:30:00 午後,22.345,,,,
5791,01/24/20 03:00:00 午後,22.321,,,,
5792,01/24/20 03:30:00 午後,22.321,,,,
5793,01/24/20 04:00:00 午後,22.321,,,,
5794,01/24/20 04:30:00 午後,22.321,,,,
5795,01/24/20 05:00:00 午後,22.321,,,,
5796,01/24/20 05:30:00 午後,22.321,,,,
5797,01/24/20 06:00:00 午後,22.321,,,,
5798,01/24/20 06:30:00 午後,22.321,,,,
5799,01/24/20 07:00:00 午後,22.345,,,,
5800,01/24/20 07:30:00 午後,22.441,,,,
5801,01/24/20 08:00:00 午後,22.465,,,,
5802,01/24/20 08:30:00 午後,22.489,,,,
5803,01/24/20 09:00:00 午後,22.561,,,,
5804,01/24/20 09:30:00 午後,22.417,,,,
5805,01/24/20 10:00:00 午後,22.369,,,,
5806,01/24/20 10:30:00 午後,22.369,,,,
5807,01/24/20 11:00:00 午後,22.393,,,,
5808,01/24/20 11:30:00 午後,22.417,,,,
5809,01/25/20 12:00:00 午前,22.417,,,,
5810,01/25/20 12:30:00 午前,22.441,,,,
5811,01/25/20 01:00:00 午前,22.465,,,,
5812,01/25/20 01:30:00 午前,22.441,,,,
5813,01/25/20 02:00:00 午前,22.465,,,,
5814,01/25/20 02:30:00 午前,22.441,,,,
5815,01/25/20 03:00:00 午前,22.441,,,,
5816,01/25/20 03:30:00 午前,22.441,,,,
5817,01/25/20 04:00:00 午前,22.417,,,,
5818,01/25/20 04:30:00 午前,22.441,,,,
5819,01/25/20 05:00:00 午前,22.441,,,,
5820,01/25/20 05:30:00 午前,22.441,,,,
5821,01/25/20 06:00:00 午前,22.441,,,,
5822,01/25/20 06:30:00 午前,22.417,,,,
5823,01/25/20 07:00:00 午前,22.417,,,,
5824,01/25/20 07:30:00 午前,22.393,,,,
5825,01/25/20 08:00:00 午前,22.393,,,,
5826,01/25/20 08:30:00 午前,22.393,,,,
5827,01/25/20 09:00:00 午前,22.393,,,,
5828,01/25/20 09:30:00 午前,22.369,,,,
5829,01/25/20 10:00:00 午前,22.369,,,,
5830,01/25/20 10:30:00 午前,22.369,,,,
5831,01/25/20 11:00:00 午前,22.369,,,,
5832,01/25/20 11:30:00 午前,22.369,,,,
5833,01/25/20 12:00:00 午後,22.393,,,,
5834,01/25/20 12:30:00 午後,22.417,,,,
5835,01/25/20 01:00:00 午後,22.441,,,,
5836,01/25/20 01:30:00 午後,22.465,,,,
5837,01/25/20 02:00:00 午後,22.489,,,,
5838,01/25/20 02:30:00 午後,22.513,,,,
5839,01/25/20 03:00:00 午後,22.513,,,,
5840,01/25/20 03:30:00 午後,22.513,,,,
5841,01/25/20 04:00:00 午後,22.537,,,,
5842,01/25/20 04:30:00 午後,22.537,,,,
5843,01/25/20 05:00:00 午後,22.537,,,,
5844,01/25/20 05:30:00 午後,22.537,,,,
5845,01/25/20 06:00:00 午後,22.537,,,,
5846,01/25/20 06:30:00 午後,22.537,,,,
5847,01/25/20 07:00:00 午後,22.513,,,,
5848,01/25/20 07:30:00 午後,22.513,,,,
5849,01/25/20 08:00:00 午後,22.513,,,,
5850,01/25/20 08:30:00 午後,22.513,,,,
5851,01/25/20 09:00:00 午後,22.489,,,,
5852,01/25/20 09:30:00 午後,22.489,,,,
5853,01/25/20 10:00:00 午後,22.489,,,,
5854,01/25/20 10:30:00 午後,22.489,,,,
5855,01/25/20 11:00:00 午後,22.489,,,,
5856,01/25/20 11:30:00 午後,22.537,,,,
5857,01/26/20 12:00:00 午前,22.537,,,,
5858,01/26/20 12:30:00 午前,22.561,,,,
5859,01/26/20 01:00:00 午前,22.609,,,,
5860,01/26/20 01:30:00 午前,22.609,,,,
5861,01/26/20 02:00:00 午前,22.609,,,,
5862,01/26/20 02:30:00 午前,22.609,,,,
5863,01/26/20 03:00:00 午前,22.585,,,,
5864,01/26/20 03:30:00 午前,22.585,,,,
5865,01/26/20 04:00:00 午前,22.561,,,,
5866,01/26/20 04:30:00 午前,22.537,,,,
5867,01/26/20 05:00:00 午前,22.537,,,,
5868,01/26/20 05:30:00 午前,22.513,,,,
5869,01/26/20 06:00:00 午前,22.513,,,,
5870,01/26/20 06:30:00 午前,22.513,,,,
5871,01/26/20 07:00:00 午前,22.513,,,,
5872,01/26/20 07:30:00 午前,22.441,,,,
5873,01/26/20 08:00:00 午前,22.441,,,,
5874,01/26/20 08:30:00 午前,22.441,,,,
5875,01/26/20 09:00:00 午前,22.465,,,,
5876,01/26/20 09:30:00 午前,22.465,,,,
5877,01/26/20 10:00:00 午前,22.513,,,,
5878,01/26/20 10:30:00 午前,22.561,,,,
5879,01/26/20 11:00:00 午前,22.561,,,,
5880,01/26/20 11:30:00 午前,22.585,,,,
5881,01/26/20 12:00:00 午後,22.609,,,,
5882,01/26/20 12:30:00 午後,22.585,,,,
5883,01/26/20 01:00:00 午後,22.537,,,,
5884,01/26/20 01:30:00 午後,22.657,,,,
5885,01/26/20 02:00:00 午後,22.657,,,,
5886,01/26/20 02:30:00 午後,22.633,,,,
5887,01/26/20 03:00:00 午後,22.633,,,,
5888,01/26/20 03:30:00 午後,22.633,,,,
5889,01/26/20 04:00:00 午後,22.585,,,,
5890,01/26/20 04:30:00 午後,22.561,,,,
5891,01/26/20 05:00:00 午後,22.537,,,,
5892,01/26/20 05:30:00 午後,22.537,,,,
5893,01/26/20 06:00:00 午後,22.513,,,,
5894,01/26/20 06:30:00 午後,22.465,,,,
5895,01/26/20 07:00:00 午後,22.441,,,,
5896,01/26/20 07:30:00 午後,22.441,,,,
5897,01/26/20 08:00:00 午後,22.441,,,,
5898,01/26/20 08:30:00 午後,22.441,,,,
5899,01/26/20 09:00:00 午後,22.465,,,,
5900,01/26/20 09:30:00 午後,22.489,,,,
5901,01/26/20 10:00:00 午後,22.513,,,,
5902,01/26/20 10:30:00 午後,22.513,,,,
5903,01/26/20 11:00:00 午後,22.513,,,,
5904,01/26/20 11:30:00 午後,22.537,,,,
5905,01/27/20 12:00:00 午前,22.537,,,,
5906,01/27/20 12:30:00 午前,22.585,,,,
5907,01/27/20 01:00:00 午前,22.633,,,,
5908,01/27/20 01:30:00 午前,22.633,,,,
5909,01/27/20 02:00:00 午前,22.657,,,,
5910,01/27/20 02:30:00 午前,22.633,,,,
5911,01/27/20 03:00:00 午前,22.633,,,,
5912,01/27/20 03:30:00 午前,22.609,,,,
5913,01/27/20 04:00:00 午前,22.609,,,,
5914,01/27/20 04:30:00 午前,22.609,,,,
5915,01/27/20 05:00:00 午前,22.609,,,,
5916,01/27/20 05:30:00 午前,22.609,,,,
5917,01/27/20 06:00:00 午前,22.633,,,,
5918,01/27/20 06:30:00 午前,22.633,,,,
5919,01/27/20 07:00:00 午前,22.609,,,,
5920,01/27/20 07:30:00 午前,22.633,,,,
5921,01/27/20 08:00:00 午前,22.609,,,,
5922,01/27/20 08:30:00 午前,22.609,,,,
5923,01/27/20 09:00:00 午前,22.609,,,,
5924,01/27/20 09:30:00 午前,22.609,,,,
5925,01/27/20 10:00:00 午前,22.609,,,,
5926,01/27/20 10:30:00 午前,22.633,,,,
5927,01/27/20 11:00:00 午前,22.609,,,,
5928,01/27/20 11:30:00 午前,22.585,,,,
5929,01/27/20 12:00:00 午後,22.585,,,,
5930,01/27/20 12:30:00 午後,22.609,,,,
5931,01/27/20 01:00:00 午後,22.585,,,,
5932,01/27/20 01:30:00 午後,22.609,,,,
5933,01/27/20 02:00:00 午後,22.609,,,,
5934,01/27/20 02:30:00 午後,22.609,,,,
5935,01/27/20 03:00:00 午後,22.633,,,,
5936,01/27/20 03:30:00 午後,22.633,,,,
5937,01/27/20 04:00:00 午後,22.633,,,,
5938,01/27/20 04:30:00 午後,22.633,,,,
5939,01/27/20 05:00:00 午後,22.609,,,,
5940,01/27/20 05:30:00 午後,22.609,,,,
5941,01/27/20 06:00:00 午後,22.585,,,,
5942,01/27/20 06:30:00 午後,22.585,,,,
5943,01/27/20 07:00:00 午後,22.585,,,,
5944,01/27/20 07:30:00 午後,22.561,,,,
5945,01/27/20 08:00:00 午後,22.561,,,,
5946,01/27/20 08:30:00 午後,22.561,,,,
5947,01/27/20 09:00:00 午後,22.561,,,,
5948,01/27/20 09:30:00 午後,22.537,,,,
5949,01/27/20 10:00:00 午後,22.561,,,,
5950,01/27/20 10:30:00 午後,22.537,,,,
5951,01/27/20 11:00:00 午後,22.537,,,,
5952,01/27/20 11:30:00 午後,22.513,,,,
5953,01/28/20 12:00:00 午前,22.513,,,,
5954,01/28/20 12:30:00 午前,22.513,,,,
5955,01/28/20 01:00:00 午前,22.513,,,,
5956,01/28/20 01:30:00 午前,22.489,,,,
5957,01/28/20 02:00:00 午前,22.489,,,,
5958,01/28/20 02:30:00 午前,22.489,,,,
5959,01/28/20 03:00:00 午前,22.489,,,,
5960,01/28/20 03:30:00 午前,22.489,,,,
5961,01/28/20 04:00:00 午前,22.489,,,,
5962,01/28/20 04:30:00 午前,22.465,,,,
5963,01/28/20 05:00:00 午前,22.465,,,,
5964,01/28/20 05:30:00 午前,22.417,,,,
5965,01/28/20 06:00:00 午前,22.393,,,,
5966,01/28/20 06:30:00 午前,22.393,,,,
5967,01/28/20 07:00:00 午前,22.393,,,,
5968,01/28/20 07:30:00 午前,22.369,,,,
5969,01/28/20 08:00:00 午前,22.369,,,,
5970,01/28/20 08:30:00 午前,22.369,,,,
5971,01/28/20 09:00:00 午前,22.345,,,,
5972,01/28/20 09:30:00 午前,22.345,,,,
5973,01/28/20 10:00:00 午前,22.298,,,,
5974,01/28/20 10:30:00 午前,22.298,,,,
5975,01/28/20 11:00:00 午前,22.274,,,,
5976,01/28/20 11:30:00 午前,22.202,,,,
5977,01/28/20 12:00:00 午後,22.202,,,,
5978,01/28/20 12:30:00 午後,22.202,,,,
5979,01/28/20 01:00:00 午後,22.25,,,,
5980,01/28/20 01:30:00 午後,22.226,,,,
5981,01/28/20 02:00:00 午後,22.226,,,,
5982,01/28/20 02:30:00 午後,22.226,,,,
5983,01/28/20 03:00:00 午後,22.226,,,,
5984,01/28/20 03:30:00 午後,22.226,,,,
5985,01/28/20 04:00:00 午後,22.226,,,,
5986,01/28/20 04:30:00 午後,22.226,,,,
5987,01/28/20 05:00:00 午後,22.226,,,,
5988,01/28/20 05:30:00 午後,22.226,,,,
5989,01/28/20 06:00:00 午後,22.226,,,,
5990,01/28/20 06:30:00 午後,22.226,,,,
5991,01/28/20 07:00:00 午後,22.202,,,,
5992,01/28/20 07:30:00 午後,22.202,,,,
5993,01/28/20 08:00:00 午後,22.202,,,,
5994,01/28/20 08:30:00 午後,22.226,,,,
5995,01/28/20 09:00:00 午後,22.226,,,,
5996,01/28/20 09:30:00 午後,22.202,,,,
5997,01/28/20 10:00:00 午後,22.202,,,,
5998,01/28/20 10:30:00 午後,22.202,,,,
5999,01/28/20 11:00:00 午後,22.202,,,,
6000,01/28/20 11:30:00 午後,22.178,,,,
6001,01/29/20 12:00:00 午前,22.154,,,,
6002,01/29/20 12:30:00 午前,22.154,,,,
6003,01/29/20 01:00:00 午前,22.154,,,,
6004,01/29/20 01:30:00 午前,22.154,,,,
6005,01/29/20 02:00:00 午前,22.13,,,,
6006,01/29/20 02:30:00 午前,22.082,,,,
6007,01/29/20 03:00:00 午前,22.058,,,,
6008,01/29/20 03:30:00 午前,22.082,,,,
6009,01/29/20 04:00:00 午前,22.082,,,,
6010,01/29/20 04:30:00 午前,22.13,,,,
6011,01/29/20 05:00:00 午前,22.13,,,,
6012,01/29/20 05:30:00 午前,22.13,,,,
6013,01/29/20 06:00:00 午前,22.13,,,,
6014,01/29/20 06:30:00 午前,22.13,,,,
6015,01/29/20 07:00:00 午前,22.154,,,,
6016,01/29/20 07:30:00 午前,22.154,,,,
6017,01/29/20 08:00:00 午前,22.154,,,,
6018,01/29/20 08:30:00 午前,22.178,,,,
6019,01/29/20 09:00:00 午前,22.178,,,,
6020,01/29/20 09:30:00 午前,22.178,,,,
6021,01/29/20 10:00:00 午前,22.154,,,,
6022,01/29/20 10:30:00 午前,22.154,,,,
6023,01/29/20 11:00:00 午前,22.154,,,,
6024,01/29/20 11:30:00 午前,22.178,,,,
6025,01/29/20 12:00:00 午後,22.154,,,,
6026,01/29/20 12:30:00 午後,22.154,,,,
6027,01/29/20 01:00:00 午後,22.154,,,,
6028,01/29/20 01:30:00 午後,22.154,,,,
6029,01/29/20 02:00:00 午後,22.154,,,,
6030,01/29/20 02:30:00 午後,22.13,,,,
6031,01/29/20 03:00:00 午後,22.13,,,,
6032,01/29/20 03:30:00 午後,22.154,,,,
6033,01/29/20 04:00:00 午後,22.178,,,,
6034,01/29/20 04:30:00 午後,22.178,,,,
6035,01/29/20 05:00:00 午後,22.178,,,,
6036,01/29/20 05:30:00 午後,22.202,,,,
6037,01/29/20 06:00:00 午後,22.226,,,,
6038,01/29/20 06:30:00 午後,22.202,,,,
6039,01/29/20 07:00:00 午後,22.202,,,,
6040,01/29/20 07:30:00 午後,22.202,,,,
6041,01/29/20 08:00:00 午後,22.202,,,,
6042,01/29/20 08:30:00 午後,22.202,,,,
6043,01/29/20 09:00:00 午後,22.178,,,,
6044,01/29/20 09:30:00 午後,22.178,,,,
6045,01/29/20 10:00:00 午後,22.178,,,,
6046,01/29/20 10:30:00 午後,22.154,,,,
6047,01/29/20 11:00:00 午後,22.154,,,,
6048,01/29/20 11:30:00 午後,22.154,,,,
6049,01/30/20 12:00:00 午前,22.154,,,,
6050,01/30/20 12:30:00 午前,22.154,,,,
6051,01/30/20 01:00:00 午前,22.154,,,,
6052,01/30/20 01:30:00 午前,22.154,,,,
6053,01/30/20 02:00:00 午前,22.13,,,,
6054,01/30/20 02:30:00 午前,22.13,,,,
6055,01/30/20 03:00:00 午前,22.106,,,,
6056,01/30/20 03:30:00 午前,22.106,,,,
6057,01/30/20 04:00:00 午前,22.106,,,,
6058,01/30/20 04:30:00 午前,22.082,,,,
6059,01/30/20 05:00:00 午前,22.106,,,,
6060,01/30/20 05:30:00 午前,22.106,,,,
6061,01/30/20 06:00:00 午前,22.106,,,,
6062,01/30/20 06:30:00 午前,22.106,,,,
6063,01/30/20 07:00:00 午前,22.106,,,,
6064,01/30/20 07:30:00 午前,22.106,,,,
6065,01/30/20 08:00:00 午前,22.106,,,,
6066,01/30/20 08:30:00 午前,22.106,,,,
6067,01/30/20 09:00:00 午前,22.058,,,,
6068,01/30/20 09:30:00 午前,22.058,,,,
6069,01/30/20 10:00:00 午前,22.034,,,,
6070,01/30/20 10:30:00 午前,22.034,,,,
6071,01/30/20 11:00:00 午前,22.058,,,,
6072,01/30/20 11:30:00 午前,22.058,,,,
6073,01/30/20 12:00:00 午後,22.058,,,,
6074,01/30/20 12:30:00 午後,22.058,,,,
6075,01/30/20 01:00:00 午後,22.058,,,,
6076,01/30/20 01:30:00 午後,22.058,,,,
6077,01/30/20 02:00:00 午後,22.058,,,,
6078,01/30/20 02:30:00 午後,22.034,,,,
6079,01/30/20 03:00:00 午後,22.034,,,,
6080,01/30/20 03:30:00 午後,22.034,,,,
6081,01/30/20 04:00:00 午後,22.034,,,,
6082,01/30/20 04:30:00 午後,22.034,,,,
6083,01/30/20 05:00:00 午後,22.011,,,,
6084,01/30/20 05:30:00 午後,22.011,,,,
6085,01/30/20 06:00:00 午後,22.011,,,,
6086,01/30/20 06:30:00 午後,22.011,,,,
6087,01/30/20 07:00:00 午後,22.011,,,,
6088,01/30/20 07:30:00 午後,21.987,,,,
6089,01/30/20 08:00:00 午後,21.987,,,,
6090,01/30/20 08:30:00 午後,21.963,,,,
6091,01/30/20 09:00:00 午後,21.963,,,,
6092,01/30/20 09:30:00 午後,21.915,,,,
6093,01/30/20 10:00:00 午後,21.915,,,,
6094,01/30/20 10:30:00 午後,21.915,,,,
6095,01/30/20 11:00:00 午後,21.915,,,,
6096,01/30/20 11:30:00 午後,21.891,,,,
6097,01/31/20 12:00:00 午前,21.915,,,,
6098,01/31/20 12:30:00 午前,21.915,,,,
6099,01/31/20 01:00:00 午前,21.915,,,,
6100,01/31/20 01:30:00 午前,21.915,,,,
6101,01/31/20 02:00:00 午前,21.915,,,,
6102,01/31/20 02:30:00 午前,21.915,,,,
6103,01/31/20 03:00:00 午前,21.891,,,,
6104,01/31/20 03:30:00 午前,21.891,,,,
6105,01/31/20 04:00:00 午前,21.891,,,,
6106,01/31/20 04:30:00 午前,21.867,,,,
6107,01/31/20 05:00:00 午前,21.867,,,,
6108,01/31/20 05:30:00 午前,21.867,,,,
6109,01/31/20 06:00:00 午前,21.867,,,,
6110,01/31/20 06:30:00 午前,21.867,,,,
6111,01/31/20 07:00:00 午前,21.867,,,,
6112,01/31/20 07:30:00 午前,21.843,,,,
6113,01/31/20 08:00:00 午前,21.843,,,,
6114,01/31/20 08:30:00 午前,21.843,,,,
6115,01/31/20 09:00:00 午前,21.843,,,,
6116,01/31/20 09:30:00 午前,21.843,,,,
6117,01/31/20 10:00:00 午前,21.819,,,,
6118,01/31/20 10:30:00 午前,21.843,,,,
6119,01/31/20 11:00:00 午前,21.843,,,,
6120,01/31/20 11:30:00 午前,21.819,,,,
6121,01/31/20 12:00:00 午後,21.843,,,,
6122,01/31/20 12:30:00 午後,21.819,,,,
6123,01/31/20 01:00:00 午後,21.843,,,,
6124,01/31/20 01:30:00 午後,21.843,,,,
6125,01/31/20 02:00:00 午後,21.843,,,,
6126,01/31/20 02:30:00 午後,21.819,,,,
6127,01/31/20 03:00:00 午後,21.843,,,,
6128,01/31/20 03:30:00 午後,21.819,,,,
6129,01/31/20 04:00:00 午後,21.819,,,,
6130,01/31/20 04:30:00 午後,21.819,,,,
6131,01/31/20 05:00:00 午後,21.819,,,,
6132,01/31/20 05:30:00 午後,21.795,,,,
6133,01/31/20 06:00:00 午後,21.795,,,,
6134,01/31/20 06:30:00 午後,21.795,,,,
6135,01/31/20 07:00:00 午後,21.795,,,,
6136,01/31/20 07:30:00 午後,21.772,,,,
6137,01/31/20 08:00:00 午後,21.772,,,,
6138,01/31/20 08:30:00 午後,21.748,,,,
6139,01/31/20 09:00:00 午後,21.748,,,,
6140,01/31/20 09:30:00 午後,21.748,,,,
6141,01/31/20 10:00:00 午後,21.748,,,,
6142,01/31/20 10:30:00 午後,21.748,,,,
6143,01/31/20 11:00:00 午後,21.724,,,,
6144,01/31/20 11:30:00 午後,21.724,,,,
6145,02/01/20 12:00:00 午前,21.724,,,,
6146,02/01/20 12:30:00 午前,21.724,,,,
6147,02/01/20 01:00:00 午前,21.7,,,,
6148,02/01/20 01:30:00 午前,21.7,,,,
6149,02/01/20 02:00:00 午前,21.724,,,,
6150,02/01/20 02:30:00 午前,21.7,,,,
6151,02/01/20 03:00:00 午前,21.7,,,,
6152,02/01/20 03:30:00 午前,21.7,,,,
6153,02/01/20 04:00:00 午前,21.652,,,,
6154,02/01/20 04:30:00 午前,21.652,,,,
6155,02/01/20 05:00:00 午前,21.652,,,,
6156,02/01/20 05:30:00 午前,21.628,,,,
6157,02/01/20 06:00:00 午前,21.652,,,,
6158,02/01/20 06:30:00 午前,21.652,,,,
6159,02/01/20 07:00:00 午前,21.652,,,,
6160,02/01/20 07:30:00 午前,21.652,,,,
6161,02/01/20 08:00:00 午前,21.652,,,,
6162,02/01/20 08:30:00 午前,21.652,,,,
6163,02/01/20 09:00:00 午前,21.652,,,,
6164,02/01/20 09:30:00 午前,21.676,,,,
6165,02/01/20 10:00:00 午前,21.7,,,,
6166,02/01/20 10:30:00 午前,21.724,,,,
6167,02/01/20 11:00:00 午前,21.7,,,,
6168,02/01/20 11:30:00 午前,21.748,,,,
6169,02/01/20 12:00:00 午後,21.748,,,,
6170,02/01/20 12:30:00 午後,21.772,,,,
6171,02/01/20 01:00:00 午後,21.772,,,,
6172,02/01/20 01:30:00 午後,21.795,,,,
6173,02/01/20 02:00:00 午後,21.819,,,,
6174,02/01/20 02:30:00 午後,21.843,,,,
6175,02/01/20 03:00:00 午後,21.819,,,,
6176,02/01/20 03:30:00 午後,21.819,,,,
6177,02/01/20 04:00:00 午後,21.795,,,,
6178,02/01/20 04:30:00 午後,21.795,,,,
6179,02/01/20 05:00:00 午後,21.772,,,,
6180,02/01/20 05:30:00 午後,21.748,,,,
6181,02/01/20 06:00:00 午後,21.748,,,,
6182,02/01/20 06:30:00 午後,21.748,,,,
6183,02/01/20 07:00:00 午後,21.724,,,,
6184,02/01/20 07:30:00 午後,21.724,,,,
6185,02/01/20 08:00:00 午後,21.724,,,,
6186,02/01/20 08:30:00 午後,21.7,,,,
6187,02/01/20 09:00:00 午後,21.7,,,,
6188,02/01/20 09:30:00 午後,21.676,,,,
6189,02/01/20 10:00:00 午後,21.676,,,,
6190,02/01/20 10:30:00 午後,21.676,,,,
6191,02/01/20 11:00:00 午後,21.676,,,,
6192,02/01/20 11:30:00 午後,21.676,,,,
6193,02/02/20 12:00:00 午前,21.676,,,,
6194,02/02/20 12:30:00 午前,21.676,,,,
6195,02/02/20 01:00:00 午前,21.652,,,,
6196,02/02/20 01:30:00 午前,21.652,,,,
6197,02/02/20 02:00:00 午前,21.652,,,,
6198,02/02/20 02:30:00 午前,21.652,,,,
6199,02/02/20 03:00:00 午前,21.652,,,,
6200,02/02/20 03:30:00 午前,21.652,,,,
6201,02/02/20 04:00:00 午前,21.652,,,,
6202,02/02/20 04:30:00 午前,21.652,,,,
6203,02/02/20 05:00:00 午前,21.652,,,,
6204,02/02/20 05:30:00 午前,21.652,,,,
6205,02/02/20 06:00:00 午前,21.652,,,,
6206,02/02/20 06:30:00 午前,21.652,,,,
6207,02/02/20 07:00:00 午前,21.628,,,,
6208,02/02/20 07:30:00 午前,21.628,,,,
6209,02/02/20 08:00:00 午前,21.628,,,,
6210,02/02/20 08:30:00 午前,21.628,,,,
6211,02/02/20 09:00:00 午前,21.628,,,,
6212,02/02/20 09:30:00 午前,21.652,,,,
6213,02/02/20 10:00:00 午前,21.652,,,,
6214,02/02/20 10:30:00 午前,21.676,,,,
6215,02/02/20 11:00:00 午前,21.676,,,,
6216,02/02/20 11:30:00 午前,21.7,,,,
6217,02/02/20 12:00:00 午後,21.676,,,,
6218,02/02/20 12:30:00 午後,21.7,,,,
6219,02/02/20 01:00:00 午後,21.748,,,,
6220,02/02/20 01:30:00 午後,21.748,,,,
6221,02/02/20 02:00:00 午後,21.772,,,,
6222,02/02/20 02:30:00 午後,21.795,,,,
6223,02/02/20 03:00:00 午後,21.819,,,,
6224,02/02/20 03:30:00 午後,21.819,,,,
6225,02/02/20 04:00:00 午後,21.819,,,,
6226,02/02/20 04:30:00 午後,21.772,,,,
6227,02/02/20 05:00:00 午後,21.772,,,,
6228,02/02/20 05:30:00 午後,21.772,,,,
6229,02/02/20 06:00:00 午後,21.748,,,,
6230,02/02/20 06:30:00 午後,21.724,,,,
6231,02/02/20 07:00:00 午後,21.724,,,,
6232,02/02/20 07:30:00 午後,21.724,,,,
6233,02/02/20 08:00:00 午後,21.724,,,,
6234,02/02/20 08:30:00 午後,21.724,,,,
6235,02/02/20 09:00:00 午後,21.7,,,,
6236,02/02/20 09:30:00 午後,21.7,,,,
6237,02/02/20 10:00:00 午後,21.676,,,,
6238,02/02/20 10:30:00 午後,21.676,,,,
6239,02/02/20 11:00:00 午後,21.676,,,,
6240,02/02/20 11:30:00 午後,21.652,,,,
6241,02/03/20 12:00:00 午前,21.652,,,,
6242,02/03/20 12:30:00 午前,21.652,,,,
6243,02/03/20 01:00:00 午前,21.628,,,,
6244,02/03/20 01:30:00 午前,21.628,,,,
6245,02/03/20 02:00:00 午前,21.652,,,,
6246,02/03/20 02:30:00 午前,21.652,,,,
6247,02/03/20 03:00:00 午前,21.652,,,,
6248,02/03/20 03:30:00 午前,21.652,,,,
6249,02/03/20 04:00:00 午前,21.628,,,,
6250,02/03/20 04:30:00 午前,21.628,,,,
6251,02/03/20 05:00:00 午前,21.652,,,,
6252,02/03/20 05:30:00 午前,21.652,,,,
6253,02/03/20 06:00:00 午前,21.652,,,,
6254,02/03/20 06:30:00 午前,21.652,,,,
6255,02/03/20 07:00:00 午前,21.652,,,,
6256,02/03/20 07:30:00 午前,21.652,,,,
6257,02/03/20 08:00:00 午前,21.628,,,,
6258,02/03/20 08:30:00 午前,21.604,,,,
6259,02/03/20 09:00:00 午前,21.604,,,,
6260,02/03/20 09:30:00 午前,21.604,,,,
6261,02/03/20 10:00:00 午前,21.604,,,,
6262,02/03/20 10:30:00 午前,21.628,,,,
6263,02/03/20 11:00:00 午前,21.652,,,,
6264,02/03/20 11:30:00 午前,21.652,,,,
6265,02/03/20 12:00:00 午後,21.652,,,,
6266,02/03/20 12:30:00 午後,21.652,,,,
6267,02/03/20 01:00:00 午後,21.652,,,,
6268,02/03/20 01:30:00 午後,21.7,,,,
6269,02/03/20 02:00:00 午後,21.7,,,,
6270,02/03/20 02:30:00 午後,21.724,,,,
6271,02/03/20 03:00:00 午後,21.748,,,,
6272,02/03/20 03:30:00 午後,21.748,,,,
6273,02/03/20 04:00:00 午後,21.748,,,,
6274,02/03/20 04:30:00 午後,21.748,,,,
6275,02/03/20 05:00:00 午後,21.748,,,,
6276,02/03/20 05:30:00 午後,21.676,,,,
6277,02/03/20 06:00:00 午後,21.652,,,,
6278,02/03/20 06:30:00 午後,21.604,,,,
6279,02/03/20 07:00:00 午後,21.604,,,,
6280,02/03/20 07:30:00 午後,21.581,,,,
6281,02/03/20 08:00:00 午後,21.581,,,,
6282,02/03/20 08:30:00 午後,21.581,,,,
6283,02/03/20 09:00:00 午後,21.581,,,,
6284,02/03/20 09:30:00 午後,21.581,,,,
6285,02/03/20 10:00:00 午後,21.557,,,,
6286,02/03/20 10:30:00 午後,21.557,,,,
6287,02/03/20 11:00:00 午後,21.557,,,,
6288,02/03/20 11:30:00 午後,21.557,,,,
6289,02/04/20 12:00:00 午前,21.557,,,,
6290,02/04/20 12:30:00 午前,21.557,,,,
6291,02/04/20 01:00:00 午前,21.557,,,,
6292,02/04/20 01:30:00 午前,21.557,,,,
6293,02/04/20 02:00:00 午前,21.533,,,,
6294,02/04/20 02:30:00 午前,21.533,,,,
6295,02/04/20 03:00:00 午前,21.509,,,,
6296,02/04/20 03:30:00 午前,21.533,,,,
6297,02/04/20 04:00:00 午前,21.509,,,,
6298,02/04/20 04:30:00 午前,21.509,,,,
6299,02/04/20 05:00:00 午前,21.509,,,,
6300,02/04/20 05:30:00 午前,21.509,,,,
6301,02/04/20 06:00:00 午前,21.485,,,,
6302,02/04/20 06:30:00 午前,21.485,,,,
6303,02/04/20 07:00:00 午前,21.509,,,,
6304,02/04/20 07:30:00 午前,21.509,,,,
6305,02/04/20 08:00:00 午前,21.485,,,,
